face_id,area_poly_px,perimeter_px,n_sides,n_bounding_cells,bounding_cells,centroid_row,centroid_col,area_um2
675,14.060226440429688,13.592438560885418,1,1,[277],376.3392040701974,239.03343788480976,
676,16.041748046875,14.992259717785535,2,2,"[304, 378]",528.107238141286,816.3746543257773,
677,11.245758056640625,12.440889497259281,1,1,[355],530.3806773400038,281.2036790217044,
678,9.9630126953125,11.647912003669816,2,2,"[447, 476]",696.5,953.5,
