n_pred_cells,n_ref_cells,n_matched_cells,n_unmatched_pred_cells,n_unmatched_ref_cells,n_splits,n_merges,mean_matched_iou,n_pred_edges,n_ref_edges,n_matched_edges,n_unmatched_pred_edges,n_unmatched_ref_edges,n_pred_pairs,n_ref_pairs,n_pair_tp,adjacency_pair_precision,adjacency_pair_recall,adjacency_pair_f1,adjacency_component_precision,adjacency_component_recall,adjacency_component_f1,arclength_rel_error_mean_abs,arclength_rel_error_median_abs,arclength_rel_error_mean_signed,arclength_rel_error_max_abs,n_pred_vertices,n_ref_vertices,n_matched_vertices,vertex_precision,vertex_recall,vertex_f1,vertex_loc_error_mean_px,vertex_loc_error_median_px,vertex_loc_error_p95_px,vertex_incident_set_accuracy,vertex_cyclic_order_accuracy,n_vertex_incident_set_mismatches,pq,sq,rq,ap50,ap75,vi,vi_merge,vi_split,boundary_precision,boundary_recall,boundary_f1,hausdorff_px,hausdorff95_px,euler_residual_pred,euler_residual_ref,valid_pred,valid_ref,validity_fraction,complex_edit_distance_approx,tol_px,iou_thresh,runtime_s,legacy_f1,legacy_precision,legacy_recall,method_runtime_s,method,image_id,dataset,shape
37,25,19,18,6,3,0,0.7849265914346145,33,6,1,32,5,9,5,2,0.2222222222222222,0.4,0.2857142857142857,0.030303030303030304,0.16666666666666666,0.05128205128205128,0.06293258227235782,0.06293258227235782,-0.06293258227235782,0.06293258227235782,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0.4810840399115379,0.7849265914346145,0.6129032258064516,0.4418604651162791,0.21568627450980393,1.481237412871009,1.0261145988528722,0.4551228140181368,0.44680584289386244,0.41297431062927176,0.4292244574339518,189.59430371189953,109.8887719817821,0,0,True,True,1.0,61,3.0,0.5,1.8937574587762356,0.2857142857142857,0.2222222222222222,0.4,3.228074789047241,cellpose_sam,Training-labeled/cell_00028,neurips_cellseg,"[1536, 2040]"
56,17,12,44,5,1,0,0.8588261801922199,69,2,0,69,2,24,2,1,0.041666666666666664,0.5,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0.2823538126659353,0.8588261801922199,0.3287671232876712,0.19672131147540983,0.15873015873015872,1.6831207665427201,0.7032497689777325,0.9798709975649875,0.24084590837795447,0.3658270361041142,0.2904627464306324,576.2811813689564,368.87531553697113,0,0,True,True,1.0,120,3.0,0.5,1.8112258077599108,0.09090909090909091,0.05,0.5,3.2452681064605713,cellpose_sam,Training-labeled/cell_00031,neurips_cellseg,"[1536, 2040]"
38,24,13,25,11,3,0,0.852261983503629,35,19,0,35,19,10,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0.3574001866305541,0.852261983503629,0.41935483870967744,0.2653061224489796,0.16981132075471697,1.9929820210976965,1.2818690881405639,0.7111129329571326,0.396566021169699,0.44071087216248506,0.41747469314279845,218.49713956937742,112.0,0,0,True,True,1.0,90,3.0,0.5,1.4889105507172644,0.0,0.0,0.0,3.1197164058685303,cellpose_sam,Training-labeled/cell_00034,neurips_cellseg,"[1536, 2040]"
40,5,0,40,5,0,0,0.0,51,0,0,51,0,25,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.293920490853777,0.5460374990870945,0.7478829917666824,0.06291355950005252,0.13484617063059132,0.08579757439714829,708.0,596.8249324550709,0,0,True,True,1.0,96,3.0,0.5,1.2209671419113874,0.0,0.0,0.0,2.615827798843384,cellpose_sam,Training-labeled/cell_00036,neurips_cellseg,"[1536, 2040]"
46,29,17,29,12,3,0,0.8396876974059279,29,24,0,29,24,14,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0.3806584228240206,0.8396876974059279,0.4533333333333333,0.29310344827586204,0.19047619047619047,2.159341422350421,1.631487760343537,0.5278536620068841,0.40819247921598856,0.358010801080108,0.38145834202776363,430.69827025424655,124.64830487134631,0,0,True,True,1.0,94,3.0,0.5,1.5394208198413253,0.0,0.0,0.0,3.253859519958496,cellpose_sam,Training-labeled/cell_00039,neurips_cellseg,"[1536, 2040]"
39,12,8,31,4,0,0,0.8273000953242751,51,9,0,51,9,14,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.2595451279448706,0.8273000953242751,0.3137254901960784,0.18604651162790697,0.13333333333333333,1.6929587605996341,0.6637419302328715,1.0292168303667626,0.19741184082821092,0.36907031512840643,0.2572326402109172,904.771794432165,750.0656600585945,0,0,True,True,1.0,95,3.0,0.5,1.4038704368285835,0.0,0.0,0.0,2.9755303859710693,cellpose_sam,Training-labeled/cell_00042,neurips_cellseg,"[1536, 2040]"
41,7,5,36,2,0,0,0.9461655090977825,24,0,0,24,0,14,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.19711781439537138,0.9461655090977825,0.20833333333333334,0.11627906976744186,0.11627906976744186,1.173266125841549,0.16107175827209896,1.0121943675694502,0.12608488883604804,0.46297872340425533,0.19819462503165974,998.8313170901281,807.5938626823099,0,0,True,True,1.0,62,3.0,0.5,3.185377461835742,0.0,0.0,0.0,4.1760406494140625,cellpose_sam,Training-labeled/cell_00045,neurips_cellseg,"[1920, 2560]"
39,26,17,22,9,4,0,0.8026486228918257,33,13,0,33,13,13,11,4,0.3076923076923077,0.36363636363636365,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.4198469719741858,0.8026486228918257,0.5230769230769231,0.3541666666666667,0.2037037037037037,1.9190224811702739,1.1139675811404373,0.8050549000298365,0.3119966530697626,0.3596754277650379,0.3341437968201843,307.514227313144,161.53018237434466,0,0,True,True,1.0,77,3.0,0.5,1.9787302813492715,0.36363636363636365,0.36363636363636365,0.36363636363636365,3.223989248275757,cellpose_sam,Training-labeled/cell_00047,neurips_cellseg,"[1536, 2040]"
60,16,13,47,3,0,0,0.9484144110880061,109,2,0,109,2,23,2,2,0.08695652173913043,1.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.3244575616880021,0.9484144110880061,0.34210526315789475,0.20634920634920634,0.20634920634920634,1.1466498837602048,0.22572258677619428,0.9209272969840105,0.2553139024510529,0.5698407241892975,0.3526327172415304,721.1248158259428,460.0,0,0,True,True,1.0,161,3.0,0.5,3.5520659699104726,0.19999999999999998,0.1111111111111111,1.0,5.005836725234985,cellpose_sam,Training-labeled/cell_00050,neurips_cellseg,"[1920, 2560]"
28,21,14,14,7,1,0,0.8308718116572594,29,4,0,29,4,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0.4747838923755768,0.8308718116572594,0.5714285714285714,0.4,0.2564102564102564,1.7181466748533296,1.1432266172098033,0.5749200576435263,0.31557568089498567,0.30459914551394823,0.3099902758136534,245.01836665850175,133.67030217147112,0,0,True,True,1.0,54,3.0,0.5,1.7186111146584153,0.0,0.0,0.0,3.1142125129699707,cellpose_sam,Training-labeled/cell_00053,neurips_cellseg,"[1536, 2040]"
