frame,time_h,n_cells,geom_anisotropy,geom_axis_deg,tension_only_anisotropy,tension_only_axis_deg,tension_only_n_edges,tension_only_residual_rms,tension_only_tension_cv,tension_only_mean_tension_PD_edges,tension_only_mean_tension_AP_edges,pressure_curvature_anisotropy,pressure_curvature_axis_deg,pressure_curvature_n_edges,pressure_curvature_residual_rms,pressure_curvature_tension_cv,pressure_curvature_mean_tension_PD_edges,pressure_curvature_mean_tension_AP_edges,exx,exy,n_cells_db,area_db,elong_mag,elong_angle_deg
0,0.0,653,0.44790830120542524,2.162954016204594,0.5324124067122132,1.3225637840090485,1828,0.15320215475095733,0.29675871373495416,1.145349438022971,0.7611476097915287,0.5365835461929076,1.0389712555744666,1828,0.20587892795038523,0.34082022251566313,1.152227456697432,0.7566121369246727,0.3163025836911488,0.016891046178907722,531,384.1760828625235,0.31675326658254715,1.528389784868272
5,0.4027777777777778,667,0.446299333900885,1.5889640031668932,0.5359862859177636,0.7243013657175084,1879,0.1435725368141476,0.2997645216238216,1.1500397372003512,0.7577054974713686,0.5389479006694069,0.39636265727776276,1879,0.19706930629219224,0.35399331347709867,1.1559659434272365,0.7696174025126371,0.31588935686025404,0.009329820950635209,551,379.80399274047187,0.3160271053826805,0.8458721351111517
10,0.8030555555555555,668,0.45201365316444464,0.9972500223010456,0.5392748433691603,-0.0284645365650249,1882,0.1447118189723092,0.2935028644538827,1.1435488895592758,0.7647121416461095,0.5406241313837238,-0.12488256192767722,1882,0.19929074195068766,0.3434311219123303,1.149887950048129,0.7699843759290917,0.3134368135272727,0.005302875741818181,550,373.61545454545455,0.31348166862715193,0.4846326308660461
15,1.1969444444444444,663,0.4456675045125975,0.2152828164207108,0.5288974983128188,-0.34487421556264053,1855,0.1341027081082441,0.2838296107353557,1.1415227944432587,0.7766955096000725,0.5324819201904216,-0.520316534189817,1855,0.18324955855155522,0.34031435571641405,1.152003649361323,0.7567548412880591,0.3072759860036832,0.00016757281767955802,543,377.5939226519337,0.30727603169655937,0.015623111957435758
20,1.6055555555555556,652,0.44511516535798,0.19071105305869196,0.5290608587832817,-0.4260471218382236,1834,0.13725541683143716,0.27952117695518647,1.1431854515681263,0.7720653158220361,0.5327655192672867,-0.6304166712347978,1834,0.18707788880093765,0.331787897158678,1.1530034632433817,0.7647611794313371,0.30804030323475046,-0.0023483537046210725,541,382.2412199630314,0.30804925447414905,-0.21839374286755842
25,2.0077777777777777,648,0.4406815932416471,0.09295631827191642,0.5147803360792749,0.12054134066235633,1823,0.1234796110513815,0.2648785960806928,1.1389715169309367,0.8009686583647847,0.5178278213646132,-0.19360594696513544,1823,0.179817840633958,0.31329522049515857,1.1456992342739765,0.7962589798776718,0.3031036732894737,-0.0029012130460526315,532,386.968984962406,0.30311755772094523,-0.27420021845779874
30,2.4080555555555554,638,0.3997118307363367,-0.4952369297696464,0.453518806203745,-0.45690241790521213,1785,0.12987486834528422,0.24281169547811898,1.1191597901085735,0.8673068503796799,0.459488793127106,-0.749184005157872,1785,0.17833367705081005,0.29819768690834925,1.1320191415162089,0.8750401078438954,0.2716468191047619,-0.009548036396380952,525,392.16,0.2718145679112175,-1.0065221281374424
35,2.8072222222222223,627,0.41260029598735126,-0.7237346398534328,0.48500646400329805,-1.2207735889112428,1764,0.11985444356839062,0.2544719405010743,1.1375445208321733,0.8226876581672421,0.4862370471909925,-1.2355250198506837,1764,0.17287496695605603,0.3046647970978168,1.1389873186974104,0.8229465072033074,0.2793015922307692,-0.011613491526923078,520,393.7307692307692,0.2795429351782813,-1.1905069385410325
40,3.2083333333333335,629,0.3903671817284961,-1.2069511715848193,0.46264834369283864,-1.65733044026382,1762,0.11773033948604295,0.2495363039758495,1.1383732556211332,0.8262562276864885,0.46047234774672136,-1.703179390944456,1762,0.16943868781887525,0.2977586868181723,1.1387129294207257,0.826734610122256,0.26610494977058824,-0.014633672611764707,510,402.1294117647059,0.26650701429139834,-1.5738226933395196
45,3.6130555555555555,624,0.37554188490787915,-1.965983949414408,0.4412043000797005,-2.084167217461186,1745,0.11120605800238205,0.23814314909901826,1.131121483118896,0.8583897760958751,0.4424939225137186,-1.9436587520881403,1745,0.1651001592532442,0.30933492353236564,1.1379404153640094,0.8465671559684055,0.25322569703564357,-0.02541070266138614,505,405.47128712871285,0.2544974605942718,-2.8651681528743014
