n_pairs,pearson_consecutive_mean,pearson_consecutive_sd,mean_abs_change,edges_per_pair,series,method
26,0.47218802606358234,0.2284283174868162,0.6015370759540248,59.26923076923077,1,dlite_CellFIT
29,0.6215722222612624,0.16458974571726262,0.3479004239654609,59.275862068965516,1,dlite_DLITE
13,0.13561577399509972,0.4340260219778337,0.36636950089197007,6.923076923076923,1,pimorph_tension_only_r0.1
13,-0.043806245686640224,0.4880194154304829,0.3598001901912983,6.923076923076923,1,pimorph_pressure_curvature_r0.1
30,0.26841667381960826,0.27907589775950364,1.0134097806206226,54.1,2,dlite_CellFIT
30,0.7222807364294801,0.15095200631683933,0.34182565062145637,54.1,2,dlite_DLITE
7,0.4152995092569789,0.3911922138018582,0.3085039921800143,5.714285714285714,2,pimorph_tension_only_r0.1
7,0.4153690519387546,0.4255820803058362,0.3242853922255697,5.714285714285714,2,pimorph_pressure_curvature_r0.1
0,,,,,3,dlite_CellFIT
30,0.5965277666313119,0.15808183865450087,0.31340392057284916,58.8,3,dlite_DLITE
15,0.18196154931814723,0.3756836054659901,0.32152049623679363,8.333333333333334,3,pimorph_tension_only_r0.1
15,0.23730045165259087,0.39815446563954254,0.3733815075991832,8.333333333333334,3,pimorph_pressure_curvature_r0.1
8,0.43874986416175976,0.1148009463602146,0.4430196283023119,45.625,4,dlite_CellFIT
9,0.5762960294263381,0.16019999749779187,0.3190295309890063,45.666666666666664,4,dlite_DLITE
6,0.6608380632734673,0.18640060820723592,0.21436571719006467,7.833333333333333,4,pimorph_tension_only_r0.1
6,0.25548941669467135,0.3669591238592457,0.2879216310892,7.833333333333333,4,pimorph_pressure_curvature_r0.1
