series,pimorph_setting,dlite_solver,n_edges_pooled,n_frames,spearman_pooled,pearson_pooled,spearman_per_frame_mean,spearman_per_frame_sd,frac_frames_positive
1,tension_only_r0.1,CellFIT,209,23,0.3721840585323828,0.3099515539719865,0.36026745759461287,0.3522550581190866,0.8421052631578947
1,tension_only_r0.1,DLITE,228,26,0.3399438934739106,0.2970300826465718,0.30671437895757125,0.2798419645131734,0.8
1,pressure_curvature_r0.1,CellFIT,209,23,0.1937304635646412,0.155095742734002,0.20311775593850337,0.45903823129710764,0.6842105263157895
1,pressure_curvature_r0.1,DLITE,228,26,0.1474949116603194,0.11644743857057986,0.14182587877914052,0.4434359033393297,0.75
2,tension_only_r0.1,CellFIT,113,21,0.17303249765594342,0.06316393410476376,0.23972336319453577,0.31197719599438084,0.7142857142857143
2,tension_only_r0.1,DLITE,118,23,0.17807083537240062,0.22489518319185747,0.1307700119805804,0.3996235968142519,0.6428571428571429
2,pressure_curvature_r0.1,CellFIT,113,21,0.22071541003152134,0.10863886346070555,0.22220600059940557,0.40344577548283084,0.6428571428571429
2,pressure_curvature_r0.1,DLITE,118,23,0.1995193887910948,0.17714184050680387,0.20251340598957598,0.3119780823432234,0.7142857142857143
3,tension_only_r0.1,DLITE,223,23,0.18455320403959719,0.18882310545263364,0.2033444264521598,0.3679748428601572,0.6818181818181818
3,pressure_curvature_r0.1,DLITE,223,23,0.3255768403606369,0.3048567321871045,0.31152219447268814,0.4406152135625528,0.7272727272727273
4,tension_only_r0.1,CellFIT,77,9,0.4141122035858877,0.4278000473817463,0.2871212121212121,0.22456863818384923,0.75
4,tension_only_r0.1,DLITE,83,10,0.4253727035694327,0.43087649533282124,0.35763388345083513,0.3241820938267323,0.7777777777777778
4,pressure_curvature_r0.1,CellFIT,77,9,0.3798044061201956,0.3523542018034367,0.2804924242424242,0.30156717039261166,0.625
4,pressure_curvature_r0.1,DLITE,83,10,0.3843582572061714,0.39957787478660955,0.26921246316670117,0.3444271249327857,0.5555555555555556
