,n_frames,axis_deg_median_abs,axis_within_20deg_of_PD,anisotropy_first,anisotropy_last,spearman_vs_db_elongation,p,PD_over_AP_tension_median,PD_over_AP_tension_first_last
geom,15.0,1.5889640031668932,1.0,0.44790830120542524,0.2788934500221837,0.9857142857142854,1.9290948746067857e-11,,
tension_only,15,1.3225637840090485,1.0,0.5324124067122132,0.33585564204032853,0.982142857142857,8.157333508978721e-11,1.3777484725392874,"[1.5047665174126625, 1.2342574559011903]"
pressure_curvature,15,1.2355250198506837,1.0,0.5365835461929076,0.33204472374892824,0.982142857142857,8.157333508978721e-11,1.3773621129183582,"[1.5228773111951102, 1.2226323598580278]"
