setting,n,spearman_cut_vs_recoil,p_spearman,ci95_lo,ci95_hi,pearson_cut_vs_recoil,p_pearson,cut_tension_mean,cut_percentile_median,n_cut_above_field_mean,p_sign_cut_above_mean,n_cable_fields,cable_minus_offcable_mean,p_wilcoxon_cable_gt_offcable,residual_rms_median,balanced_5pct_median
tension_only_r0.1,15,0.6357142857142856,0.010860746168789804,0.16147189563113182,0.8581818181818184,0.5172384584385292,0.04831835914565709,1.405175818208821,0.8518518518518519,14,0.00048828125,15,0.3504910593360444,0.000152587890625,0.1975046995723604,0.0759493670886076
pressure_curvature_r0.1,15,0.21428571428571427,0.44314093482351424,-0.41924369719339033,0.7513631880055237,0.17279991228024388,0.5379920904549309,1.44649628384999,0.8774193548387097,13,0.003692626953125,15,0.34761713672752054,0.000213623046875,0.23494754205085572,0.038461538461538464
pressure_curvature_r0.01,15,0.18214285714285713,0.5158816817070392,-0.45422077922077914,0.7266474297875676,0.15870404424227946,0.5721182175688442,1.4932235868274377,0.8620689655172413,12,0.017578125,15,0.36778400017440055,0.001678466796875,0.2321412617090574,0.024
