ablation_id,genotype,zoom,n_cells,n_gaps,n_cell_cell_edges,cut_frame,recoil_px_per_frame,recoil_um_per_s,initial_separation_px,cut_edge,cut_edge_distance_px,cut_edge_alignment,n_cable_edges,tension_only_r0.1_cut_tension,tension_only_r0.1_cut_percentile,tension_only_r0.1_cable_mean,tension_only_r0.1_offcable_mean,tension_only_r0.1_n_cable_ident,tension_only_r0.1_residual_rms,tension_only_r0.1_balanced_5pct,tension_only_r0.1_tension_cv,tension_only_r0.1_cond,tension_only_r0.1_rank,tension_only_r0.1_n_unknowns,tension_only_r0.1_n_equations,pressure_curvature_r0.1_cut_tension,pressure_curvature_r0.1_cut_percentile,pressure_curvature_r0.1_cable_mean,pressure_curvature_r0.1_offcable_mean,pressure_curvature_r0.1_n_cable_ident,pressure_curvature_r0.1_residual_rms,pressure_curvature_r0.1_balanced_5pct,pressure_curvature_r0.1_tension_cv,pressure_curvature_r0.1_cond,pressure_curvature_r0.1_rank,pressure_curvature_r0.1_n_unknowns,pressure_curvature_r0.1_n_equations,pressure_curvature_r0.01_cut_tension,pressure_curvature_r0.01_cut_percentile,pressure_curvature_r0.01_cable_mean,pressure_curvature_r0.01_offcable_mean,pressure_curvature_r0.01_n_cable_ident,pressure_curvature_r0.01_residual_rms,pressure_curvature_r0.01_balanced_5pct,pressure_curvature_r0.01_tension_cv,pressure_curvature_r0.01_cond,pressure_curvature_r0.01_rank,pressure_curvature_r0.01_n_unknowns,pressure_curvature_r0.01_n_equations,null_dim_pc,pressures_identifiable_pc
190216E4PSB1,SqAX3_SqhGFP42_GAP43_TM6B,2,47,0,119,5.5,1.8762688732255737,0.42671005225714637,21.67155397945858,85,0.23131197258248226,0.9999013974498854,4,1.197379577930902,0.6890756302521008,1.0023153528765714,0.9999194177788369,4,0.22156473130371115,0.1232876712328767,0.405869752283061,3162.2782277117626,119,138,146,1.2015724623996977,0.680672268907563,0.9172108675290584,1.0028794825116631,4,0.2254299596649411,0.0547945205479452,0.446028098489114,3162.2786576314584,165,185,260,1.1465232727599786,0.6722689075630253,0.8311479748694164,1.005873011065516,4,0.21037558726135794,0.0547945205479452,0.6005560842071359,10000.002704255303,165,185,260,20,True
190216E5PSB1,SqAX3_SqhGFP42_GAP43_TM6B,2,74,0,189,6.25,2.5428806954436394,0.5783141051479734,18.5,90,1.2289234022897366,0.9981068919614101,7,1.4847624678698301,0.8556149732620321,1.291965687483337,0.9886457301044369,7,0.2096308855276896,0.0603448275862069,0.44308025404113227,3162.2782728116067,186,219,232,1.2868799688577157,0.7219251336898396,1.3092477737179322,0.9879735586421563,7,0.21538462776854708,0.04310344827586207,0.4842710889952935,3162.278716022141,257,293,413,1.2852277098627298,0.7058823529411765,1.288314194468981,0.9887876785476682,7,0.20811267300425507,0.02586206896551724,0.6107444741994539,10000.002888903184,257,293,413,36,False
190216E5PSB2,SqAX3_SqhGFP42_GAP43_TM6B,2,49,0,119,6.25,3.196761793111128,0.7270228756963986,22.783320000000003,109,0.7088073523112142,0.9989855381850021,4,1.7542884492457438,0.957983193277311,1.7833397563073574,0.9727533528173973,4,0.22249782796883621,0.07042253521126761,0.3980936977794357,3162.2782134191984,119,143,142,2.077528513326217,0.9747899159663865,2.069479371092004,0.9628005820225853,4,0.2266729455519232,0.07042253521126761,0.480981004014368,3162.278551215815,167,192,258,2.58913962019814,0.9663865546218487,2.585774735951393,0.9448425163453199,4,0.21553940213456416,0.04225352112676056,0.6649117042716268,10000.002367739522,167,192,258,25,True
190216E6PSB1,SqAX3_SqhGFP42_GAP43_TM6B,2,76,0,196,5.5,2.2494312169312174,0.5115764194688411,19.964285714285708,108,2.4781963288848483,0.9988291800112037,8,1.2503770612238605,0.7384615384615385,1.1535427131470266,0.9934312777364069,8,0.2263125489683646,0.03305785123966942,0.4026078697398684,3162.2782318746604,193,224,242,0.7717862970071793,0.27692307692307694,0.9702215463802008,1.0012737917347543,8,0.27881682043448813,0.024793388429752067,0.42533477976335754,3162.278649208938,267,300,427,0.6388490037153529,0.26153846153846155,0.8653647716965877,1.0057596714625516,8,0.26931205241043127,0.008264462809917356,0.5992957154996263,10000.002677620882,267,300,427,33,False
190216E8PSB1,SqAX3_SqhGFP42_GAP43_TM6B,2,56,0,146,6.0,2.5608726647001023,0.5824059249565255,11.78125,86,0.9087950646989126,0.9876125682831431,5,1.7693272431522522,0.9726027397260274,1.8122426393947333,0.9711970253540785,5,0.1840673640687165,0.13186813186813187,0.4641201632357419,3162.2783654908894,145,165,182,1.855433770032328,0.9657534246575342,1.7077864121206665,0.9749010722863909,5,0.19749612545597822,0.07692307692307693,0.46323041130549764,3162.278636693312,200,221,323,2.017815002331816,0.9452054794520548,1.979804224026017,0.9652550782815599,5,0.1829826070626379,0.10989010989010989,0.6128030234895441,10000.002638043126,200,221,323,21,False
E2PSB1,SqAX3_SqhGFP42_GAP43_TM6B,2,47,0,123,6.1869,3.455488661014725,0.7858637789906457,12.894379685179686,64,0.2988354356202781,0.9930175416080486,6,1.471240092595353,0.7804878048780488,1.3908468624627994,0.9799564754589829,6,0.3199378257116382,0.06493506493506493,0.519128916860865,3162.278550061488,122,138,154,1.6834377452530513,0.8943089430894309,1.5574590585531525,0.9714121206108467,6,0.3322409530689409,0.0,0.5554506053540205,3162.2790655317394,168,185,269,1.7583964911540426,0.8699186991869918,1.6209741004978717,0.968154984585988,6,0.33023014388971217,0.012987012987012988,0.7117912167200608,10000.003994149742,168,185,269,17,False
E5PSB2,SqAX3_SqhGFP42_GAP43_TM6B,2,67,0,170,5.8333,2.2740057627421293,0.5171652803601603,13.000100000000003,95,3.1590468076355553,0.9931424252573159,7,0.8529009415000499,0.3411764705882353,1.0522387559130923,0.9977565649637734,7,0.22376869213591727,0.07692307692307693,0.4480009107180783,3162.2782874124687,169,198,208,1.4176864417680914,0.8117647058823529,1.2387406618097188,0.9897471622354043,7,0.26325014473224834,0.009615384615384616,0.4597063162169724,3162.278741414115,236,265,368,1.3763882094985986,0.7470588235294118,1.1859396559879525,0.9920147196573555,7,0.26090204312051685,0.028846153846153848,0.5725009959106103,10000.002969199382,236,265,368,29,True
E8PSB1,SqAX3_SqhGFP42_GAP43_TM6B,2,61,0,155,6.0,2.9408522588522628,0.6688227039113317,18.191666666666663,102,1.2821727499040474,0.9344741666235556,13,1.9881359700247532,0.974025974025974,1.389694093980938,0.9640707006481009,13,0.22471237853468476,0.08421052631578947,0.4551137615422981,3162.2783250741095,153,177,190,1.565107309527525,0.8831168831168831,1.2476599086443065,0.9771658818534471,13,0.2947561320051764,0.010526315789473684,0.524888037444688,3162.278809449002,212,238,337,1.4684267461066989,0.8051948051948052,1.1599745223787425,0.9852503929830012,13,0.28656780837989354,0.021052631578947368,0.7379810946892986,10000.003184345123,212,238,337,26,False
PSB1E1,SqAX3_SqhGFP42_GAP43_TM6B,2,93,0,244,6.1667,1.511338261773364,0.3437157850147864,11.433239999999984,179,1.2239118268247864,0.9998670448945091,9,1.4719390974844817,0.889344262295082,1.2111243820700475,0.9919143498672616,9,0.17614579060206348,0.13157894736842105,0.38551694196819597,3162.2781924548594,244,276,304,1.765138796950163,0.9836065573770492,1.4898477407533055,0.9812397646373733,9,0.18979318116486757,0.08552631578947369,0.43295213661650744,3162.2785996440816,336,369,544,1.8409944908282185,0.9467213114754098,1.5159113174608765,0.9802416126095622,9,0.179990971367509,0.06578947368421052,0.6072958543393846,10000.002520883272,336,369,544,33,True
PSB4,SqAX3_SqhGFP42_GAP43_TM6B,2,68,0,175,5.8333,2.401284092539814,0.5461115276353731,13.541756247187635,117,1.6497842057186065,0.9956208060050166,7,1.6410039555178129,0.9597701149425287,1.4677766890492623,0.9803925523675157,7,0.21026536561688264,0.037037037037037035,0.3520413583626463,3162.2781527998914,174,201,216,1.5057838428389847,0.896551724137931,1.44857325443776,0.9811974375670561,7,0.1864634776864809,0.046296296296296294,0.37227126913574626,3162.27847300857,240,269,386,1.606992335324363,0.8850574712643678,1.517012237519748,0.9783287609345006,7,0.1727780150034554,0.06481481481481481,0.47872595741575724,10000.00212042658,240,269,386,29,False
