statistic,mean,sd,ci_lo,ci_hi,map,n_hypotheses,ess,image_id,condition,replicate,geometry_source,proposer,n_hypotheses_total,downsample
reticular_fraction,0.0049679591186886,5.964927402371295e-06,0.004966887417218543,0.004966887417218543,0.004966887417218543,32,3.999999999999999,resized1024_8bit_zMAX231005_slide_ebm2_statcont_488notch_555fak_647vecad-01-Scene-4-P4,static,rep1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_fraction,0.0,0.0,0.0,0.0,0.0,32,3.999999999999999,resized1024_8bit_zMAX231005_slide_ebm2_statcont_488notch_555fak_647vecad-01-Scene-4-P4,static,rep1,junction_channel,neural:best.pt,32,1
area_degree_spearman,0.5176365329218681,0.001455476077719898,0.5168627256843993,0.5190979012394284,0.5168627256843993,32,3.999999999999999,resized1024_8bit_zMAX231005_slide_ebm2_statcont_488notch_555fak_647vecad-01-Scene-4-P4,static,rep1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_enrichment_z,-1.7091693024789e-310,3.4799310972800717e-156,0.0,0.0,0.0,26,3.999999999999999,resized1024_8bit_zMAX231005_slide_ebm2_statcont_488notch_555fak_647vecad-01-Scene-4-P4,static,rep1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_null_mean,7.7815692077e-314,1.5843561799217516e-159,0.0,0.0,0.0,26,3.999999999999999,resized1024_8bit_zMAX231005_slide_ebm2_statcont_488notch_555fak_647vecad-01-Scene-4-P4,static,rep1,junction_channel,neural:best.pt,32,1
tricellular_realized_3clique_fraction,0.9124902421282197,5.69934970833644e-05,0.9125,0.9125,0.9125,32,3.999999999999999,resized1024_8bit_zMAX231005_slide_ebm2_statcont_488notch_555fak_647vecad-01-Scene-4-P4,static,rep1,junction_channel,neural:best.pt,32,1
n_cells,226.9543702439985,0.2561993816897558,227.0,227.0,227.0,32,3.999999999999999,resized1024_8bit_zMAX231005_slide_ebm2_statcont_488notch_555fak_647vecad-01-Scene-4-P4,static,rep1,junction_channel,neural:best.pt,32,1
n_cell_cell_edges,603.87056778498,0.7198323083665064,604.0,604.0,604.0,32,3.999999999999999,resized1024_8bit_zMAX231005_slide_ebm2_statcont_488notch_555fak_647vecad-01-Scene-4-P4,static,rep1,junction_channel,neural:best.pt,32,1
mean_degree,5.1191797663387195,0.001523053458885431,5.118942731277533,5.118942731277533,5.118942731277533,32,3.999999999999999,resized1024_8bit_zMAX231005_slide_ebm2_statcont_488notch_555fak_647vecad-01-Scene-4-P4,static,rep1,junction_channel,neural:best.pt,32,1
