statistic,mean,sd,ci_lo,ci_hi,map,n_hypotheses,ess,image_id,condition,replicate,geometry_source,proposer,n_hypotheses_total,downsample
reticular_fraction,0.16624406530834454,0.0014364010492335176,0.1643835616438356,0.16759776536312848,0.16759776536312848,32,3.999999999999999,EGM2_regular_6dyn-76,6dyne,rep 2,junction_channel,neural:best.pt,32,1
all_reticular_3clique_fraction,3.047124872479289e-38,1.1460671696496212e-20,0.0,0.0,0.0,32,3.999999999999999,EGM2_regular_6dyn-76,6dyne,rep 2,junction_channel,neural:best.pt,32,1
area_degree_spearman,0.7374870774277025,0.008176415026776239,0.7293401986841778,0.7488578486217056,0.7293401986841778,32,3.999999999999999,EGM2_regular_6dyn-76,6dyne,rep 2,junction_channel,neural:best.pt,32,1
all_reticular_3clique_enrichment_z,-1.078140327166402,0.016145498807984365,-1.089302782288393,-1.046369295655283,-1.089302782288393,32,3.999999999999999,EGM2_regular_6dyn-76,6dyne,rep 2,junction_channel,neural:best.pt,32,1
all_reticular_3clique_null_mean,0.004693050354038523,0.0001435493517321259,0.004504464285714284,0.0048280542986425335,0.0048280542986425335,32,3.999999999999999,EGM2_regular_6dyn-76,6dyne,rep 2,junction_channel,neural:best.pt,32,1
tricellular_realized_3clique_fraction,0.9594871758728657,0.0003288400365378781,0.9592760180995475,0.9598214285714286,0.9592760180995475,32,3.999999999999999,EGM2_regular_6dyn-76,6dyne,rep 2,junction_channel,neural:best.pt,32,1
n_cells,137.0503225562021,0.9807076457249018,136.0,138.0,136.0,32,3.999999999999999,EGM2_regular_6dyn-76,6dyne,rep 2,junction_channel,neural:best.pt,32,1
n_cell_cell_edges,361.08996540747427,2.8654533882244597,358.0,365.0,358.0,32,3.999999999999999,EGM2_regular_6dyn-76,6dyne,rep 2,junction_channel,neural:best.pt,32,1
mean_degree,5.126340173564598,0.007978799863770711,5.115942028985507,5.132352941176471,5.132352941176471,32,3.999999999999999,EGM2_regular_6dyn-76,6dyne,rep 2,junction_channel,neural:best.pt,32,1
