statistic,mean,sd,ci_lo,ci_hi,map,n_hypotheses,ess,image_id,condition,replicate,geometry_source,proposer,n_hypotheses_total,downsample
reticular_fraction,0.09818113821750053,0.0006594938408111364,0.0979381443298969,0.09895833333333333,0.0979381443298969,32,3.9999999999999982,EGM2_regular_static-48,static,rep 3,junction_channel,neural:best.pt,32,1
all_reticular_3clique_fraction,1.5675674690745297e-64,1.5529463159152223e-33,0.0,0.0,0.0,32,3.9999999999999982,EGM2_regular_static-48,static,rep 3,junction_channel,neural:best.pt,32,1
area_degree_spearman,0.8829635224151744,0.00951742728257251,0.8686455076559286,0.892107982363942,0.8860809221250688,32,3.9999999999999982,EGM2_regular_static-48,static,rep 3,junction_channel,neural:best.pt,32,1
all_reticular_3clique_enrichment_z,-0.3345598658417426,0.009793246623882526,-0.34215756313755674,-0.32020623771988393,-0.3367448360803848,32,3.9999999999999982,EGM2_regular_static-48,static,rep 3,junction_channel,neural:best.pt,32,1
all_reticular_3clique_null_mean,0.0010970199988105864,5.089941833216364e-05,0.001028846153846154,0.0011442307692307691,0.0011153846153846155,32,3.9999999999999982,EGM2_regular_static-48,static,rep 3,junction_channel,neural:best.pt,32,1
tricellular_realized_3clique_fraction,0.9325572334511387,0.00043254908734898244,0.9320388349514563,0.9326923076923077,0.9326923076923077,32,3.9999999999999982,EGM2_regular_static-48,static,rep 3,junction_channel,neural:best.pt,32,1
n_cells,73.91705860527233,0.3853511328121994,74.0,74.0,74.0,32,3.9999999999999982,EGM2_regular_static-48,static,rep 3,junction_channel,neural:best.pt,32,1
n_cell_cell_edges,193.5284130650979,1.272243566938768,192.0,194.0,194.0,32,3.9999999999999982,EGM2_regular_static-48,static,rep 3,junction_channel,neural:best.pt,32,1
mean_degree,4.727518605844935,0.009595043042256422,4.702702702702703,4.72972972972973,4.72972972972973,32,3.9999999999999982,EGM2_regular_static-48,static,rep 3,junction_channel,neural:best.pt,32,1
