statistic,mean,sd,ci_lo,ci_hi,map,n_hypotheses,ess,image_id,condition,replicate,geometry_source,proposer,n_hypotheses_total,downsample
reticular_fraction,0.26502197786802495,0.0008691287601235765,0.265,0.265,0.265,32,4.000000000000001,EGM2_regular_18-20dyn-61,high_shear,rep 3,junction_channel,neural:best.pt,32,1
all_reticular_3clique_fraction,0.03572128431636819,7.903470362828705e-05,0.03571428571428571,0.03571428571428571,0.03571428571428571,32,4.000000000000001,EGM2_regular_18-20dyn-61,high_shear,rep 3,junction_channel,neural:best.pt,32,1
area_degree_spearman,0.83407830162692,0.002600629318423755,0.8326267764680128,0.8382730347926746,0.8326267764680128,32,4.000000000000001,EGM2_regular_18-20dyn-61,high_shear,rep 3,junction_channel,neural:best.pt,32,1
all_reticular_3clique_enrichment_z,1.433433515742822,0.03665521212544843,1.402656219104534,1.4785572716532656,1.4182376122604734,32,4.000000000000001,EGM2_regular_18-20dyn-61,high_shear,rep 3,junction_channel,neural:best.pt,32,1
all_reticular_3clique_null_mean,0.01886187628580463,0.00027124427791812755,0.018660714285714284,0.019107142857142857,0.018660714285714284,32,4.000000000000001,EGM2_regular_18-20dyn-61,high_shear,rep 3,junction_channel,neural:best.pt,32,1
tricellular_realized_3clique_fraction,0.9732437493261362,0.0005194429124237499,0.9732142857142857,0.9732142857142857,0.9732142857142857,32,4.000000000000001,EGM2_regular_18-20dyn-61,high_shear,rep 3,junction_channel,neural:best.pt,32,1
n_cells,82.96378090023143,0.25683139765264085,83.0,83.0,83.0,32,4.000000000000001,EGM2_regular_18-20dyn-61,high_shear,rep 3,junction_channel,neural:best.pt,32,1
n_cell_cell_edges,199.94562323470004,0.40394036741932887,200.0,200.0,200.0,32,4.000000000000001,EGM2_regular_18-20dyn-61,high_shear,rep 3,junction_channel,neural:best.pt,32,1
mean_degree,4.627230692766326,0.005257346581520474,4.626506024096385,4.626506024096385,4.626506024096385,32,4.000000000000001,EGM2_regular_18-20dyn-61,high_shear,rep 3,junction_channel,neural:best.pt,32,1
