statistic,mean,sd,ci_lo,ci_hi,map,n_hypotheses,ess,image_id,condition,replicate,geometry_source,proposer,n_hypotheses_total,downsample
reticular_fraction,0.177723463096235,0.0007827746533540256,0.17539267015706805,0.1784776902887139,0.17801047120418848,32,4.000000000000001,EGM2_regular_6dyn-82,6dyne,rep 3,junction_channel,neural:best.pt,32,1
all_reticular_3clique_fraction,0.004188932681370996,1.3276238204172983e-05,0.0041841004184100415,0.004201680672268907,0.0041841004184100415,32,4.000000000000001,EGM2_regular_6dyn-82,6dyne,rep 3,junction_channel,neural:best.pt,32,1
area_degree_spearman,0.7769204620169285,0.005890828917881579,0.7710830736296915,0.7847120262460097,0.7710830736296915,32,4.000000000000001,EGM2_regular_6dyn-82,6dyne,rep 3,junction_channel,neural:best.pt,32,1
all_reticular_3clique_enrichment_z,-0.35853890845349556,0.034192703214111185,-0.41951821241458803,-0.3191178246969738,-0.33781647051142866,32,4.000000000000001,EGM2_regular_6dyn-82,6dyne,rep 3,junction_channel,neural:best.pt,32,1
all_reticular_3clique_null_mean,0.005937068114540894,0.0001579176165892645,0.005673640167364015,0.006193277310924369,0.005874476987447698,32,4.000000000000001,EGM2_regular_6dyn-82,6dyne,rep 3,junction_channel,neural:best.pt,32,1
tricellular_realized_3clique_fraction,0.9456667428233341,0.0006159989599698541,0.9453781512605042,0.9456066945606695,0.9456066945606695,32,4.000000000000001,EGM2_regular_6dyn-82,6dyne,rep 3,junction_channel,neural:best.pt,32,1
n_cells,142.55212248744942,0.8861111156292881,142.0,144.0,142.0,32,4.000000000000001,EGM2_regular_6dyn-82,6dyne,rep 3,junction_channel,neural:best.pt,32,1
n_cell_cell_edges,382.3062936567859,1.1623365154286374,381.0,384.0,382.0,32,4.000000000000001,EGM2_regular_6dyn-82,6dyne,rep 3,junction_channel,neural:best.pt,32,1
mean_degree,5.181460158959101,0.018586656951535423,5.152777777777778,5.197183098591549,5.197183098591549,32,4.000000000000001,EGM2_regular_6dyn-82,6dyne,rep 3,junction_channel,neural:best.pt,32,1
