statistic,mean,sd,ci_lo,ci_hi,map,n_hypotheses,ess,image_id,condition,replicate,geometry_source,proposer,n_hypotheses_total,downsample
reticular_fraction,0.12610452303089298,0.0014851710920477203,0.12448132780082988,0.12863070539419086,0.12552301255230125,32,4.0000000000000036,EGM2_regular_static-45,static,rep 3,junction_channel,neural:best.pt,32,1
all_reticular_3clique_fraction,0.0076151193685485875,3.5773278390848864e-05,0.007575757575757576,0.007633587786259542,0.007633587786259542,32,4.0000000000000036,EGM2_regular_static-45,static,rep 3,junction_channel,neural:best.pt,32,1
area_degree_spearman,0.7284791237864109,0.005031693804162904,0.7168601936264775,0.73515712871,0.7268929871677138,32,4.0000000000000036,EGM2_regular_static-45,static,rep 3,junction_channel,neural:best.pt,32,1
all_reticular_3clique_enrichment_z,1.3677869501457358,0.10552171650433027,1.182677716239521,1.4686352061812424,1.407564769435891,32,4.0000000000000036,EGM2_regular_static-45,static,rep 3,junction_channel,neural:best.pt,32,1
all_reticular_3clique_null_mean,0.0022060348855871743,0.00014170014746877786,0.0020303030303030303,0.0024393939393939396,0.0021755725190839696,32,4.0000000000000036,EGM2_regular_static-45,static,rep 3,junction_channel,neural:best.pt,32,1
tricellular_realized_3clique_fraction,0.9466938927372629,0.0002541885564824701,0.9465648854961832,0.946969696969697,0.9465648854961832,32,4.0000000000000036,EGM2_regular_static-45,static,rep 3,junction_channel,neural:best.pt,32,1
n_cells,93.88273943878772,0.4193871228585833,93.0,94.0,94.0,32,4.0000000000000036,EGM2_regular_static-45,static,rep 3,junction_channel,neural:best.pt,32,1
n_cell_cell_edges,239.58179934285357,1.3032581585822487,238.0,241.0,239.0,32,4.0000000000000036,EGM2_regular_static-45,static,rep 3,junction_channel,neural:best.pt,32,1
mean_degree,4.776262593869049,0.01149615646239215,4.76595744680851,4.795698924731183,4.76595744680851,32,4.0000000000000036,EGM2_regular_static-45,static,rep 3,junction_channel,neural:best.pt,32,1
