statistic,mean,sd,ci_lo,ci_hi,map,n_hypotheses,ess,image_id,condition,replicate,geometry_source,proposer,n_hypotheses_total,downsample
reticular_fraction,0.1803981129596608,0.00062542690943832,0.17916666666666667,0.18067226890756302,0.18067226890756302,32,3.999999999999999,EGM2_regular_18-20dyn-62,high_shear,rep 3,junction_channel,neural:best.pt,32,1
all_reticular_3clique_fraction,0.014492097488727318,6.262217077947831e-05,0.014388489208633094,0.014598540145985401,0.014492753623188406,32,3.999999999999999,EGM2_regular_18-20dyn-62,high_shear,rep 3,junction_channel,neural:best.pt,32,1
area_degree_spearman,0.8580659196917048,0.0057208005525659945,0.8456579696052423,0.8612952434940543,0.8612952434940543,32,3.999999999999999,EGM2_regular_18-20dyn-62,high_shear,rep 3,junction_channel,neural:best.pt,32,1
all_reticular_3clique_enrichment_z,1.0793030460006645,0.056712320655078696,1.0339186852107618,1.1695534540606298,1.0339186852107618,32,3.999999999999999,EGM2_regular_18-20dyn-62,high_shear,rep 3,junction_channel,neural:best.pt,32,1
all_reticular_3clique_null_mean,0.007008086289526091,0.00021380967903415155,0.006582733812949639,0.007159420289855072,0.00713768115942029,32,3.999999999999999,EGM2_regular_18-20dyn-62,high_shear,rep 3,junction_channel,neural:best.pt,32,1
tricellular_realized_3clique_fraction,0.9130472916267557,0.0003659976970505363,0.9124087591240876,0.9136690647482014,0.9130434782608695,32,3.999999999999999,EGM2_regular_18-20dyn-62,high_shear,rep 3,junction_channel,neural:best.pt,32,1
n_cells,92.83783485382924,0.5282727373877869,91.0,93.0,93.0,32,3.999999999999999,EGM2_regular_18-20dyn-62,high_shear,rep 3,junction_channel,neural:best.pt,32,1
n_cell_cell_edges,237.97045394546367,1.2129709981758168,235.0,240.0,238.0,32,3.999999999999999,EGM2_regular_18-20dyn-62,high_shear,rep 3,junction_channel,neural:best.pt,32,1
mean_degree,4.779254059464777,0.010162475862715535,4.774193548387097,4.795698924731183,4.774193548387097,32,3.999999999999999,EGM2_regular_18-20dyn-62,high_shear,rep 3,junction_channel,neural:best.pt,32,1
