statistic,mean,sd,ci_lo,ci_hi,map,n_hypotheses,ess,image_id,condition,replicate,geometry_source,proposer,n_hypotheses_total,downsample
reticular_fraction,0.1804501846565164,0.004582733918754256,0.17592592592592593,0.18571428571428572,0.18571428571428572,32,3.999999999999999,EGM2_regular_static-50,static,rep 3,junction_channel,neural:best.pt,32,1
all_reticular_3clique_fraction,0.008008410011592037,0.00010948860809225359,0.007936507936507936,0.008064516129032258,0.008064516129032258,32,3.999999999999999,EGM2_regular_static-50,static,rep 3,junction_channel,neural:best.pt,32,1
area_degree_spearman,0.854969756784871,0.005284366145620305,0.8506199769462682,0.8610429832462219,0.8506199769462682,32,3.999999999999999,EGM2_regular_static-50,static,rep 3,junction_channel,neural:best.pt,32,1
all_reticular_3clique_enrichment_z,0.2558372672642649,0.07066000163557043,0.18568029201707545,0.3781240119004699,0.18568029201707545,32,3.999999999999999,EGM2_regular_static-50,static,rep 3,junction_channel,neural:best.pt,32,1
all_reticular_3clique_null_mean,0.0062784545005793255,0.00046665220231749,0.005515873015873016,0.006766129032258064,0.006766129032258064,32,3.999999999999999,EGM2_regular_static-50,static,rep 3,junction_channel,neural:best.pt,32,1
tricellular_realized_3clique_fraction,0.904021685581452,0.0009973652497034455,0.9032258064516129,0.9047619047619048,0.9032258064516129,32,3.999999999999999,EGM2_regular_static-50,static,rep 3,junction_channel,neural:best.pt,32,1
n_cells,89.05926112062411,0.9846520267961134,88.0,90.0,88.0,32,3.999999999999999,EGM2_regular_static-50,static,rep 3,junction_channel,neural:best.pt,32,1
n_cell_cell_edges,212.9115874822839,2.7713990814186142,210.0,216.0,210.0,32,3.999999999999999,EGM2_regular_static-50,static,rep 3,junction_channel,neural:best.pt,32,1
mean_degree,4.558012360059076,0.011506783286283179,4.533333333333333,4.568181818181818,4.568181818181818,32,3.999999999999999,EGM2_regular_static-50,static,rep 3,junction_channel,neural:best.pt,32,1
