statistic,mean,sd,ci_lo,ci_hi,map,n_hypotheses,ess,image_id,condition,replicate,geometry_source,proposer,n_hypotheses_total,downsample
reticular_fraction,0.0013780997883490024,1.7473503593300907e-05,0.0013774104683195593,0.0013812154696132596,0.0013774104683195593,32,4.000000000000001,resized1024_8bit_zMAX231005_slide_egm2_flowltr_30min_488notch_emissionfix_555fak_647vecad-01-Scene-4-P4,high_shear,rep1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_fraction,0.0,0.0,0.0,0.0,0.0,32,4.000000000000001,resized1024_8bit_zMAX231005_slide_egm2_flowltr_30min_488notch_emissionfix_555fak_647vecad-01-Scene-4-P4,high_shear,rep1,junction_channel,neural:best.pt,32,1
area_degree_spearman,0.7508611346750552,0.000562600024630355,0.7505037022865222,0.7514100050922103,0.7514100050922103,32,4.000000000000001,resized1024_8bit_zMAX231005_slide_egm2_flowltr_30min_488notch_emissionfix_555fak_647vecad-01-Scene-4-P4,high_shear,rep1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_enrichment_z,0.0,0.0,0.0,0.0,0.0,17,3.998726407752149,resized1024_8bit_zMAX231005_slide_egm2_flowltr_30min_488notch_emissionfix_555fak_647vecad-01-Scene-4-P4,high_shear,rep1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_null_mean,0.0,0.0,0.0,0.0,0.0,17,3.998726407752149,resized1024_8bit_zMAX231005_slide_egm2_flowltr_30min_488notch_emissionfix_555fak_647vecad-01-Scene-4-P4,high_shear,rep1,junction_channel,neural:best.pt,32,1
tricellular_realized_3clique_fraction,0.9103728822691728,8.163233024352456e-05,0.9102296450939458,0.9104166666666667,0.9104166666666667,32,4.000000000000001,resized1024_8bit_zMAX231005_slide_egm2_flowltr_30min_488notch_emissionfix_555fak_647vecad-01-Scene-4-P4,high_shear,rep1,junction_channel,neural:best.pt,32,1
n_cells,266.98997916271117,0.11161610184262839,267.0,267.0,267.0,32,4.000000000000001,resized1024_8bit_zMAX231005_slide_egm2_flowltr_30min_488notch_emissionfix_555fak_647vecad-01-Scene-4-P4,high_shear,rep1,junction_channel,neural:best.pt,32,1
n_cell_cell_edges,725.5218015827338,0.8819821235494433,724.0,726.0,726.0,32,4.000000000000001,resized1024_8bit_zMAX231005_slide_egm2_flowltr_30min_488notch_emissionfix_555fak_647vecad-01-Scene-4-P4,high_shear,rep1,junction_channel,neural:best.pt,32,1
mean_degree,5.196859477405903,0.003176216634129538,5.191011235955056,5.198501872659176,5.198501872659176,32,4.000000000000001,resized1024_8bit_zMAX231005_slide_egm2_flowltr_30min_488notch_emissionfix_555fak_647vecad-01-Scene-4-P4,high_shear,rep1,junction_channel,neural:best.pt,32,1
