statistic,mean,sd,ci_lo,ci_hi,map,n_hypotheses,ess,image_id,condition,replicate,geometry_source,proposer,n_hypotheses_total,downsample
reticular_fraction,0.3022411500605157,0.002368560870149282,0.2995391705069124,0.30465116279069765,0.30465116279069765,24,4.000000000000002,EGM2_regular_6dyn-30,6dyne,rep 1,junction_channel,neural:best.pt,24,1
all_reticular_3clique_fraction,0.018338879758348445,6.677895140403699e-05,0.01824817518248175,0.01838235294117647,0.01838235294117647,24,4.000000000000002,EGM2_regular_6dyn-30,6dyne,rep 1,junction_channel,neural:best.pt,24,1
area_degree_spearman,0.6335958140761551,0.012588628251513082,0.6157137520435678,0.6537961264844194,0.6260297052022744,24,4.000000000000002,EGM2_regular_6dyn-30,6dyne,rep 1,junction_channel,neural:best.pt,24,1
all_reticular_3clique_enrichment_z,-1.0463849128222455,0.05470343116727803,-1.1037047887203986,-0.9717134684839073,-1.1037047887203986,24,4.000000000000002,EGM2_regular_6dyn-30,6dyne,rep 1,junction_channel,neural:best.pt,24,1
all_reticular_3clique_null_mean,0.027905944212270203,0.0006893772694559262,0.026934306569343067,0.028621323529411765,0.028621323529411765,24,4.000000000000002,EGM2_regular_6dyn-30,6dyne,rep 1,junction_channel,neural:best.pt,24,1
tricellular_realized_3clique_fraction,0.9743256270933286,8.923199162738744e-05,0.9742647058823529,0.9744525547445255,0.9742647058823529,24,4.000000000000002,EGM2_regular_6dyn-30,6dyne,rep 1,junction_channel,neural:best.pt,24,1
n_cells,161.5962180974504,0.8979470316692051,161.0,163.0,161.0,24,4.000000000000002,EGM2_regular_6dyn-30,6dyne,rep 1,junction_channel,neural:best.pt,24,1
n_cell_cell_edges,431.24501525977496,1.8322980773062332,430.0,434.0,430.0,24,4.000000000000002,EGM2_regular_6dyn-30,6dyne,rep 1,junction_channel,neural:best.pt,24,1
mean_degree,5.300224379464908,0.007426701723867796,5.288343558282208,5.308641975308642,5.304347826086956,24,4.000000000000002,EGM2_regular_6dyn-30,6dyne,rep 1,junction_channel,neural:best.pt,24,1
