statistic,mean,sd,ci_lo,ci_hi,map,n_hypotheses,ess,image_id,condition,replicate,geometry_source,proposer,n_hypotheses_total,downsample
reticular_fraction,0.15577732484949025,0.0007616369565106228,0.1549636803874092,0.15647921760391198,0.15647921760391198,32,3.9999999999999982,EGM2_regular_static-17,static,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_fraction,0.008049480682231538,1.6218635241374883e-05,0.008032128514056224,0.008064516129032258,0.008064516129032258,32,3.9999999999999982,EGM2_regular_static-17,static,rep 1,junction_channel,neural:best.pt,32,1
area_degree_spearman,0.6575571188822654,0.008828675105478988,0.6387307733524762,0.6693016299011547,0.655515539594165,32,3.9999999999999982,EGM2_regular_static-17,static,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_enrichment_z,0.9214466032900019,0.03159553705542876,0.8811400396633638,0.971429176259516,0.9394866020784947,32,3.9999999999999982,EGM2_regular_static-17,static,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_null_mean,0.004335948694789436,8.372382031343667e-05,0.00414859437751004,0.00442570281124498,0.004330645161290322,32,3.9999999999999982,EGM2_regular_static-17,static,rep 1,junction_channel,neural:best.pt,32,1
tricellular_realized_3clique_fraction,0.9678017986662555,7.272453268942662e-05,0.967741935483871,0.9678714859437751,0.967741935483871,32,3.9999999999999982,EGM2_regular_static-17,static,rep 1,junction_channel,neural:best.pt,32,1
n_cells,143.92859747104296,0.9965595279716027,143.0,145.0,143.0,32,3.9999999999999982,EGM2_regular_static-17,static,rep 1,junction_channel,neural:best.pt,32,1
n_cell_cell_edges,410.8590351016867,1.9936419987980898,409.0,413.0,409.0,32,3.9999999999999982,EGM2_regular_static-17,static,rep 1,junction_channel,neural:best.pt,32,1
mean_degree,5.355445532661181,0.016287481497734936,5.337931034482758,5.370629370629371,5.370629370629371,32,3.9999999999999982,EGM2_regular_static-17,static,rep 1,junction_channel,neural:best.pt,32,1
