condition,n_fields,n_cells,n_edges,AJ_coverage_mean,AJ_coverage_sd,TJ_coverage_mean,TJ_coverage_sd,actin_coverage_mean,actin_coverage_sd,co_occupancy_AJ_TJ_mean,co_occupancy_AJ_TJ_sd,jaccard_AJ_TJ_mean,jaccard_AJ_TJ_sd,pearson_AJ_TJ_mean,pearson_AJ_TJ_sd,exclusive_AJ_mean,exclusive_AJ_sd,exclusive_TJ_mean,exclusive_TJ_sd,exclusive_actin_mean,exclusive_actin_sd,n_gaps_mean,n_gaps_sd,gap_fraction_mean,gap_fraction_sd,G_eff_mean,G_eff_sd,permeability_index_mean,permeability_index_sd,mean_g_edge_mean,mean_g_edge_sd,state_none_mean,state_none_sd,state_actin only_mean,state_actin only_sd,state_TJ only_mean,state_TJ only_sd,state_TJ+actin_mean,state_TJ+actin_sd,state_AJ only_mean,state_AJ only_sd,state_AJ+actin_mean,state_AJ+actin_sd,state_AJ+TJ_mean,state_AJ+TJ_sd,state_AJ+TJ+actin_mean,state_AJ+TJ+actin_sd
BRAFi,14,222,458,0.39448366997794565,0.0576987859574507,0.3576471889166192,0.08080651005874233,0.33240769144600896,0.035039110047191464,0.23464985895077492,0.06361444581742799,0.38948957147465896,0.08267904739712062,0.6370537461523581,0.06095505525331549,0.0920075940226897,0.018576323275911213,0.08483275466390852,0.025069257068701098,0.08760884487376326,0.03307206421184662,1.1428571428571428,4.2761798705987895,0.011361730088871234,0.04251170131355681,1039.6088586559233,146.9944980856107,0.05704993165138254,0.008039845806003762,32.80826566385906,6.647076970683972,0.39491015518244704,0.049293868531082,0.08760884487376326,0.03307206421184662,0.08483275466390852,0.025069257068701112,0.038164575301935656,0.010596217856782041,0.0920075940226897,0.01857632327591122,0.06782621700448092,0.023005560966069885,0.09584180468494582,0.04337571530947064,0.13880805426582918,0.034514235409395425
DMSO,3,45,88,0.4141686648101521,0.007381700254733647,0.37600005679263687,0.036336975872428484,0.37392822670285203,0.07446203084767468,0.24838843891668264,0.019061071956882263,0.3759061356467383,0.04088018291870535,0.6580605481723153,0.04255792191319201,0.0954355013419133,0.009418241785601453,0.0705253084062316,0.027730189393291093,0.0992613834612272,0.02122999761670946,0.0,0.0,0.0,0.0,980.5189013508798,46.413938254147034,0.053756918223048435,0.0024996727629666565,35.167153645577784,8.243025641961633,0.35895833385266646,0.007695245191489826,0.09926138346122722,0.02122999761670947,0.0705253084062316,0.027730189393291093,0.057086309469722575,0.010727475868556942,0.09543550134191327,0.00941824178560142,0.07034472455155615,0.019662570277955534,0.10115262969633658,0.04440648227755764,0.1472358092203461,0.02864493112922432
