field_id,condition,treatment,compound,concentration_um,figure,n_cells,n_gaps,n_edges,cell_radius_px,threshold_AJ,threshold_TJ,threshold_actin,AJ_coverage,TJ_coverage,actin_coverage,co_occupancy_AJ_TJ,jaccard_AJ_TJ,pearson_AJ_TJ,exclusive_AJ,exclusive_TJ,exclusive_actin,state_none,state_actin only,state_TJ only,state_TJ+actin,state_AJ only,state_AJ+actin,state_AJ+TJ,state_AJ+TJ+actin,G_eff,G_junction,G_gap,gap_fraction,permeability_index,mean_g_edge,tissue_area,area_unit,validated,joint_state_0_fraction,joint_state_1_fraction,joint_state_2_fraction,joint_state_3_fraction
Figure_5A__Figure_5A_D10__Snap-212-Bild-Export-34,BRAFi,D10,Dabrafenib,10.0,5A,14,0,28,123.82483325292817,115.58984375000001,67.2957342552796,79.87750964154405,0.4621874825050542,0.4593410859070303,0.30763640048400354,0.334202223960849,0.5325089835093058,0.7211445057326201,0.09687193653440718,0.0773643256923918,0.0371561160254337,0.37551753952333095,0.03715611602543369,0.07736432569239181,0.047774536253789406,0.09687193653440722,0.031113322009797793,0.1426097977658665,0.19159242619498262,846.488008718648,846.488008718648,0.0,0.0,0.0463832274981042,30.23171459709457,18249.87294713905,um^2,False,0.19213973799126638,0.29912663755458513,0.39956331877729256,0.1091703056768559
Figure_5A__Figure_5A_DMSO__Snap-184-Bild-Export-06,DMSO,DMSO,DMSO,0.0,5A,18,0,40,124.52975454692165,107.65234375000001,98.72265625000001,94.75390625000001,0.4101721792679465,0.41459564966089507,0.2886872434194041,0.26656428763968043,0.42047073822614306,0.7071567862989377,0.09062100991956243,0.10254394948484095,0.07560203184823652,0.3661944268626021,0.07560203184823652,0.10254394948484095,0.045487412536373686,0.09062100991956243,0.052986881708703706,0.15195337031359024,0.11461091732609018,1027.448139516358,1027.448139516358,0.0,0.0,0.056298920134533116,25.686203487908948,18249.87294713905,um^2,False,0.18181818181818182,0.2159090909090909,0.4318181818181818,0.17045454545454544
Figure_5A__Figure_5A_V10__Snap-190-Bild-Export-12,BRAFi,V10,Vemurafenib,10.0,5A,22,0,48,124.13773545893596,107.65234375000001,73.79942333726223,88.80078125000001,0.44278345853299633,0.4331734309925734,0.3084798880270839,0.33352080517736854,0.5417367293294687,0.7544102759187516,0.07680131363669081,0.07111299785187825,0.06239499834283576,0.39516891730896303,0.06239499834283577,0.07111299785187825,0.028539627963326625,0.07680131363669082,0.032461339718937034,0.14843688317538403,0.18508392200198448,1121.5163675273686,1121.5163675273686,0.0,0.0,0.06145337947150934,23.364924323486846,18249.87294713905,um^2,False,0.19213973799126638,0.29912663755458513,0.39956331877729256,0.1091703056768559
Figure_5A__Figure_5A_V100__Snap-204-Bild-Export-26,BRAFi,V100,Vemurafenib,100.0,5A,16,0,31,126.1802782512207,94.75390625000001,62.01171875,90.78515625000001,0.3765888327735605,0.41795089329243434,0.32751112926557363,0.2525719874811407,0.42512837430780387,0.6352305499752187,0.07528238204860234,0.12075973444094568,0.07711854535155123,0.3809137160635948,0.07711854535155122,0.12075973444094572,0.04461917137034798,0.07528238204860235,0.04873446324381743,0.09553303818128377,0.1570389492998569,1075.6176395830491,1075.6176395830491,0.0,0.0,0.05893836317099779,34.69734321235642,18249.87294713905,um^2,False,0.19213973799126638,0.29912663755458513,0.39956331877729256,0.1091703056768559
Supplementary_Figures_S6-S7__S6_D1__Snap-206-Bild-Export-28,BRAFi,D1,Dabrafenib,1.0,S6,18,0,38,120.74184356393444,86.81640625000001,57.04259731478872,81.85546875000001,0.37600397429912186,0.31533739707582276,0.2777422325702297,0.20412258752778112,0.3744434747635447,0.6298681799380165,0.11974041219807798,0.07308913493896947,0.06112972481946095,0.45165149133337545,0.06112972481946094,0.07308913493896944,0.038125674609072145,0.11974041219807798,0.05214097457326277,0.07777672895934727,0.1263458585684339,1215.2778097172522,1215.2778097172522,0.0,0.0,0.06659102850947606,31.98099499255927,18249.87294713905,um^2,False,0.19213973799126638,0.29912663755458513,0.39956331877729256,0.1091703056768559
Supplementary_Figures_S6-S7__S6_D100__Snap-218-Bild-Export-40,BRAFi,D100,Dabrafenib,100.0,S6,10,0,18,123.74045516254841,90.78515625000001,42.427195799223526,60.02734375,0.3455734709274,0.37876043218829014,0.3665555299015539,0.23063240512959393,0.42019745369742073,0.6331732994498017,0.06034991057117705,0.1106724390046722,0.09196200839822952,0.41433649361567443,0.09196200839822946,0.11067243900467225,0.037455588054023915,0.060349910571177015,0.05459115522662899,0.048085626906922425,0.1825467782226715,776.2555056844039,776.2555056844039,0.0,0.0,0.04253484437578476,43.12530587135578,18249.87294713905,um^2,False,0.19213973799126638,0.29912663755458513,0.39956331877729256,0.1091703056768559
Supplementary_Figures_S6-S7__S6_DMSO__Snap-180-Bild-Export-02,DMSO,DMSO,DMSO,0.0,S6,13,0,23,122.3784300640736,90.78515625000001,66.47659862884095,89.79296875,0.42268692108844497,0.3709557151647709,0.40679807146279084,0.25005008926976985,0.3401447207670556,0.6316831481218848,0.10628779190732908,0.054254508618828697,0.10553326206513002,0.35087419095142397,0.10553326206513006,0.05425450861882868,0.06665111727617241,0.10628779190732904,0.06634903991134607,0.08178543705962751,0.16826465221014236,934.6380243697839,934.6380243697839,0.0,0.0,0.051301842255567595,40.636435842164516,18218.410553635647,um^2,False,0.18181818181818182,0.2159090909090909,0.4318181818181818,0.17045454545454544
Supplementary_Figures_S6-S7__S6_V1__Snap-186-Bild-Export-08,BRAFi,V1,Vemurafenib,1.0,S6,18,0,40,112.939249025399,83.83984375,59.03515625,96.73828125000001,0.38749967599556084,0.3481780744583742,0.3613242735356036,0.2216995771589779,0.3763872271475208,0.6214830757285152,0.09090065905972844,0.08370031595724459,0.08573272323769444,0.40028910346734864,0.08573272323769442,0.08370031595724461,0.04277818134215157,0.09090065905972841,0.0748994397768544,0.0637856479800748,0.15791392917890318,1118.946815491633,1118.946815491633,0.0,0.0,0.06131258111947816,27.973670387290827,18249.87294713905,um^2,False,0.19213973799126638,0.29912663755458513,0.39956331877729256,0.1091703056768559
Supplementary_Figures_S6-S7__S6_V10__Snap-191-Bild-Export-13,BRAFi,V10,Vemurafenib,10.0,S6,15,0,31,128.31437512163853,89.79296875,57.03136743041106,78.87890625000001,0.43394483978206055,0.4556594880099837,0.33432252528945966,0.26840365223630636,0.35800091751179774,0.692037801154846,0.0838739432136181,0.13128978576216271,0.06224380440321431,0.3165555200410477,0.062243804403214316,0.13128978576216274,0.05596605001151461,0.08387394321361809,0.08166724433213603,0.1339582256937117,0.13444542654259473,868.2056627843402,868.2056627843402,0.0,0.0,0.047573244224719105,28.006634283365813,18249.87294713905,um^2,False,0.19213973799126638,0.29912663755458513,0.39956331877729256,0.1091703056768559
Supplementary_Figures_S6-S7__S6_V100__Snap-195-Bild-Export-17,BRAFi,V100,Vemurafenib,100.0,S6,13,0,27,111.23981672672274,51.09765625,35.22265625,74.91015625000001,0.25504404786537355,0.20024481961441112,0.29815705247444174,0.10875655987300752,0.2663557362783441,0.5633287004935076,0.07507682037260509,0.07062367088516383,0.13668163600890484,0.5167860563843181,0.13668163600890484,0.07062367088516382,0.02086458885623981,0.0750768203726051,0.07121066761976096,0.039356399883471255,0.06940015998953626,1187.882967941095,1187.882967941095,0.0,0.0,0.06508993083852203,43.99566547929982,18249.87294713905,um^2,False,0.19213973799126638,0.29912663755458513,0.39956331877729256,0.1091703056768559
