n_pred_cells,n_ref_cells,n_matched_cells,n_unmatched_pred_cells,n_unmatched_ref_cells,n_splits,n_merges,mean_matched_iou,n_pred_edges,n_ref_edges,n_matched_edges,n_unmatched_pred_edges,n_unmatched_ref_edges,n_pred_pairs,n_ref_pairs,n_pair_tp,adjacency_pair_precision,adjacency_pair_recall,adjacency_pair_f1,adjacency_component_precision,adjacency_component_recall,adjacency_component_f1,arclength_rel_error_mean_abs,arclength_rel_error_median_abs,arclength_rel_error_mean_signed,arclength_rel_error_max_abs,n_pred_vertices,n_ref_vertices,n_matched_vertices,vertex_precision,vertex_recall,vertex_f1,vertex_loc_error_mean_px,vertex_loc_error_median_px,vertex_loc_error_p95_px,vertex_incident_set_accuracy,vertex_cyclic_order_accuracy,n_vertex_incident_set_mismatches,vertex_loc_error_mean_um,vertex_loc_error_median_um,vertex_loc_error_p95_um,pq,sq,rq,ap50,ap75,vi,vi_merge,vi_split,boundary_precision,boundary_recall,boundary_f1,hausdorff_px,hausdorff95_px,euler_residual_pred,euler_residual_ref,valid_pred,valid_ref,validity_fraction,complex_edit_distance_approx,tol_px,iou_thresh,pixel_size_um,runtime_s,legacy_f1,legacy_precision,legacy_recall,method_runtime_s,method,image_id,dataset,shape
1763,1957,1507,256,450,139,257,0.7895242739751949,5742,5440,2598,3144,2842,5095,5436,3333,0.654170755642787,0.6131346578366446,0.6329883201975122,0.45245559038662486,0.47757352941176473,0.4646753711321767,0.22067279287675493,0.1313281477766539,0.022460610459368185,9.0,3023,3428,1388,0.45914654316903736,0.4049008168028005,0.430320880483646,1.6743541737480387,1.4142135623730951,3.0,0.6239193083573487,0.6239193083573487,522,1.0883302129362251,0.9192388155425119,1.9500000000000002,0.639684452086354,0.7895242739751949,0.8102150537634408,0.6809760506100316,0.4133738601823708,2.119550085668695,0.9875572157357531,1.131992869932942,0.8362639451943894,0.83542132298161,0.8358424217238045,89.47066558375433,9.848857801796104,0,0,True,True,1.0,7214,3.0,0.5,0.65,4.273400153964758,0.6259695779188074,0.6427389325610261,0.6100530139407029,8.752321243286133,neural,L0_1,hcec,"[2048, 2048]"
1794,1976,1593,201,383,106,265,0.7984021817810631,5858,5713,2850,3008,2863,5168,5709,3829,0.7409055727554179,0.6706953932387458,0.7040544267720878,0.48651416865824515,0.4988622440049011,0.4926108374384236,0.20074097915670489,0.13231717843276752,-0.0062660238982786744,4.6539106383624,3016,3729,1313,0.4353448275862069,0.3521051220166264,0.3893254262416605,1.753789714108481,2.0,3.0,0.7060167555217061,0.7060167555217061,386,1.1399633141705128,1.3,1.9500000000000002,0.674723965823466,0.7984021817810631,0.8450928381962864,0.731740927882407,0.4778518228145825,1.7364324947427083,0.9834905463209269,0.7529419484217813,0.7880919053634222,0.8171705543372603,0.802367856150597,73.68174807915459,9.219544457292887,0,0,True,True,1.0,6841,3.0,0.5,0.65,4.0627702991478145,0.6947771921418304,0.7320274636510501,0.6611344154659857,5.811072587966919,neural,L12_1,hcec,"[2048, 2048]"
2321,2509,2173,148,336,130,229,0.8089233158284205,7593,7300,4265,3328,3035,6697,7295,5459,0.8151411079587875,0.7483207676490747,0.7803030303030303,0.5617015672329777,0.5842465753424657,0.572752299738132,0.21681887068682731,0.1407836598527699,-0.03149141298575697,12.082838195256047,3581,4782,1931,0.539234850600391,0.40380593893768296,0.46179600621786443,1.6851387312592532,1.4142135623730951,3.0,0.7602278612118073,0.7602278612118073,463,1.0953401753185146,0.9192388155425119,1.9500000000000002,0.727863505298202,0.8089233158284205,0.8997929606625259,0.8178396687993978,0.564625850340136,1.5748381869638615,0.926898650723117,0.6479395362407445,0.8522100446962824,0.8724858333972133,0.862228756409198,61.29437168288782,7.0,0,0,True,True,1.0,7310,3.0,0.5,0.65,4.817068080883473,0.7690560896222844,0.8077595802194307,0.7338919387460272,6.102493047714233,neural,L1_3,hcec,"[2048, 2048]"
1043,1309,723,320,586,190,271,0.7321666363455235,3243,3487,725,2518,2762,2913,3480,1156,0.39684174390662547,0.332183908045977,0.36164554982011576,0.22355843354918287,0.2079151132778893,0.21545319465081725,0.2301114785905847,0.16292252589653447,0.027888556227618835,3.2325613623286777,1753,2112,434,0.24757558471192243,0.20549242424242425,0.22457956015523933,1.7841581307415382,2.0,3.0,0.2857142857142857,0.2857142857142857,310,1.1597027849819999,1.3,1.9500000000000002,0.45013305958997746,0.7321666363455235,0.6147959183673469,0.4438305709023941,0.18013045659809332,2.5128641573533588,1.1904980350524825,1.3223661223008762,0.6874953116795439,0.7051465723836687,0.6962090801782432,89.30845424706443,15.524174696260024,0,0,True,True,1.0,6496,3.0,0.5,0.65,3.316591592039913,0.36090969017798286,0.3934602946460654,0.3333333333333333,5.398267984390259,neural,L1_5,hcec,"[2048, 2048]"
2344,2480,2160,184,320,136,209,0.7900377748006807,8018,7232,3842,4176,3390,6767,7221,5495,0.8120289640904389,0.7609749342196371,0.7856734343723191,0.479171863307558,0.53125,0.5038688524590165,0.22667661865507238,0.16171416772619163,-0.048978490774242614,8.36173339030538,3601,4738,1650,0.45820605387392394,0.34824820599409034,0.3957309029859696,1.7622698614552859,2.0,3.0,0.7703030303030303,0.7703030303030303,379,1.1454754099459359,1.3,1.9500000000000002,0.7074965147468782,0.7900377748006807,0.8955223880597015,0.8108108108108109,0.4990677439403356,1.6454661406913154,0.9255892259150709,0.7198769147762446,0.8116848268011059,0.851513106485757,0.8311220865827691,82.00609733428362,6.324555320336759,0,0,True,True,1.0,8449,3.0,0.5,0.65,4.724099508952349,0.7744198194164614,0.8124315014873963,0.7398061020815512,6.20899510383606,neural,L20_2,hcec,"[2048, 2048]"
1259,1257,1188,71,69,58,57,0.8268689185573206,4906,3625,2060,2846,1565,3626,3623,3179,0.8767236624379482,0.8774496273806238,0.8770864946889226,0.4198940073379535,0.5682758620689655,0.48294455515179935,0.214982700859095,0.16109166445798545,-0.07717532111719412,2.2112565131186193,1836,2360,733,0.39923747276688454,0.31059322033898307,0.3493803622497617,1.834273439272874,2.0,3.0,0.8703956343792633,0.8703956343792633,95,1.1922777355273682,1.3,1.9500000000000002,0.7808587243609673,0.8268689185573206,0.9443561208267091,0.8945783132530121,0.6739853626081171,1.5030173152101414,0.7643998895906675,0.7386174256194739,0.7782743161448236,0.8641494987995323,0.818966887968418,184.7187050625897,8.94427190999916,0,0,True,True,1.0,4646,3.0,0.5,0.65,3.950886524282396,0.8705882352941176,0.8756772169945822,0.8655580608793687,5.714617967605591,neural,L22_2,hcec,"[2048, 2048]"
1642,1726,1395,247,331,240,280,0.7440121192287864,5467,5001,1876,3591,3125,4745,4978,3063,0.6455216016859853,0.6153073523503415,0.6300524529466214,0.34314980793854033,0.375124975004999,0.3584256782575468,0.23627539574096587,0.1645384690100512,0.006606390791228778,7.414212791279919,2758,3236,882,0.3197969543147208,0.2725587144622991,0.2942942942942943,1.7777407532762288,2.0,3.0,0.5839002267573696,0.5839002267573696,367,1.1555314896295488,1.3,1.9500000000000002,0.6163283291711147,0.7440121192287864,0.8283847980997625,0.70704510897111,0.28598701794578085,1.8854234334364883,0.9932988836479784,0.89212454978851,0.7223037306719315,0.7660221710050015,0.7435208528870021,52.46903848937962,10.63014581273465,0,0,True,True,1.0,7661,3.0,0.5,0.65,4.040077732875943,0.630039011703511,0.6457130164371391,0.6151079136690647,5.718433856964111,neural,L24_2,hcec,"[2048, 2048]"
1462,1564,1222,240,342,230,267,0.7400100360136127,4677,4434,1511,3166,2923,4211,4428,2604,0.6183804322013774,0.5880758807588076,0.6028475517999768,0.32307034423775927,0.3407758231844835,0.33168697179233897,0.2320105813579448,0.16052553540757777,0.029182245070491723,5.090796674949033,2546,2833,590,0.2317360565593087,0.20825979527003177,0.2193716304145752,1.857783555151194,2.0,3.0,0.5186440677966102,0.5186440677966102,284,1.2075593108482763,1.3,1.9500000000000002,0.5976816021207103,0.7400100360136127,0.807666886979511,0.6773835920177383,0.278411491339248,1.9174785204899873,1.0167248089465346,0.9007537115434527,0.7289673787602903,0.7583685373769025,0.7433773619367408,43.657759905886145,10.770329614269007,0,0,True,True,1.0,6955,3.0,0.5,0.65,3.7727508447133005,0.595572948514125,0.6081418581418582,0.5835130601485742,5.760508298873901,neural,L2_1,hcec,"[2048, 2048]"
1225,1403,1096,129,307,84,212,0.7983959146761,4325,4001,1889,2436,2112,3518,3998,2555,0.7262649232518477,0.6390695347673837,0.6798829164449176,0.4367630057803468,0.47213196700824794,0.45375930819120824,0.20951073622253077,0.14112191354736517,0.005712236434130293,3.5954901189823896,1994,2560,831,0.41675025075225675,0.324609375,0.3649538866930171,1.806049810914887,2.0,3.0,0.6606498194945848,0.6606498194945848,282,1.1739323770946766,1.3,1.9500000000000002,0.6659375361377516,0.7983959146761,0.8340943683409436,0.7154046997389034,0.44554455445544555,1.5629492515676093,0.9006956836615894,0.66225356790602,0.8125480410395802,0.8408881001835085,0.8264751949019064,97.98979538707079,9.219544457292887,0,0,True,True,1.0,5266,3.0,0.5,0.65,3.7370214769616723,0.6783226335200109,0.7264482153306027,0.636177299513195,5.5509185791015625,neural,L2_4,hcec,"[2048, 2048]"
1565,1631,1421,144,210,116,174,0.804537296137001,5368,4709,2560,2808,2149,4492,4694,3525,0.7847284060552092,0.7509586706433745,0.767472240365774,0.47690014903129657,0.5436398386069229,0.5080877245211868,0.20136216424985812,0.12960013181209748,-0.042035529029671,2.5628801655892723,2484,3056,1149,0.46256038647342995,0.37598167539267013,0.41480144404332125,1.7026102411459385,2.0,3.0,0.7597911227154047,0.7597911227154047,276,1.1066966567448602,1.3,1.9500000000000002,0.7154239660892856,0.804537296137001,0.8892365456821026,0.8005633802816902,0.4934579439252336,1.5103492796748783,0.8048415980228487,0.7055076816520296,0.7994985836616416,0.8460455881983363,0.8221137554918305,64.25729530566937,8.94427190999916,0,0,True,True,1.0,5587,3.0,0.5,0.65,3.9855328369885683,0.7656408522150829,0.7848393806332332,0.7473591549295775,5.8246660232543945,neural,L30_2,hcec,"[2048, 2048]"
