model,n,lowo_r2,lowo_r2_with_condition,lowo_pred_spearman,lowo_pred_pearson
density,66,0.16269531438587737,0.6727968001880988,0.46579060008013945,0.4143738221256127
density+areaCV,66,0.15174894214428503,0.6667310302366103,0.45288966381654755,0.4071657306495414
density+areaCV+gapfrac,66,0.09496183415536497,0.6661187092923884,0.3989687603070688,0.3650493788212148
permeability_index,66,0.197967243874986,0.6797216200174792,0.4646007079004878,0.45158159922614677
in_plane_G,66,0.062280960959380516,0.6779369013852745,0.21338955811175314,0.27383200894465803
density+areaCV+permeability,66,0.1421918245424436,0.6641797046774159,0.4167336417962544,0.40110555773542045
density+areaCV+in_plane_G,66,0.13882302500252508,0.6672456444215593,0.44119949503400474,0.3950876224800375
density+areaCV+permeability+in_plane_G,66,0.1294525170475218,0.6621167920193032,0.38717421501753896,0.3898616600140601
