statistic,kind,n,n_wells,spearman,p_spearman,ci95_lo,ci95_hi,pearson_log_ter,p_pearson,partial_rho_condition,p_partial_condition,partial_rho_week,p_partial_week,partial_rho_condition_week,p_partial_condition_week,partial_rho_given_density_areacv,p_partial_given_density_areacv,rho_Control,p_Control,rho_Aphidicolin,p_Aphidicolin,rho_HPI4,p_HPI4,lowo_spearman_min,lowo_spearman_max,lowo_pred_r2,lowo_pred_spearman
n_cells,other,84,36,0.7353671484841564,1.645726025402455e-15,0.6065097368648381,0.8246490307818187,0.7153998642717425,2.0748047211436216e-14,0.2973649222412289,0.006666102723447265,0.7244496525129082,4.479326818510966e-14,0.040226463136677194,0.7283262420043801,-0.02733342689668807,0.8302369552109053,0.07908352050794516,0.6834320369138882,0.6309934403268539,0.00018514183797246284,0.03801663033946386,0.8568256769810167,0.7179773980685432,0.776726021670676,0.36430481352288024,0.6997134306209118
cell_density_per_kpx,control,84,36,0.7353671484841564,1.645726025402455e-15,0.6065097368648381,0.8246490307818187,0.7153998642717426,2.074804721143573e-14,0.2973649222412289,0.006666102723447265,0.7244496525129082,4.479326818510966e-14,0.040226463136677194,0.7283262420043801,,,0.07908352050794516,0.6834320369138882,0.6309934403268539,0.00018514183797246284,0.03801663033946386,0.8568256769810167,0.7179773980685432,0.776726021670676,0.36430481352288024,0.6997134306209118
cell_area_px,other,66,29,-0.21841827852097434,0.07809033407078989,-0.4663803053031866,0.06028281477485492,-0.5016010554828699,1.7832683543657373e-05,-0.24139259233130145,0.05465591715925058,-0.11622609925091731,0.3723909900573201,-0.0227720419322986,0.8640704322261147,0.06920806556433445,0.5868513268457931,-0.0800689849379507,0.6796930287206365,-0.3150517318416167,0.08992761749773359,0.28571428571428575,0.5345092286010408,-0.2676027604494689,-0.14409835511090013,0.07878930036621368,-0.05529867340170705
cell_area_cv,control,66,29,-0.19349316865248117,0.11955060968313826,-0.42041069686622823,0.07851153254004566,-0.3268359671419027,0.0073955612714272576,-0.2240625369887232,0.0750961049509771,-0.07659944912630368,0.5573734938382895,-0.023748947240617036,0.8582979744645827,,,0.17294900746597353,0.3696237512953233,-0.4558905356945428,0.011344996270156877,-0.5357142857142858,0.21521745567801284,-0.2580947124090298,-0.11648751681033682,-0.00931989234525421,-0.0011898921796516806
gap_area_frac,control,84,36,-0.739244089322609,9.797419930945483e-16,-0.8249718292196018,-0.6103364293642574,-0.7217847068748123,9.449777452513851e-15,-0.28236299441816765,0.010164543614088294,-0.7281680241598335,2.870377877205009e-14,-0.03375115985370753,0.7707423058485422,-0.08096269670651823,0.5247886422297493,-0.0672579473478786,0.7288497311013825,-0.5838246782149733,0.0007068008110699464,-0.04727709157599993,0.8224394336083255,-0.7759311382403614,-0.7221576789257516,0.3764011364402443,0.694154162125324
n_gaps,other,84,36,0.7170541701384607,1.6958128376349887e-14,0.5711249499978096,0.8144791054717461,0.57410793709139,1.1335843254348394e-08,0.24934978141804873,0.02387684084847074,0.7057255383467518,3.790939482661938e-13,0.007484284081536051,0.9484916721610865,-0.2260600236658902,0.07246805582459963,0.08577767083351348,0.6581817004661379,0.5317681127835105,0.002492286174965413,,,0.6943610800949599,0.7616771763100865,0.20451870374371217,0.6443294536281893
n_edges,other,84,36,0.7462080815163804,3.7700761968963655e-16,0.6217683358451556,0.8303760813089908,0.6708015493426331,2.928826157987187e-12,0.2952808687093998,0.007077685420879007,0.7366569897282407,1.0106032593131514e-14,0.03408521705416509,0.7685363503342294,0.1707231922965068,0.1774035117691927,0.06430947443161349,0.7403220609712517,0.619646238120694,0.0002606087875655065,0.033142703372865935,0.875030176016412,0.7299672831472535,0.7839412249542914,0.3238785837030541,0.7109028508169495
edges_per_cell,control,66,29,0.5697704763405784,5.940763909769828e-07,0.3637734416616614,0.7279730482634329,0.6174478965224603,3.350528232267813e-08,0.35319508944027306,0.004199684812179936,0.5019480106967389,3.765709931714706e-05,-0.0035962358789069287,0.978434006393637,0.30611619705276727,0.013892456423101218,0.07661985943293129,0.6928114891018451,0.6203137206034093,0.0002555131735429894,0.3571428571428572,0.43161135203832796,0.5288414211481859,0.620990099412383,0.23786218957293637,0.4875426641362281
edge_length_px,control,66,29,-0.39266441928505463,0.001109737817614146,-0.600716045098264,-0.14496953724162737,-0.5294209614855838,4.86317024476235e-06,-0.36921016932750994,0.0026793050701135277,-0.25518225322067717,0.04716684544502317,-0.007957528726542668,0.9523021319901105,0.031217348545841624,0.8065522191194059,-0.14313870845830573,0.45884730243629923,-0.5662476395034708,0.0011070157053071834,-0.25,0.5887244480896834,-0.44440444073207613,-0.3345124033246523,0.10634276449077329,0.048159320323796974
G_eff,proxy,84,36,0.7384910876899438,1.0843532080425249e-15,0.6103800361379121,0.8252845115241719,0.6576971575331751,1.0707421184335699e-11,0.29141517576628573,0.007900715335638681,0.7281939151922476,2.861423913231028e-14,0.033943103369724184,0.7694745784792798,0.047892035539586424,0.7070650350159485,0.07489529668042158,0.6994037342718428,0.6109689658453952,0.0003355285741684926,0.033142703372865935,0.875030176016412,0.7213986577402963,0.7774527722355349,0.3066151797581974,0.7069131390004438
