frame,kind,participants,dV,dE,dF,evidence,run
0,division,"{""parent"": 92, ""children"": [9, 313]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
0,extrusion,"{""cell"": 17, ""sides"": 4, ""neighbours"": [0, 22, 24, 33]}",-3.0,-4.0,-1.0,"{""neighbours_meet_at_vertex"": false, ""new_contacts_among_neighbours"": 1}",gt_ids
0,extrusion,"{""cell"": 20, ""sides"": 4, ""neighbours"": [0, 22, 34, 40]}",-3.0,-4.0,-1.0,"{""neighbours_meet_at_vertex"": false, ""new_contacts_among_neighbours"": 1}",gt_ids
0,disappearance,"{""cell"": 124, ""sides"": 4}",,,,"{""neighbours"": [0, 116, 126, 5241]}",gt_ids
0,extrusion,"{""cell"": 203, ""sides"": 3, ""neighbours"": [0, 188, 197]}",-2.0,-3.0,-1.0,"{""neighbours_meet_at_vertex"": true, ""new_contacts_among_neighbours"": 0}",gt_ids
0,disappearance,"{""cell"": 5241, ""sides"": 7}",,,,"{""neighbours"": [0, 111, 124, 126, 147, 152, 153]}",gt_ids
0,t1,"{""lost"": [0, 82], ""gained"": [65, 88], ""cells"": [0, 65, 82, 88]}",0.0,0.0,0.0,"{""side_change"": {""0"": -1, ""82"": 0, ""65"": 1, ""88"": -1}, ""charge_delta"": 1, ""generic"": false, ""isolated"": false}",gt_ids
0,t1,"{""lost"": [0, 183], ""gained"": [190, 192], ""cells"": [0, 183, 190, 192]}",0.0,0.0,0.0,"{""side_change"": {""0"": -1, ""183"": -2, ""190"": 1, ""192"": 1}, ""charge_delta"": 1, ""generic"": false, ""isolated"": false}",gt_ids
0,t1,"{""lost"": [26, 38], ""gained"": [29, 39], ""cells"": [26, 29, 38, 39]}",0.0,0.0,0.0,"{""side_change"": {""26"": -1, ""38"": -1, ""29"": 1, ""39"": 1}, ""charge_delta"": 0, ""generic"": true, ""isolated"": true}",gt_ids
0,t1,"{""lost"": [28, 44], ""gained"": [32, 41], ""cells"": [28, 32, 41, 44]}",0.0,0.0,0.0,"{""side_change"": {""28"": -1, ""44"": 0, ""32"": 1, ""41"": 1}, ""charge_delta"": -1, ""generic"": false, ""isolated"": false}",gt_ids
0,t1,"{""lost"": [35, 50], ""gained"": [33, 51], ""cells"": [33, 35, 50, 51]}",0.0,0.0,0.0,"{""side_change"": {""35"": -1, ""50"": -1, ""33"": 1, ""51"": 1}, ""charge_delta"": 0, ""generic"": true, ""isolated"": false}",gt_ids
