frame,kind,participants,dV,dE,dF,evidence,run
4,rupture,"{""gap"": -9, ""cells"": [73, 74], ""caps"": []}",2.0,3.0,1.0,{},gt_ids
4,rupture,"{""gap"": -8, ""cells"": [56, 77], ""caps"": [4, 81]}",2.0,3.0,1.0,{},gt_ids
4,gap_nucleation,"{""gap"": -7, ""cells"": [74, 85, 145], ""sides"": 3}",2.0,3.0,1.0,{},gt_ids
4,rupture,"{""gap"": -6, ""cells"": [97, 99], ""caps"": []}",2.0,3.0,1.0,{},gt_ids
4,gap_nucleation,"{""gap"": -5, ""cells"": [105, 114, 123], ""sides"": 3}",2.0,3.0,1.0,{},gt_ids
4,gap_nucleation,"{""gap"": -4, ""cells"": [191, 216, 221], ""sides"": 3}",2.0,3.0,1.0,{},gt_ids
4,reseal,"{""gap"": -1, ""cells"": [33, 38], ""caps"": []}",-2.0,-3.0,-1.0,{},gt_ids
4,t1,"{""lost"": [144, 984], ""gained"": [172, 980], ""cells"": [144, 172, 980, 984]}",0.0,0.0,0.0,"{""side_change"": {""144"": -1, ""984"": -1, ""172"": 1, ""980"": 1}, ""charge_delta"": 0, ""generic"": true, ""isolated"": false}",gt_ids
4,t1,"{""lost"": [210, 224], ""gained"": [209, 220], ""cells"": [209, 210, 220, 224]}",0.0,0.0,0.0,"{""side_change"": {""210"": -1, ""224"": -1, ""209"": 1, ""220"": 1}, ""charge_delta"": 0, ""generic"": true, ""isolated"": true}",gt_ids
4,t1,"{""lost"": [226, 1356], ""gained"": [244, 1354], ""cells"": [226, 244, 1354, 1356]}",0.0,0.0,0.0,"{""side_change"": {""226"": -1, ""1356"": -1, ""244"": 1, ""1354"": 1}, ""charge_delta"": 0, ""generic"": true, ""isolated"": true}",gt_ids
4,contact_death,"{""cells"": [-3, 73]}",-1.0,-1.0,0.0,"{""connectivity_change"": false}",gt_ids
5,division,"{""parent"": 61, ""children"": [1705, 1706]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
5,division,"{""parent"": 143, ""children"": [1793, 1798]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
5,division,"{""parent"": 158, ""children"": [13, 50]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
5,division,"{""parent"": 1186, ""children"": [17, 51]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",gt_ids
5,disappearance,"{""cell"": 95, ""sides"": 8}",,,,"{""neighbours"": [68, 75, 99, 101, 105, 113, 114, 1186]}",gt_ids
5,extrusion,"{""cell"": 1356, ""sides"": 3, ""neighbours"": [0, 244, 1354]}",-2.0,-3.0,-1.0,"{""neighbours_meet_at_vertex"": true, ""new_contacts_among_neighbours"": 0}",gt_ids
5,appearance,"{""cell"": 14, ""sides"": 5}",,,,"{""neighbours"": [17, 68, 75, 101, 1749]}",gt_ids
5,appearance,"{""cell"": 1749, ""sides"": 7}",,,,"{""neighbours"": [14, 75, 99, 101, 105, 113, 114]}",gt_ids
5,gap_closure,"{""gap"": -9, ""cells"": [191, 216, 221], ""sides"": 3}",-2.0,-3.0,-1.0,{},gt_ids
5,gap_closure,"{""gap"": -8, ""cells"": [105, 114, 123], ""sides"": 3}",-2.0,-3.0,-1.0,{},gt_ids
5,reseal,"{""gap"": -7, ""cells"": [97, 99], ""caps"": []}",-2.0,-3.0,-1.0,{},gt_ids
5,reseal,"{""gap"": -6, ""cells"": [94, 145], ""caps"": []}",-2.0,-3.0,-1.0,{},gt_ids
5,gap_closure,"{""gap"": -5, ""cells"": [73, 85, 145], ""sides"": 3}",-2.0,-3.0,-1.0,{},gt_ids
5,reseal,"{""gap"": -3, ""cells"": [56, 77], ""caps"": [4, 81]}",-2.0,-3.0,-1.0,{},gt_ids
5,reseal,"{""gap"": -2, ""cells"": [73, 74], ""caps"": []}",-2.0,-3.0,-1.0,{},gt_ids
5,reseal,"{""gap"": -1, ""cells"": [52, 57], ""caps"": [26, 41]}",-2.0,-3.0,-1.0,{},gt_ids
5,t1,"{""lost"": [168, 1526], ""gained"": [176, 1522], ""cells"": [168, 176, 1522, 1526]}",0.0,0.0,0.0,"{""side_change"": {""168"": -1, ""1526"": -1, ""176"": 1, ""1522"": 1}, ""charge_delta"": 0, ""generic"": true, ""isolated"": true}",gt_ids
5,t1,"{""lost"": [209, 220], ""gained"": [210, 224], ""cells"": [209, 210, 220, 224]}",0.0,0.0,0.0,"{""side_change"": {""209"": -1, ""220"": -1, ""210"": 1, ""224"": 1}, ""charge_delta"": 0, ""generic"": true, ""isolated"": true}",gt_ids
5,contact_death,"{""cells"": [74, 145]}",-1.0,-1.0,0.0,"{""connectivity_change"": false}",gt_ids
5,contact_birth,"{""cells"": [92, 1162]}",1.0,1.0,0.0,"{""connectivity_change"": false}",gt_ids
