observed_dVEF,expected_dVEF,residual_dVEF,euler_residual,n_events,n_explained,n_unexplained,n_connectivity_changes,fully_explained,charge_a,charge_b,charge_delta,n_t1,t1_charge_deltas,n_t1_charge_conserved,n_t1_generic,n_t1_isolated,n_t1_isolated_charge_conserved,n_t1_isolated_generic,frame
"(11, 17, 6)","(11, 17, 6)","(0, 0, 0)",0,10,10,0,0,True,63,49,-14,3,"[0, 0, -1]",2,2,2,2,2,0
"(-4, -6, -2)","(-3, -5, -2)","(-1, -1, 0)",0,9,9,0,0,False,49,58,9,1,[-1],0,0,0,0,0,1
"(7, 10, 3)","(10, 15, 5)","(-3, -5, -2)",0,14,12,2,0,False,58,62,4,1,[-3],0,0,0,0,0,2
"(8, 12, 4)","(9, 13, 4)","(-1, -1, 0)",0,7,7,0,0,False,62,57,-5,0,[],0,0,0,0,0,3
"(18, 27, 9)","(17, 26, 9)","(1, 1, 0)",0,15,15,0,0,False,57,40,-17,3,"[0, 0, 0]",3,3,2,2,2,4
"(-9, -13, -4)","(-10, -15, -5)","(1, 2, 1)",0,20,17,3,0,False,40,66,26,2,"[0, 0]",2,2,2,2,2,5
"(7, 10, 3)","(8, 11, 3)","(-1, -1, 0)",0,13,13,0,0,False,66,62,-4,5,"[-3, 0, -1, 0, -1]",2,2,2,2,2,6
"(1, 2, 1)","(2, 3, 1)","(-1, -1, 0)",0,10,10,0,0,False,62,60,-2,3,"[3, 0, -1]",1,1,1,1,1,7
"(7, 10, 3)","(6, 8, 2)","(1, 2, 1)",0,17,16,1,0,False,60,63,3,3,"[0, 0, 2]",2,2,2,2,2,8
"(12, 18, 6)","(14, 21, 7)","(-2, -3, -1)",0,21,20,1,0,False,63,49,-14,3,"[0, 0, 0]",3,3,2,2,2,9
