vertex_id,row,col,degree,kind,n_cells,n_gaps,touches_outer,incident_faces_cyclic,incident_edges_cyclic,row_um,col_um
0,-0.5,28.5,3,regular,2,0,True,"[0, 1, 528]","[0, 27, 1]",,
1,-0.5,79.5,3,regular,2,0,True,"[1, 2, 528]","[1, 28, 2]",,
2,-0.5,80.5,3,regular,2,0,True,"[2, 3, 528]","[2, 29, 3]",,
3,-0.5,126.5,3,regular,2,0,True,"[3, 4, 528]","[3, 30, 4]",,
4,-0.5,134.5,3,regular,2,0,True,"[4, 5, 528]","[4, 31, 5]",,
5,-0.5,173.5,3,regular,2,0,True,"[5, 6, 528]","[5, 32, 6]",,
6,-0.5,226.5,3,regular,2,0,True,"[6, 7, 528]","[6, 33, 7]",,
7,-0.5,259.5,3,regular,2,0,True,"[7, 8, 528]","[7, 34, 8]",,
8,-0.5,291.5,3,regular,2,0,True,"[8, 9, 528]","[8, 35, 9]",,
9,-0.5,350.5,3,regular,2,0,True,"[9, 10, 528]","[9, 36, 10]",,
10,-0.5,380.5,3,regular,2,0,True,"[10, 11, 528]","[10, 37, 11]",,
11,-0.5,424.5,3,regular,2,0,True,"[11, 12, 528]","[11, 38, 12]",,
12,-0.5,472.5,3,regular,2,0,True,"[12, 13, 528]","[12, 39, 13]",,
13,-0.5,475.5,3,regular,2,0,True,"[13, 14, 528]","[13, 40, 14]",,
14,-0.5,548.5,3,regular,2,0,True,"[14, 15, 528]","[14, 41, 15]",,
15,-0.5,592.5,3,regular,2,0,True,"[15, 16, 528]","[15, 42, 16]",,
16,-0.5,606.5,3,regular,2,0,True,"[16, 17, 528]","[16, 43, 17]",,
17,-0.5,690.5,3,regular,2,0,True,"[17, 18, 528]","[17, 44, 18]",,
18,-0.5,709.5,3,regular,2,0,True,"[18, 16, 528]","[18, 45, 19]",,
19,-0.5,739.5,3,regular,2,0,True,"[16, 19, 528]","[19, 46, 20]",,
20,-0.5,821.5,3,regular,2,0,True,"[19, 20, 528]","[20, 47, 21]",,
21,-0.5,864.5,3,regular,2,0,True,"[20, 21, 528]","[21, 48, 22]",,
22,-0.5,905.5,3,regular,2,0,True,"[21, 22, 528]","[22, 49, 23]",,
23,-0.5,964.5,3,regular,2,0,True,"[22, 23, 528]","[23, 50, 24]",,
24,-0.5,993.5,3,regular,2,0,True,"[23, 24, 528]","[24, 51, 25]",,
25,-0.5,1013.5,3,regular,2,0,True,"[24, 23, 528]","[25, 51, 26]",,
26,12.5,173.5,3,regular,3,0,False,"[25, 6, 5]","[53, 52, 32]",,
27,13.5,225.5,3,regular,3,0,False,"[26, 7, 6]","[54, 56, 33]",,
28,13.5,451.5,3,regular,3,0,False,"[27, 13, 12]","[55, 57, 39]",,
29,16.5,416.5,3,regular,3,0,False,"[27, 12, 11]","[59, 55, 38]",,
30,18.5,546.5,3,regular,3,0,False,"[29, 15, 14]","[61, 60, 41]",,
31,18.5,685.5,3,regular,3,0,False,"[16, 18, 17]","[43, 45, 44]",,
32,18.5,912.5,3,regular,3,0,False,"[28, 22, 21]","[62, 58, 49]",,
