seed,dispersion,noise_px,use_pressures,curvature_pressure,ridge,pearson_effective,pearson_pressure,residual_rms,n_cells,converged,valid
0,0.3,0,True,True,0.001,0.999974941483,0.999987062665,0.000600120999533,60,True,True
0,0.3,0,True,True,0.1,0.975215469534,0.989254850761,0.0345183146303,60,True,True
0,0.3,0,True,False,0.001,0.940975186572,0.901622090025,0.00149071652553,60,True,True
0,0.3,0,True,False,0.1,0.900638088118,0.847795852628,0.0386040349397,60,True,True
0,0.3,0,False,False,0.001,0.767605709978,,0.0828971841193,60,True,True
0,0.3,0,False,False,0.1,0.814472087051,,0.112565849601,60,True,True
0,0.3,0.5,True,True,0.001,0.740781465251,0.814986855285,0.10136533041,60,True,True
0,0.3,0.5,True,True,0.1,0.846278406877,0.947556399676,0.123947235273,60,True,True
0,0.3,0.5,True,False,0.001,0.52840264318,0.470043104076,0.0126045434849,60,True,True
0,0.3,0.5,True,False,0.1,0.751603831222,0.641078486944,0.0905422225171,60,True,True
0,0.3,0.5,False,False,0.001,0.722798517309,,0.13503203325,60,True,True
0,0.3,0.5,False,False,0.1,0.756615211438,,0.160374018442,60,True,True
0,0.3,1,True,True,0.001,0.619828669406,0.753212040189,0.14443053015,60,True,True
0,0.3,1,True,True,0.1,0.771534731752,0.893288358994,0.166763286641,60,True,True
0,0.3,1,True,False,0.001,0.397710586408,0.443477175222,0.00955197063269,60,True,True
0,0.3,1,True,False,0.1,0.703901569387,0.534432524998,0.1136939786,60,True,True
0,0.3,1,False,False,0.001,0.564359298025,,0.181799526362,60,True,True
0,0.3,1,False,False,0.1,0.703882897204,,0.213068921026,60,True,True
0,0.6,0,True,True,0.001,0.999703534744,0.999630718076,0.00146461027233,60,True,True
0,0.6,0,True,True,0.1,0.941572881866,0.955629380457,0.0627488052065,60,True,True
0,0.6,0,True,False,0.001,0.904399552132,0.78271649884,0.00203338987885,60,True,True
0,0.6,0,True,False,0.1,0.855421388492,0.756465394472,0.0612856444261,60,True,True
0,0.6,0,False,False,0.001,0.622778923059,,0.136118203521,60,True,True
0,0.6,0,False,False,0.1,0.766292599618,,0.178058018349,60,True,True
0,0.6,0.5,True,True,0.001,0.782501350163,0.719243190315,0.112760619899,60,True,True
0,0.6,0.5,True,True,0.1,0.816216080891,0.844442514477,0.153324477448,60,True,True
0,0.6,0.5,True,False,0.001,0.591586174063,0.309380506516,0.00947647732833,60,True,True
0,0.6,0.5,True,False,0.1,0.724417700616,0.550836022915,0.11380047305,60,True,True
0,0.6,0.5,False,False,0.001,0.62938871204,,0.202045332558,60,True,True
0,0.6,0.5,False,False,0.1,0.696274289562,,0.235378922199,60,True,True
0,0.6,1,True,True,0.001,0.439051090384,0.557127169038,0.169016472829,60,True,True
0,0.6,1,True,True,0.1,0.563956328429,0.751131227367,0.252226050128,60,True,True
0,0.6,1,True,False,0.001,0.20614853211,0.262273012836,0.0108795694778,60,True,True
0,0.6,1,True,False,0.1,0.466324852514,0.378171726297,0.168078806228,60,True,True
0,0.6,1,False,False,0.001,0.371528844176,,0.263383003266,60,True,True
0,0.6,1,False,False,0.1,0.494839850097,,0.309332961845,60,True,True
1,0.3,0,True,True,0.001,0.999970810775,0.999978323363,0.000469725310522,60,True,True
1,0.3,0,True,True,0.1,0.983887690374,0.984548504952,0.0315318242741,60,True,True
1,0.3,0,True,False,0.001,0.968001700813,0.91238411393,0.00153563604453,60,True,True
1,0.3,0,True,False,0.1,0.918905540204,0.863866276151,0.0388786566889,60,True,True
1,0.3,0,False,False,0.001,0.693715207578,,0.0594717214574,60,True,True
1,0.3,0,False,False,0.1,0.736556671498,,0.0825732767595,60,True,True
1,0.3,0.5,True,True,0.001,0.76111151256,0.863504797733,0.0854234620538,60,True,True
1,0.3,0.5,True,True,0.1,0.8883871874,0.946118072706,0.106726237626,60,True,True
1,0.3,0.5,True,False,0.001,0.550942098619,0.393223428701,0.00856662294896,60,True,True
1,0.3,0.5,True,False,0.1,0.813488876361,0.726743117528,0.0857479965321,60,True,True
1,0.3,0.5,False,False,0.001,0.631269952082,,0.11982569593,60,True,True
1,0.3,0.5,False,False,0.1,0.692722454339,,0.14073821728,60,True,True
1,0.3,1,True,True,0.001,0.590432109195,0.730814541158,0.162735572542,60,True,True
1,0.3,1,True,True,0.1,0.752230644899,0.92281200179,0.18977391742,60,True,True
1,0.3,1,True,False,0.001,0.29736498172,0.245960700118,0.0148462416729,60,True,True
1,0.3,1,True,False,0.1,0.690228986033,0.479132566463,0.132560051018,60,True,True
