image_id,condition,replicate,statistic,mean,ci_lo,ci_hi,n_hypotheses_total,ess
EGM2_regular_18-20dyn-56,high_shear,rep 2,area_degree_spearman,0.814586795353,0.809442788191,0.821449879542,32,4
EGM2_regular_18-20dyn-56,high_shear,rep 2,all_reticular_3clique_enrichment_z,0.752949024669,0.704805683944,0.818821011564,32,4
EGM2_regular_18-20dyn-57,high_shear,rep 2,reticular_fraction,0.133579796445,0.125748502994,0.138554216867,32,4
EGM2_regular_18-20dyn-57,high_shear,rep 2,area_degree_spearman,0.790694355431,0.785241778906,0.793644543048,32,4
EGM2_regular_18-20dyn-57,high_shear,rep 2,all_reticular_3clique_enrichment_z,0.654579796337,0.511338902527,0.831403123018,32,4
EGM2_regular_18-20dyn-58,high_shear,rep 2,reticular_fraction,0.116937449981,0.114285714286,0.118733509235,32,4
EGM2_regular_18-20dyn-58,high_shear,rep 2,area_degree_spearman,0.808830632196,0.80193532508,0.810970121884,32,4
EGM2_regular_18-20dyn-58,high_shear,rep 2,all_reticular_3clique_enrichment_z,-0.635334372,-0.670827245313,-0.605852684451,32,4
EGM2_regular_18-20dyn-59,high_shear,rep 2,reticular_fraction,0.144542966435,0.14402173913,0.145552560647,32,4
EGM2_regular_18-20dyn-59,high_shear,rep 2,area_degree_spearman,0.842719252742,0.838407056789,0.84995367169,32,4
EGM2_regular_18-20dyn-59,high_shear,rep 2,all_reticular_3clique_enrichment_z,-0.881626361182,-0.927816179088,-0.861209508878,32,4
EGM2_regular_18-20dyn-60,high_shear,rep 2,reticular_fraction,0.138829728259,0.138263665595,0.140983606557,32,4
EGM2_regular_18-20dyn-60,high_shear,rep 2,area_degree_spearman,0.792164191225,0.784585751384,0.798400612569,32,4
EGM2_regular_18-20dyn-60,high_shear,rep 2,all_reticular_3clique_enrichment_z,2.0239379073,1.91492691054,2.12895596972,32,4
EGM2_regular_18-20dyn-61,high_shear,rep 3,reticular_fraction,0.265021977868,0.265,0.265,32,4
EGM2_regular_18-20dyn-61,high_shear,rep 3,area_degree_spearman,0.834078301627,0.832626776468,0.838273034793,32,4
EGM2_regular_18-20dyn-61,high_shear,rep 3,all_reticular_3clique_enrichment_z,1.43343351574,1.4026562191,1.47855727165,32,4
EGM2_regular_18-20dyn-62,high_shear,rep 3,reticular_fraction,0.18039811296,0.179166666667,0.180672268908,32,4
EGM2_regular_18-20dyn-62,high_shear,rep 3,area_degree_spearman,0.858065919692,0.845657969605,0.861295243494,32,4
EGM2_regular_18-20dyn-62,high_shear,rep 3,all_reticular_3clique_enrichment_z,1.079303046,1.03391868521,1.16955345406,32,4
EGM2_regular_18-20dyn-63,high_shear,rep 3,reticular_fraction,0.177114086811,0.176056338028,0.17793594306,32,4
EGM2_regular_18-20dyn-63,high_shear,rep 3,area_degree_spearman,0.785223113136,0.775031031888,0.789468683367,32,4
EGM2_regular_18-20dyn-63,high_shear,rep 3,all_reticular_3clique_enrichment_z,1.03259554305,0.964682875501,1.11526419706,32,4
EGM2_regular_18-20dyn-64,high_shear,rep 3,reticular_fraction,0.246132710257,0.245689655172,0.248908296943,32,4
EGM2_regular_18-20dyn-64,high_shear,rep 3,area_degree_spearman,0.909714998453,0.904120384876,0.914702662985,32,4
EGM2_regular_18-20dyn-64,high_shear,rep 3,all_reticular_3clique_enrichment_z,-1.5518603067,-1.67360086274,-0.987820634832,32,4
