variant,n_pred_cells,n_ref_cells,n_matched_cells,n_splits,n_merges,adjacency_pair_f1,adjacency_pair_precision,adjacency_pair_recall,adjacency_component_f1,n_pred_pairs,n_ref_pairs,n_pred_vertices,n_ref_vertices,vertex_f1,vertex_precision,vertex_recall,vertex_incident_set_accuracy,pq,ap50,boundary_f1,n_vertex_merges
inside0.5,641.85,578.0,460.725,67.575,32.125,0.508,0.522,0.496,0.309,560.375,581.375,75.5,95.8,0.257,0.296,0.23,0.62,0.585,0.607,0.855,0.0
inside1,636.325,578.0,443.025,57.95,30.475,0.383,0.494,0.314,0.13,366.65,581.375,16.375,95.8,0.03,0.093,0.018,0.599,0.539,0.575,0.829,0.0
legacy,704.7,578.0,447.55,130.425,28.125,0.237,0.158,0.475,0.14,1727.7,581.375,1142.75,95.8,0.061,0.033,0.397,0.341,0.543,0.537,0.857,0.0
outside0,649.75,578.0,469.1,74.35,32.65,0.523,0.5,0.55,0.324,648.375,581.375,109.8,95.8,0.265,0.251,0.286,0.634,0.599,0.619,0.864,0.0
outside0.5,672.125,578.0,469.825,78.775,33.725,0.498,0.44,0.575,0.287,767.65,581.375,172.925,95.8,0.224,0.175,0.314,0.62,0.578,0.603,0.86,0.0
outside0_gap0.5,649.75,578.0,469.1,74.35,32.65,0.523,0.5,0.55,0.324,648.375,581.375,109.8,95.8,0.265,0.251,0.286,0.634,0.599,0.619,0.864,0.0
outside0_merge0.2,648.175,578.0,469.125,73.625,32.8,0.525,0.503,0.551,0.325,646.15,581.375,109.125,95.8,0.266,0.253,0.285,0.637,0.601,0.621,0.864,1.575
outside0_merge0.35,635.275,578.0,462.45,69.875,36.825,0.517,0.502,0.535,0.322,629.125,581.375,105.6,95.8,0.269,0.261,0.284,0.628,0.598,0.616,0.864,14.475
outside0_perm,648.3,578.0,468.75,74.15,32.7,0.524,0.501,0.55,0.324,647.325,581.375,109.475,95.8,0.266,0.252,0.286,0.634,0.6,0.619,0.864,0.0
outside1,780.525,578.0,462.325,81.45,40.6,0.386,0.291,0.577,0.17,1162.95,581.375,434.3,95.8,0.126,0.077,0.349,0.548,0.507,0.517,0.856,0.0
