variant,n_pred_cells,n_ref_cells,n_matched_cells,n_splits,n_merges,adjacency_pair_f1,adjacency_pair_precision,adjacency_pair_recall,adjacency_component_f1,n_pred_pairs,n_ref_pairs,n_pred_vertices,n_ref_vertices,vertex_f1,vertex_precision,vertex_recall,vertex_incident_set_accuracy,pq,ap50,boundary_f1,n_vertex_merges
inside0.5,196.85,205.833,191.5,2.433,10.433,0.89,0.907,0.874,0.805,526.317,550.917,258.833,267.65,0.758,0.767,0.801,0.861,0.888,0.915,0.979,0.0
inside1,197.1,205.833,191.45,2.1,5.883,0.184,0.838,0.113,0.041,71.167,550.917,1.85,267.65,0.002,0.795,0.002,0.962,0.811,0.913,0.982,0.0
legacy,196.783,205.833,190.767,2.467,10.6,0.883,0.895,0.871,0.73,532.583,550.917,326.883,267.65,0.687,0.657,0.85,0.844,0.879,0.908,0.975,0.0
outside0,196.817,205.833,191.183,2.45,10.583,0.887,0.902,0.874,0.778,530.4,550.917,287.65,267.65,0.734,0.718,0.841,0.853,0.886,0.912,0.978,0.0
outside0.5,196.8,205.833,190.867,2.467,10.6,0.885,0.897,0.873,0.742,531.967,550.917,309.95,267.65,0.707,0.681,0.845,0.852,0.881,0.909,0.976,0.0
outside0_gap0.5,196.817,205.833,191.367,2.45,10.517,0.889,0.904,0.875,0.79,529.817,550.917,281.033,267.65,0.74,0.727,0.837,0.855,0.887,0.914,0.978,0.0
outside0_merge0.2,195.6,205.833,190.783,1.867,10.8,0.888,0.905,0.872,0.779,527.8,550.917,286.567,267.65,0.735,0.721,0.84,0.851,0.889,0.915,0.979,1.217
outside0_merge0.35,194.9,205.833,189.733,1.8,11.317,0.879,0.898,0.862,0.773,525.85,550.917,285.533,267.65,0.735,0.721,0.838,0.841,0.885,0.907,0.979,1.917
outside0_perm,196.817,205.833,191.183,2.45,10.583,0.887,0.902,0.874,0.778,530.4,550.917,287.65,267.65,0.734,0.718,0.841,0.853,0.886,0.912,0.978,0.0
outside1,196.783,205.833,190.733,2.467,10.6,0.883,0.895,0.871,0.729,532.583,550.917,325.967,267.65,0.689,0.659,0.85,0.846,0.879,0.908,0.975,0.0
