statistic,mean,sd,ci_lo,ci_hi,map,n_hypotheses,ess,image_id,condition,replicate,geometry_source,proposer,n_hypotheses_total,downsample
all_reticular_3clique_enrichment_z,-0.4592765306048593,0.0119863075361574,-0.4850920220433266,-0.451190918598588,-0.451190918598588,32,4.0,EGM2_regular_18-20dyn-03,high_shear,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_null_mean,0.0006904536953308,1.785131738665424e-05,0.0006677316293929,0.0006996805111821,0.0006741214057507,32,4.0,EGM2_regular_18-20dyn-03,high_shear,rep 1,junction_channel,neural:best.pt,32,1
tricellular_realized_3clique_fraction,0.977620075191392,4.279834217874979e-05,0.977491961414791,0.977635782747604,0.977635782747604,32,4.0,EGM2_regular_18-20dyn-03,high_shear,rep 1,junction_channel,neural:best.pt,32,1
n_cells,185.6060884558602,0.7945112891026619,184.0,186.0,186.0,32,4.0,EGM2_regular_18-20dyn-03,high_shear,rep 1,junction_channel,neural:best.pt,32,1
n_cell_cell_edges,503.3542112268239,1.3707748940467617,500.0,504.0,504.0,32,4.0,EGM2_regular_18-20dyn-03,high_shear,rep 1,junction_channel,neural:best.pt,32,1
mean_degree,5.284215265337526,0.0103151035374183,5.279569892473118,5.315217391304348,5.279569892473118,32,4.0,EGM2_regular_18-20dyn-03,high_shear,rep 1,junction_channel,neural:best.pt,32,1
reticular_fraction,0.0943773489255878,0.0002176786522052,0.094298245614035,0.0951327433628318,0.094298245614035,28,4.0,EGM2_regular_18-20dyn-04,high_shear,rep 1,junction_channel,neural:best.pt,28,1
all_reticular_3clique_fraction,0.0034975822916568,4.807351761574217e-06,0.0034965034965034,0.0035087719298245,0.0034965034965034,28,4.0,EGM2_regular_18-20dyn-04,high_shear,rep 1,junction_channel,neural:best.pt,28,1
area_degree_spearman,0.8144875562780871,0.0047917109323899,0.7989233760712796,0.8178629192753654,0.8158618189627607,28,4.0,EGM2_regular_18-20dyn-04,high_shear,rep 1,junction_channel,neural:best.pt,28,1
all_reticular_3clique_enrichment_z,1.5405163929932264,0.1028569120336843,1.416020013470056,1.6629102707530443,1.416020013470056,28,4.0,EGM2_regular_18-20dyn-04,high_shear,rep 1,junction_channel,neural:best.pt,28,1
all_reticular_3clique_null_mean,0.0008604729734706,4.612137375909672e-05,0.0008076923076923,0.0009160839160839,0.0009160839160839,28,4.0,EGM2_regular_18-20dyn-04,high_shear,rep 1,junction_channel,neural:best.pt,28,1
tricellular_realized_3clique_fraction,0.9615690322750308,0.0003425673581423,0.9614035087719298,0.9615384615384616,0.9615384615384616,28,4.0,EGM2_regular_18-20dyn-04,high_shear,rep 1,junction_channel,neural:best.pt,28,1
n_cells,170.74753951960082,0.637044739602664,169.0,171.0,171.0,28,4.0,EGM2_regular_18-20dyn-04,high_shear,rep 1,junction_channel,neural:best.pt,28,1
n_cell_cell_edges,455.6202241788477,1.0436611825274775,452.0,456.0,456.0,28,4.0,EGM2_regular_18-20dyn-04,high_shear,rep 1,junction_channel,neural:best.pt,28,1
mean_degree,5.231992970885309,0.0100658967002821,5.228070175438597,5.254437869822485,5.228070175438597,28,4.0,EGM2_regular_18-20dyn-04,high_shear,rep 1,junction_channel,neural:best.pt,28,1
reticular_fraction,0.092932504907613,0.0004695765008758,0.0922131147540983,0.0933609958506224,0.0933609958506224,32,4.000000000000001,EGM2_regular_18-20dyn-05,high_shear,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_fraction,0.0033207489840727,1.867868764781333e-05,0.0033003300330033,0.0033333333333333,0.0033333333333333,32,4.000000000000001,EGM2_regular_18-20dyn-05,high_shear,rep 1,junction_channel,neural:best.pt,32,1
area_degree_spearman,0.7101040481543061,0.003572747094291,0.7056526122896588,0.7163328064438939,0.7081847514422551,32,4.000000000000001,EGM2_regular_18-20dyn-05,high_shear,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_enrichment_z,1.6174742211251425,0.0556568267610859,1.5614048155575084,1.694000695643448,1.6020448446031956,32,4.000000000000001,EGM2_regular_18-20dyn-05,high_shear,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_null_mean,0.0007869959546005,4.004347427765708e-05,0.0007161716171617,0.0008133333333333,0.0008133333333333,32,4.000000000000001,EGM2_regular_18-20dyn-05,high_shear,rep 1,junction_channel,neural:best.pt,32,1
tricellular_realized_3clique_fraction,0.9833960756862576,7.052461672029386e-05,0.9833333333333332,0.9834983498349836,0.9833333333333332,32,4.000000000000001,EGM2_regular_18-20dyn-05,high_shear,rep 1,junction_channel,neural:best.pt,32,1
n_cells,177.91623282641226,0.9760249206931364,177.0,179.0,177.0,32,4.000000000000001,EGM2_regular_18-20dyn-05,high_shear,rep 1,junction_channel,neural:best.pt,32,1
n_cell_cell_edges,484.2341948660708,2.447842886781796,482.0,488.0,482.0,32,4.000000000000001,EGM2_regular_18-20dyn-05,high_shear,rep 1,junction_channel,neural:best.pt,32,1
mean_degree,5.328980017867452,0.0064202820478987,5.318435754189944,5.333333333333333,5.333333333333333,32,4.000000000000001,EGM2_regular_18-20dyn-05,high_shear,rep 1,junction_channel,neural:best.pt,32,1
reticular_fraction,0.1005000053052599,0.0002019478718779,0.1004273504273504,0.1010752688172043,0.1004273504273504,32,4.000000000000001,EGM2_regular_18-20dyn-06,high_shear,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_fraction,0.0033345148342458,5.844894584343516e-06,0.0033333333333333,0.0033444816053511,0.0033333333333333,32,4.000000000000001,EGM2_regular_18-20dyn-06,high_shear,rep 1,junction_channel,neural:best.pt,32,1
area_degree_spearman,0.6728406011615464,0.0041031291249184,0.6654995670938662,0.6749582272307642,0.6749582272307642,32,4.000000000000001,EGM2_regular_18-20dyn-06,high_shear,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_enrichment_z,1.290622185439378,0.0238136069617509,1.2792185813721628,1.343252172469671,1.2792185813721628,32,4.000000000000001,EGM2_regular_18-20dyn-06,high_shear,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_null_mean,0.0009873373100863,2.4755777951147653e-05,0.0009699999999999,0.0010133333333333,0.0009766666666666,32,4.000000000000001,EGM2_regular_18-20dyn-06,high_shear,rep 1,junction_channel,neural:best.pt,32,1
tricellular_realized_3clique_fraction,0.9566512557496843,5.697018638575625e-05,0.9565217391304348,0.9566666666666668,0.9566666666666668,32,4.000000000000001,EGM2_regular_18-20dyn-06,high_shear,rep 1,junction_channel,neural:best.pt,32,1
n_cells,172.76967196831453,0.5814213958624784,171.0,173.0,173.0,32,4.000000000000001,EGM2_regular_18-20dyn-06,high_shear,rep 1,junction_channel,neural:best.pt,32,1
n_cell_cell_edges,467.66346709003614,0.9328279381721252,465.0,468.0,468.0,32,4.000000000000001,EGM2_regular_18-20dyn-06,high_shear,rep 1,junction_channel,neural:best.pt,32,1
mean_degree,5.321137957235676,0.0078359544585271,5.317919075144508,5.345029239766082,5.317919075144508,32,4.000000000000001,EGM2_regular_18-20dyn-06,high_shear,rep 1,junction_channel,neural:best.pt,32,1
reticular_fraction,0.1037508303471797,0.0016220467738392,0.1004098360655737,0.1047227926078028,0.1045081967213114,32,4.0,EGM2_regular_18-20dyn-07,high_shear,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_fraction,3.1375729074933105e-15,3.261263614670683e-09,0.0,0.0,0.0,32,4.0,EGM2_regular_18-20dyn-07,high_shear,rep 1,junction_channel,neural:best.pt,32,1
area_degree_spearman,0.7556462417820916,0.0033019714537859,0.7494897753937483,0.7588968542495873,0.7554919228673332,32,4.0,EGM2_regular_18-20dyn-07,high_shear,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_enrichment_z,-0.5660856940407679,0.0099346666437684,-0.5770295369158793,-0.5507449936126854,-0.5671723123917202,32,4.0,EGM2_regular_18-20dyn-07,high_shear,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_null_mean,0.001056001088075,4.651014488364329e-05,0.0009709677419354,0.0011032258064516,0.0010548387096774,32,4.0,EGM2_regular_18-20dyn-07,high_shear,rep 1,junction_channel,neural:best.pt,32,1
tricellular_realized_3clique_fraction,0.9516699652400088,0.0004405311323364,0.9516129032258064,0.9516129032258064,0.9516129032258064,32,4.0,EGM2_regular_18-20dyn-07,high_shear,rep 1,junction_channel,neural:best.pt,32,1
n_cells,182.90284720083204,0.3800699059098276,182.0,183.0,183.0,32,4.0,EGM2_regular_18-20dyn-07,high_shear,rep 1,junction_channel,neural:best.pt,32,1
n_cell_cell_edges,487.8798823291457,0.5864470670264665,487.0,488.0,488.0,32,4.0,EGM2_regular_18-20dyn-07,high_shear,rep 1,junction_channel,neural:best.pt,32,1
mean_degree,5.258320163261258,0.0058577239606707,5.256830601092896,5.274725274725275,5.256830601092896,32,4.0,EGM2_regular_18-20dyn-07,high_shear,rep 1,junction_channel,neural:best.pt,32,1
reticular_fraction,0.1173719020526927,0.0003826845373776,0.1170825335892514,0.1179883945841392,0.117533718689788,32,4.000000000000001,EGM2_regular_18-20dyn-08,high_shear,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_fraction,0.0030498284827447,7.259044719275275e-05,0.0030487804878048,0.003076923076923,0.0030487804878048,32,4.000000000000001,EGM2_regular_18-20dyn-08,high_shear,rep 1,junction_channel,neural:best.pt,32,1
area_degree_spearman,0.6700726480272525,0.0060432122510474,0.6603725171872291,0.6779444789491087,0.6658033293102414,32,4.000000000000001,EGM2_regular_18-20dyn-08,high_shear,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_enrichment_z,0.5976541743357702,0.041835341984581,0.5677520393516744,0.6285211420609171,0.614127189781006,32,4.000000000000001,EGM2_regular_18-20dyn-08,high_shear,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_null_mean,0.0017182731070117,3.530309248976402e-05,0.001655487804878,0.0017621951219512,0.0017134146341463,32,4.000000000000001,EGM2_regular_18-20dyn-08,high_shear,rep 1,junction_channel,neural:best.pt,32,1
tricellular_realized_3clique_fraction,0.963684074611733,0.0008159639308899,0.9634146341463414,0.966153846153846,0.9634146341463414,32,4.000000000000001,EGM2_regular_18-20dyn-08,high_shear,rep 1,junction_channel,neural:best.pt,32,1
n_cells,190.9388356633133,0.9942383217590076,190.0,192.0,190.0,32,4.000000000000001,EGM2_regular_18-20dyn-08,high_shear,rep 1,junction_channel,neural:best.pt,32,1
n_cell_cell_edges,519.7427503455051,1.3080418540737475,517.0,521.0,519.0,32,4.000000000000001,EGM2_regular_18-20dyn-08,high_shear,rep 1,junction_channel,neural:best.pt,32,1
mean_degree,5.297523066789138,0.0163604999964998,5.28125,5.315789473684211,5.315789473684211,32,4.000000000000001,EGM2_regular_18-20dyn-08,high_shear,rep 1,junction_channel,neural:best.pt,32,1
reticular_fraction,0.0830440951955922,0.001079498988494,0.0819366852886405,0.0844277673545966,0.0844277673545966,32,4.000000000000001,EGM2_regular_18-20dyn-09,high_shear,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_fraction,0.002911900380056,1.0714826827552955e-05,0.0028985507246376,0.0029239766081871,0.0029154518950437,32,4.000000000000001,EGM2_regular_18-20dyn-09,high_shear,rep 1,junction_channel,neural:best.pt,32,1
area_degree_spearman,0.707155818563505,0.0041180873396138,0.7032665936702476,0.7114958927683768,0.7032665936702476,32,4.000000000000001,EGM2_regular_18-20dyn-09,high_shear,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_enrichment_z,1.810457325693961,0.0657794341786865,1.781355570006255,1.92977373710274,1.8002992610963071,32,4.000000000000001,EGM2_regular_18-20dyn-09,high_shear,rep 1,junction_channel,neural:best.pt,32,1
all_reticular_3clique_null_mean,0.0005842576690418,2.6303134740509916e-05,0.0005565217391304,0.0005994152046783,0.0005918367346938,32,4.000000000000001,EGM2_regular_18-20dyn-09,high_shear,rep 1,junction_channel,neural:best.pt,32,1
tricellular_realized_3clique_fraction,0.9514068785484616,0.0012213491844379,0.9504373177842566,0.953216374269006,0.9504373177842566,32,4.000000000000001,EGM2_regular_18-20dyn-09,high_shear,rep 1,junction_channel,neural:best.pt,32,1
n_cells,198.7214305257986,0.9538827062877332,198.0,200.0,198.0,32,4.000000000000001,EGM2_regular_18-20dyn-09,high_shear,rep 1,junction_channel,neural:best.pt,32,1
n_cell_cell_edges,534.1834566752921,2.157612694033649,532.0,537.0,533.0,32,4.000000000000001,EGM2_regular_18-20dyn-09,high_shear,rep 1,junction_channel,neural:best.pt,32,1
mean_degree,5.298455361149367,0.0062774973813551,5.29,5.303030303030303,5.303030303030303,32,4.000000000000001,EGM2_regular_18-20dyn-09,high_shear,rep 1,junction_channel,neural:best.pt,32,1
reticular_fraction,0.1872626820165407,0.0009842283049773,0.1860986547085202,0.1882086167800453,0.1882086167800453,32,4.0,EGM2_regular_18-20dyn-10,high_shear,rep 1,junction_channel,neural:best.pt,32,1
