cell_i,cell_j,edge_id,component_index,face_i,face_j,contact_px,arclength_um,iface_cy,iface_cx,n_components,arclength_px,n_bins,mean_intensity,max_intensity,occupancy,continuity,n_segments,gap_fraction,width_mean_px,width_cv,left_intensity,right_intensity,threshold,AJ_occupancy,AJ_mean_intensity,AJ_max_intensity,AJ_skeleton_len,AJ_cluster_count,AJ_cluster_density,AJ_thickness_proxy,AJ_morph_label,aj_morph,aj_occupancy,has_AJ,AJ_threshold
415,630,19,0,1,0,27.85555314853246,,5.13671875,73.13671875,1,27.85555314853246,28,706.461282066571,1598.3140661161137,0.21428571428571427,0.5357142857142857,2,0.1428571428571429,1.75,0.6004533434723092,672.4366356868403,660.0596302354797,852.5451243376925,0.21428571428571427,706.461282066571,1598.3140661161137,5.969047103256956,2,0.07179896910808134,1.75,punctate,punctate,0.21428571428571427,True,852.5451243376925
310,415,20,0,2,1,44.20767367116379,,15.13671875,107.13671875,1,44.20767367116379,44,736.8572502872521,1381.9488410519032,0.288961038961039,0.7045454545454546,3,0.06818181818181823,2.1707317073170733,0.6096476389326083,693.5800360981335,697.1983238588386,852.5451243376925,0.288961038961039,736.8572502872521,1381.9488410519032,12.774295314070056,3,0.06786152156106032,2.1707317073170733,discontinuous,discontinuous,0.288961038961039,True,852.5451243376925
65,310,21,0,3,2,62.117020742933775,,6.53515625,166.46484375,1,62.117020742933775,62,795.7415101037402,1723.9289879029493,0.33640552995391704,0.45161290322580644,3,0.17741935483870963,2.8627450980392157,0.4376063793140627,801.1244638698776,719.1041110802167,852.5451243376925,0.33640552995391704,795.7415101037402,1723.9289879029493,20.896509282185093,3,0.04829594150072418,2.8627450980392157,discontinuous,discontinuous,0.33640552995391704,True,852.5451243376925
65,356,22,0,3,4,75.17931851753123,,29.5,184.5,1,75.17931851753123,75,798.8495355031093,1374.891529544267,0.3904761904761905,1.0,1,0.0,2.7333333333333334,0.34493013716416954,728.6290136962997,771.3977591115931,852.5451243376925,0.3904761904761905,798.8495355031093,1374.891529544267,29.355733897321716,1,0.013301530523541629,2.7333333333333334,punctate,punctate,0.3904761904761905,True,852.5451243376925
356,403,23,0,4,5,50.57566987489282,,19.171875,204.828125,1,50.57566987489282,51,796.2740699152846,1632.7406984406873,0.38375350140056025,1.0,1,0.0,2.6862745098039214,0.3254525081694592,744.3267504887457,752.2395722225993,852.5451243376925,0.38375350140056025,796.2740699152846,1632.7406984406873,19.408590400168954,1,0.019772353039982732,2.6862745098039214,punctate,punctate,0.38375350140056025,True,852.5451243376925
128,403,24,0,6,5,48.045222688382594,,12.25,243.25,1,48.045222688382594,48,741.5437799966458,1469.4600825910532,0.33630952380952384,0.5833333333333334,2,0.39583333333333337,3.896551724137931,0.38329925358774725,730.1473836783149,695.2931064834165,852.5451243376925,0.33630952380952384,741.5437799966458,1469.4600825910532,16.15806596365248,2,0.0416274478104064,3.896551724137931,punctate,punctate,0.33630952380952384,True,852.5451243376925
80,128,25,0,7,6,27.385350192908824,,11.5,292.5,1,27.385350192908824,27,839.411669496138,1289.5982219611942,0.47619047619047616,1.0,1,0.0,3.3333333333333335,0.5033222956847166,789.7532178483928,828.2862503104263,852.5451243376925,0.47619047619047616,839.411669496138,1289.5982219611942,13.040642949004202,1,0.03651587410625629,3.3333333333333335,thick,thick,0.47619047619047616,True,852.5451243376925
80,438,26,0,7,8,62.790586204642736,,26.50390625,324.49609375,1,62.790586204642736,63,751.5150295860884,1718.8271655993728,0.23582766439909297,0.31746031746031744,6,0.5238095238095238,3.466666666666667,0.5199425320998374,746.6995210672172,697.4903831038241,852.5451243376925,0.23582766439909297,751.5150295860884,1718.8271655993728,14.807757290890804,6,0.0955557251917543,3.466666666666667,reticular,reticular,0.23582766439909297,True,852.5451243376925
252,438,27,0,9,8,26.77814489759227,,13.828125,363.171875,1,26.77814489759227,27,718.5186812215384,1172.128787692273,0.19576719576719576,0.25925925925925924,5,0.2592592592592593,1.85,0.46104654349275626,703.3090293960881,669.1332531955654,852.5451243376925,0.19576719576719576,718.5186812215384,1172.128787692273,5.24228233444928,5,0.1867194318023714,1.85,discontinuous,discontinuous,0.19576719576719576,True,852.5451243376925
252,555,28,0,9,10,14.616254175096701,,3.89453125,403.10546875,1,14.616254175096701,15,800.402152176756,1259.945273808353,0.4,0.6,3,0.2666666666666667,3.8181818181818183,0.44416090728994356,831.1548483033637,727.7889719987338,852.5451243376925,0.4,800.402152176756,1259.945273808353,5.8465016700386805,3,0.20525094624527163,3.8181818181818183,thick,thick,0.4,True,852.5451243376925
