tile_id,well,donor,day,row,col,curated_n_cells,curated_n_gaps,curated_n_edges,curated_TJ_coverage,curated_TJ_continuity,curated_TJ_width_mean_px,curated_TJ_intensity_rel,curated_G_eff,curated_permeability_index,curated_gap_fraction,curated_mean_g_edge,curated_cell_area_px,curated_cell_area_cv,curated_edge_length_px,curated_tissue_frac,neural_n_cells,neural_n_gaps,neural_n_edges,neural_TJ_coverage,neural_TJ_continuity,neural_TJ_width_mean_px,neural_TJ_intensity_rel,neural_G_eff,neural_permeability_index,neural_gap_fraction,neural_mean_g_edge,neural_cell_area_px,neural_cell_area_cv,neural_edge_length_px,neural_tissue_frac
20161012-D3C-D73_Med_c1_ORG_n100_r2201_c1001,AMD2_B_D73,AMD2,73,2201,1001,182.0,3.0,541.0,0.5946441672780631,0.6150648080215212,1.8358124536607188,2.61132944850894,3343.525,0.0510204782323409,0.0044862831891491,6.1525415896487985,360.07142857142856,2.8206488279415605,15.11645101663586,0.9999542236328124,242,0,666,0.5070677237472262,0.5636958911885003,1.7844787351108051,2.7027272546253474,3606.206095761131,0.0550271777792192,0.0,5.414723867509206,270.8057851239669,0.4401676253739031,10.934004785568916,0.9999847412109376
20161012-D3C-D73_Med_c1_ORG_n102_r2201_c1401,AMD2_B_D73,AMD2,73,2201,1401,181.0,13.0,534.0,0.531644049477603,0.5500180136904047,1.7647205709796223,2.44149530945089,3978.35,0.0607381679389312,0.0163384317619113,7.328370786516854,361.878453038674,2.4135939702834235,15.593632958801498,0.99945068359375,274,0,753,0.4963635073972901,0.5388002441111323,1.7902540076427018,2.387050403116823,3932.969979572685,0.0600132750373492,0.0,5.223067701955757,239.17883211678833,0.4942066060148807,10.321070411504545,0.9999847412109376
20161012-D3C-D73_Med_c1_ORG_n103_r2201_c1601,AMD2_B_D73,AMD2,73,2201,1601,182.0,2.0,539.0,0.5513437389977702,0.5630794507686891,1.8252160116156424,2.4322777385379517,3846.475,0.0586952375139242,0.0025997829181263,7.117764378478665,360.07142857142856,1.87647042374075,15.808905380333952,0.9999542236328124,267,0,735,0.5002029329295937,0.5422360863684286,1.777090112254207,2.403550095952319,3841.677802680556,0.0586202457111552,0.0,5.226772520653817,245.4494382022472,0.4700842664804473,10.407769199496016,0.9999847412109376
20161012-D3C-D73_Med_c1_ORG_n104_r2201_c1801,AMD2_B_D73,AMD2,73,2201,1801,189.0,3.0,560.0,0.6125642223260159,0.6255254553946754,1.861125355860571,2.277602241933142,3347.0,0.0510758431252861,0.0044816253361219,5.95,346.7195767195767,1.9897487115171373,15.292857142857144,0.999908447265625,268,0,735,0.5480876749045399,0.6033589647298458,1.8337111691277013,2.2846524956845333,3502.242830054812,0.0534407904752506,0.0,4.7649562313670915,244.53362581623136,0.4311932609121731,10.488663327263406,0.9999849200248718
20161012-D3C-D73_Med_c1_ORG_n105_r2201_c2201,AMD2_B_D73,AMD2,73,2201,2201,188.0,1.0,559.0,0.6139291006497207,0.6380941525133934,1.8615748778372407,2.522170195459482,3405.975,0.0519718471046005,0.0014680084263683,6.084033989266548,348.5904255319149,1.748066397602558,15.694096601073346,0.9999847412109376,254,0,693,0.5551989155376167,0.6188154959784119,1.790493292174159,2.4985998114076837,3361.022152016775,0.0512859106129057,0.0,4.849959815320022,258.01181102362204,0.4339291286471531,10.847455152119954,0.9999847412109376
20161012-D3C-D73_Med_c1_ORG_n106_r2201_c2401,AMD2_B_D73,AMD2,73,2201,2401,150.0,0.0,440.0,0.6342804766269478,0.6306141154903758,1.8610064710663945,2.5923533034329784,2804.0000000000005,0.04278564453125,0.0,6.372727272727274,436.9066666666667,2.7078152532035227,17.35681818181818,1.0,280,0,766,0.5418738839568009,0.6109413813056386,1.7748347848743642,2.500286865938137,3601.9180400720015,0.0549617462435645,0.0,4.70224287215666,234.05357142857144,0.4471165474405024,10.20950936513652,0.9999847412109376
20161012-D3C-D73_Med_c1_ORG_n107_r2401_c201,AMD2_B_D73,AMD2,73,2401,201,186.0,5.0,514.0,0.5899543378995433,0.6309197651663405,1.810073811822121,2.533369427828387,3180.8500000000004,0.0485522178465671,0.007859534401182,6.1397859922179,352.2258064516129,1.1244752379533374,14.912451361867705,0.999664306640625,260,0,714,0.5370282424960859,0.5883696484119442,1.82007703247265,2.556933481964065,3533.7235681770635,0.053921165303686,0.0,4.9491926725168955,252.05769230769232,0.408641525550524,10.63605412793515,0.9999847412109376
20161012-D3C-D73_Med_c1_ORG_n108_r2401_c401,AMD2_B_D73,AMD2,73,2401,401,182.0,4.0,518.0,0.6145887899423782,0.6342325825039288,1.8704300447494335,2.614173911822712,2975.95,0.0454288025889967,0.006720543019876,5.706467181467181,359.9340659340659,1.0467994818201605,14.741312741312742,0.99957275390625,262,0,712,0.5766641091019141,0.6195538331844697,1.8982768814907305,2.6318029294693916,3219.31583206257,0.0491236107738242,0.0,4.521511000087879,250.1335877862595,0.4425830963505816,10.621615357367304,0.9999847412109376
20161012-D3C-D73_Med_c1_ORG_n109_r2401_c601,AMD2_B_D73,AMD2,73,2401,601,214.0,0.0,614.0,0.6428907168037603,0.6860164512338426,1.871758222165211,2.5759666494457125,3054.3499999999995,0.0466170634920634,0.0,4.974511400651465,306.1682242990654,0.6975490070958096,13.859934853420196,0.999755859375,280,0,772,0.5867415664816416,0.6510712726004814,1.8447179708912165,2.587092401319607,3268.744800834882,0.049877848490652,0.0,4.2341253896824895,234.05357142857144,0.3813099410746707,10.18521353296352,0.9999847412109376
20161012-D3C-D73_Med_c1_ORG_n110_r2401_c801,AMD2_B_D73,AMD2,73,2401,801,212.0,6.0,605.0,0.6133916952561221,0.6583461492961079,1.8188666462594107,2.593854593701167,3313.125,0.050568164473885,0.009054895302773,5.426652892561983,309.04716981132077,0.7243461720873142,13.971900826446282,0.999725341796875,281,0,775,0.5576783581671566,0.6214069462318403,1.8115252093831655,2.5930952112187335,3502.12470735252,0.0534389975944536,0.0,4.518870590132284,233.22064056939504,0.4030534988207915,10.159734828960843,0.9999847412109376
