variant,n_pred_cells,n_ref_cells,n_matched_cells,n_splits,n_merges,adjacency_pair_f1,adjacency_pair_precision,adjacency_pair_recall,adjacency_component_f1,n_pred_pairs,n_ref_pairs,n_pred_vertices,n_ref_vertices,vertex_f1,vertex_precision,vertex_recall,vertex_incident_set_accuracy,pq,ap50,boundary_f1,n_vertex_merges
base,569.0,500.6,411.0,65.4,26.8,0.545,0.513,0.583,0.379,625.5,538.1,125.9,84.2,0.308,0.263,0.378,0.638,0.612,0.629,0.869,0.0
nucmerge,557.2,500.6,409.9,63.4,26.9,0.55,0.525,0.581,0.382,608.1,538.1,120.5,84.2,0.311,0.27,0.372,0.644,0.617,0.637,0.87,0.0
nucmerge_a0.6,561.1,500.6,410.5,64.5,26.7,0.549,0.521,0.582,0.381,614.5,538.1,123.0,84.2,0.308,0.266,0.374,0.643,0.616,0.635,0.869,0.0
nucmerge_smooth1_vw0.6,556.7,500.6,409.8,62.9,25.7,0.551,0.521,0.587,0.383,620.3,538.1,133.5,84.2,0.314,0.26,0.402,0.619,0.618,0.637,0.87,0.0
smooth1_vw0.6,568.3,500.6,411.0,64.9,25.9,0.546,0.509,0.591,0.379,638.2,538.1,139.6,84.2,0.313,0.255,0.411,0.604,0.613,0.63,0.869,0.0
vw0.6,568.7,500.6,410.5,64.8,26.3,0.545,0.51,0.587,0.38,633.6,538.1,135.0,84.2,0.321,0.266,0.41,0.619,0.612,0.628,0.869,0.0
