variant,n_pred_cells,n_ref_cells,n_matched_cells,n_splits,n_merges,adjacency_pair_f1,adjacency_pair_precision,adjacency_pair_recall,adjacency_component_f1,n_pred_pairs,n_ref_pairs,n_pred_vertices,n_ref_vertices,vertex_f1,vertex_precision,vertex_recall,vertex_incident_set_accuracy,pq,ap50,boundary_f1,n_vertex_merges
base,715.5,775.25,700.0,8.875,25.125,0.9,0.919,0.88,0.877,2052.938,2142.75,1338.438,1313.562,0.892,0.884,0.9,0.898,0.772,0.886,0.996,0.0
dist0.2,715.938,775.25,700.562,8.688,25.375,0.9,0.92,0.881,0.878,2053.125,2142.75,1338.188,1313.562,0.892,0.884,0.9,0.899,0.773,0.886,0.996,0.0
dist0.2_smooth1_vw0.6,715.062,775.25,700.25,11.375,25.375,0.903,0.924,0.883,0.881,2049.125,2142.75,1335.062,1313.562,0.88,0.873,0.887,0.904,0.78,0.887,0.994,0.0
dist0.2_vw0.6,715.125,775.25,700.188,10.25,25.5,0.903,0.923,0.883,0.881,2052.125,2142.75,1338.0,1313.562,0.891,0.884,0.899,0.902,0.775,0.886,0.994,0.0
nucmerge,715.5,775.25,700.0,8.875,25.125,0.9,0.919,0.88,0.877,2052.938,2142.75,1338.438,1313.562,0.892,0.884,0.9,0.898,0.772,0.886,0.996,0.0
nucmerge_a0.6,715.5,775.25,700.0,8.875,25.125,0.9,0.919,0.88,0.877,2052.938,2142.75,1338.438,1313.562,0.892,0.884,0.9,0.898,0.772,0.886,0.996,0.0
nucmerge_a0.6_smooth1_vw0.6,714.75,775.25,700.062,11.125,25.188,0.903,0.924,0.883,0.881,2048.75,2142.75,1335.0,1313.562,0.881,0.874,0.887,0.904,0.78,0.887,0.994,0.0
nucmerge_b0.6,715.5,775.25,700.0,8.875,25.125,0.9,0.919,0.88,0.877,2052.938,2142.75,1338.438,1313.562,0.892,0.884,0.9,0.898,0.772,0.886,0.996,0.0
nucmerge_smooth1_vw0.6,714.75,775.25,700.062,11.125,25.188,0.903,0.924,0.883,0.881,2048.75,2142.75,1335.0,1313.562,0.881,0.874,0.887,0.904,0.78,0.887,0.994,0.0
seed0.4,715.5,775.25,700.0,8.875,25.125,0.9,0.919,0.88,0.877,2052.938,2142.75,1338.438,1313.562,0.892,0.884,0.9,0.898,0.772,0.886,0.996,0.0
seed0.4_smooth1_vw0.6,714.75,775.25,700.062,11.125,25.188,0.903,0.924,0.883,0.881,2048.75,2142.75,1335.0,1313.562,0.881,0.874,0.887,0.904,0.78,0.887,0.994,0.0
seed0.5,715.5,775.25,700.0,8.875,25.125,0.9,0.919,0.88,0.877,2052.938,2142.75,1338.438,1313.562,0.892,0.884,0.9,0.898,0.772,0.886,0.996,0.0
smooth1,715.5,775.25,701.188,10.562,25.312,0.902,0.923,0.882,0.88,2048.125,2142.75,1333.625,1313.562,0.883,0.877,0.89,0.903,0.777,0.888,0.996,0.0
smooth1_vw0.6,714.75,775.25,700.062,11.125,25.188,0.903,0.924,0.883,0.881,2048.75,2142.75,1335.0,1313.562,0.881,0.874,0.887,0.904,0.78,0.887,0.994,0.0
vw0.3,715.125,775.25,700.875,9.0,25.062,0.903,0.923,0.884,0.88,2052.688,2142.75,1338.625,1313.562,0.893,0.885,0.901,0.901,0.775,0.888,0.995,0.0
vw0.6,715.062,775.25,700.312,10.062,25.188,0.902,0.923,0.883,0.881,2052.75,2142.75,1338.688,1313.562,0.891,0.883,0.899,0.902,0.776,0.887,0.994,0.0
vw1.0,714.688,775.25,699.812,10.875,25.125,0.902,0.922,0.883,0.88,2051.0,2142.75,1337.312,1313.562,0.89,0.883,0.898,0.901,0.777,0.886,0.994,0.0
