split,dataset,method,run,n,adjacency_pair_f1,vertex_f1,vertex_precision,vertex_recall,pq,boundary_f1,n_pred_cells,n_ref_cells,n_pred_vertices,n_ref_vertices,vertex_loc_error_median_px
hCEC (5),hcec,Cellpose-SAM zero-shot,runs/vertex/hcec_test_cellpose_filled,5,0.8297531140244239,0.6345591367616797,0.72075625840909,0.5814177833113876,0.7896616722496244,0.879592729143494,1635.0,1664.6,2298.4,2974.2,1.1656854249492379
hCEC (5),hcec,Cellpose-SAM ft confluent pool,runs/frontier/hcec_test_cpsam_ft,5,0.936865337667918,0.6953691933888653,0.6905413045373244,0.7003925225617338,0.8617837238973429,0.9239382773512489,1705.0,1664.6,3022.6,2974.2,1.4
hCEC (5),hcec,Cellpose-SAM ft hCEC only,runs/frontier/hcec_test_cpsam_ft_hcec_only,5,0.937305133519424,0.6956685121467556,0.6905356872039979,0.7009968496074541,0.8616124227071842,0.9242918976420473,1705.4,1664.6,3024.6,2974.2,1.4
hCEC (5),hcec,Cellpose-SAM ft HAEC (cross-domain),runs/frontier/hcec_test_cpsam_ft_haec,5,0.20721484719551614,0.09786669915678355,0.2581069326466376,0.07696963280613361,0.2635979242553426,0.5251046153883127,1151.4,1664.6,509.4,2974.2,2.047213595499958
hCEC (5),hcec,PiMorph v6_pool tuned,runs/frontier/hcec_test_v6_tuned,5,0.8671148320601827,0.6803408067492247,0.677924900215536,0.6831457560435803,0.8162967498813665,0.9158168846208324,1685.0,1664.6,3014.0,2974.2,1.282842712474619
alizarine (10),alizarine,Cellpose-SAM zero-shot,runs/vertex/alizarine_test_cellpose_filled,10,0.989151802055973,0.9838801057677615,0.97891398340664,0.9889260481705129,0.8976808751681752,0.9996681826708237,324.8,320.2,575.7,569.5,1.0
alizarine (10),alizarine,Cellpose-SAM ft confluent pool,runs/frontier/alizarine_test_cpsam_ft,10,0.991979585084116,0.9909521779570655,0.9860699574356836,0.9959055923142796,0.9030838204159283,0.9998209560952294,324.6,320.2,575.5,569.5,1.0
alizarine (10),alizarine,PiMorph v6_pool tuned,runs/frontier/alizarine_test_v6_tuned,10,0.9868209937935724,0.9920381890990961,0.993624145998988,0.9904756266857835,0.9195190074614699,0.9989255673843784,319.5,320.2,567.7,569.5,1.0
FlyWing (10),flywing,Cellpose-SAM zero-shot,runs/vertex/flywing_test_cellpose_filled,10,0.9662154924017182,0.8491460122877609,0.8344454712629652,0.864499301421316,0.7947609744436808,0.9956578988286374,711.2,742.3,1306.3,1259.7,1.4727922061357859
FlyWing (10),flywing,Cellpose-SAM ft confluent pool,runs/frontier/flywing_test_cpsam_ft,10,0.9655750441521546,0.8522371536114337,0.8370215342626433,0.8681336639720536,0.792774887319461,0.9933346039466358,711.9,742.3,1307.9,1259.7,1.5313708498984764
FlyWing (10),flywing,PiMorph v6_pool tuned,runs/frontier/flywing_test_v6_tuned,10,0.9110933280700989,0.8749091672180933,0.8691205968933661,0.8809291939877687,0.7804821334044222,0.9939662617256915,684.4,742.3,1278.3,1259.7,1.5899494936611667
RPE (20),rpe_zo1,Cellpose-SAM zero-shot,runs/vertex/rpe_zo1_test_cellpose,20,0.6216034916479909,0.28745605535765906,0.2542576516850684,0.3314145601610329,0.5476612890096186,0.6859197072623641,176.75,140.4,269.3,208.95,1.7659046002553667
RPE (20),rpe_zo1,Cellpose-SAM ft confluent pool,runs/frontier/rpe_zo1_test_cpsam_ft,20,0.6809461746327348,0.3357572268190466,0.3006402174374973,0.3826153345277424,0.6124317065337659,0.7505524423794243,168.45,140.4,259.85,208.95,1.7041012013803774
RPE (20),rpe_zo1,PiMorph v6_pool tuned,runs/frontier/rpe_test_v6_tuned,20,0.6050121335742589,0.32695568564239563,0.290752664539362,0.3806988687676461,0.5558434027364395,0.7309497857969326,171.1,140.4,265.35,208.95,1.7278723168708434
HAEC (86),haec,Cellpose-SAM zero-shot,runs/vertex/haec_test_cellpose_filled,86,0.31421794448791035,0.03871100481888946,0.03900520208822749,0.042720244702125675,0.4650831438239798,0.7080060598983343,753.3023255813954,568.5697674418604,110.4186046511628,92.30232558139535,1.3980446477968402
HAEC (86),haec,Cellpose-SAM ft HAEC train,runs/frontier/haec_test_cpsam_ft,86,0.5552112114377119,0.3305244084121091,0.3714611931188053,0.30383839201799795,0.6482275691548782,0.8620289617538196,622.5581395348837,568.5697674418604,77.86046511627907,92.30232558139535,1.4592746479529295
HAEC (86),haec,Cellpose-SAM ft confluent pool (cross),runs/frontier/haec_test_cpsam_ft_confluent,86,0.16154014675915343,0.017651223981744738,0.009757824134232596,0.1034569207984271,0.32404385842681993,0.6047842836934354,802.0697674418604,568.5697674418604,995.6744186046511,92.30232558139535,1.637725559778738
HAEC (86),haec,PiMorph v6_pool tuned,runs/frontier/haec_test_v6_tuned,86,0.5356690893163182,0.35159995124654075,0.29298350842383936,0.45345380487260506,0.6260630113350446,0.8580027280547063,647.9651162790698,568.5697674418604,150.97674418604652,92.30232558139535,1.252582678948912
