variant,n_pred_cells,n_ref_cells,n_matched_cells,n_splits,n_merges,adjacency_pair_f1,adjacency_pair_precision,adjacency_pair_recall,adjacency_component_f1,n_pred_pairs,n_ref_pairs,n_pred_vertices,n_ref_vertices,vertex_f1,vertex_precision,vertex_recall,vertex_incident_set_accuracy,pq,ap50,boundary_f1,n_vertex_merges
base,1915.1,1673.3,1609.9,133.9,89.9,0.817,0.772,0.871,0.717,5354.8,4744.4,3433.8,3045.1,0.625,0.593,0.663,0.813,0.773,0.812,0.902,0.0
dist0.2,2092.6,1673.3,1588.7,307.0,94.2,0.716,0.65,0.8,0.615,5880.9,4744.4,3774.6,3045.1,0.597,0.544,0.665,0.689,0.707,0.731,0.882,0.0
dist0.2_smooth1_vw0.6,2086.8,1673.3,1589.4,303.5,91.9,0.719,0.653,0.802,0.619,5869.1,4744.4,3768.3,3045.1,0.611,0.557,0.68,0.687,0.71,0.733,0.883,0.0
dist0.2_vw0.6,2089.0,1673.3,1588.6,305.3,93.4,0.717,0.651,0.8,0.616,5875.4,4744.4,3771.2,3045.1,0.606,0.552,0.675,0.686,0.709,0.732,0.883,0.0
nucmerge,1777.5,1673.3,1574.6,85.1,113.8,0.836,0.817,0.857,0.733,4976.7,4744.4,3192.8,3045.1,0.634,0.62,0.648,0.826,0.789,0.838,0.906,0.0
nucmerge_a0.6,1841.1,1673.3,1591.4,114.2,99.2,0.825,0.793,0.862,0.723,5159.1,4744.4,3311.3,3045.1,0.629,0.606,0.655,0.816,0.782,0.826,0.903,0.0
nucmerge_a0.6_smooth1_vw0.6,1834.6,1673.3,1593.3,108.0,96.6,0.83,0.799,0.866,0.729,5143.1,4744.4,3301.2,3045.1,0.643,0.62,0.669,0.821,0.786,0.83,0.906,0.0
nucmerge_b0.6,1798.1,1673.3,1595.2,85.8,99.9,0.849,0.824,0.875,0.746,5033.5,4744.4,3228.7,3045.1,0.637,0.62,0.655,0.843,0.797,0.848,0.907,0.0
nucmerge_smooth1_vw0.6,1773.5,1673.3,1575.4,81.8,112.1,0.839,0.82,0.859,0.736,4966.9,4744.4,3186.7,3045.1,0.647,0.633,0.661,0.83,0.792,0.84,0.908,0.0
seed0.4,1879.4,1673.3,1602.3,122.3,92.7,0.824,0.784,0.869,0.723,5258.0,4744.4,3373.4,3045.1,0.629,0.6,0.661,0.817,0.779,0.82,0.903,0.0
seed0.4_smooth1_vw0.6,1869.9,1673.3,1603.9,114.6,90.5,0.829,0.79,0.873,0.728,5237.4,4744.4,3361.0,3045.1,0.643,0.615,0.674,0.821,0.784,0.825,0.906,0.0
seed0.5,1825.7,1673.3,1579.5,108.4,103.5,0.821,0.792,0.853,0.722,5111.0,4744.4,3280.9,3045.1,0.632,0.611,0.655,0.812,0.779,0.821,0.904,0.0
smooth1,1907.8,1673.3,1611.6,127.8,89.1,0.822,0.777,0.874,0.722,5337.6,4744.4,3422.2,3045.1,0.633,0.601,0.67,0.817,0.777,0.816,0.904,0.0
smooth1_vw0.6,1905.4,1673.3,1611.8,126.5,86.9,0.822,0.778,0.874,0.722,5333.9,4744.4,3421.2,3045.1,0.639,0.607,0.677,0.816,0.779,0.818,0.904,0.0
vw0.3,1915.0,1673.3,1610.4,133.3,89.7,0.818,0.772,0.871,0.717,5356.5,4744.4,3435.2,3045.1,0.632,0.599,0.67,0.812,0.774,0.813,0.902,0.0
vw0.6,1912.9,1673.3,1610.1,133.3,88.9,0.818,0.772,0.871,0.718,5352.7,4744.4,3433.0,3045.1,0.634,0.601,0.672,0.812,0.775,0.813,0.902,0.0
vw1.0,1912.5,1673.3,1610.5,132.7,87.8,0.819,0.773,0.872,0.718,5351.2,4744.4,3432.1,3045.1,0.637,0.604,0.675,0.813,0.775,0.814,0.902,0.0
