tile,n_ref_vertices,n_pred_vertices,n_matched,n_missed,n_spurious,weighted_frac,set
data/tiles/gt_haec_train/field_00032_r0000_c0000.npz,18,10,1,17,9,0.0174102783203125,haec
data/tiles/gt_haec_train/field_00032_r0688_c0688.npz,29,33,11,18,22,0.0264091491699218,haec
data/tiles/gt_haec_train/field_00033_r0688_c0400.npz,16,12,6,10,6,0.0109634399414062,haec
data/tiles/gt_haec_train/field_00034_r0688_c0000.npz,29,29,9,20,20,0.0265312194824218,haec
data/tiles/gt_haec_train/field_00035_r0400_c0688.npz,8,8,2,6,6,0.0083999633789062,haec
data/tiles/gt_haec_train/field_00036_r0400_c0400.npz,20,19,8,12,11,0.0159263610839843,haec
data/tiles/gt_haec_train/field_00037_r0400_c0000.npz,25,32,7,18,25,0.0267524719238281,haec
data/tiles/gt_haec_train/field_00038_r0000_c0688.npz,27,36,15,12,21,0.0222396850585937,haec
data/tiles/gt_haec_train/field_00039_r0000_c0400.npz,19,13,6,13,7,0.0134391784667968,haec
data/tiles/gt_haec_train/field_00040_r0000_c0000.npz,12,19,5,7,14,0.0136909484863281,haec
data/tiles/gt_haec_train/field_00040_r0688_c0688.npz,14,27,8,6,19,0.0175628662109375,haec
data/tiles/gt_haec_train/field_00041_r0688_c0400.npz,17,32,9,8,23,0.0214195251464843,haec
data/tiles/gt_haec_train/field_00042_r0688_c0000.npz,13,19,7,6,12,0.0125083923339843,haec
data/tiles/gt_haec_train/field_00043_r0400_c0688.npz,20,19,6,14,13,0.0184478759765625,haec
data/tiles/gt_haec_train/field_00044_r0400_c0400.npz,14,13,2,12,11,0.0161285400390625,haec
data/tiles/gt_haec_train/field_00045_r0400_c0000.npz,11,20,6,5,14,0.0138969421386718,haec
data/tiles/gt_haec_train/field_00046_r0000_c0688.npz,19,24,5,14,19,0.0212287902832031,haec
data/tiles/gt_haec_train/field_00047_r0000_c0400.npz,14,17,4,10,13,0.0160865783691406,haec
data/tiles/gt_haec_train/field_00048_r0000_c0000.npz,16,12,5,11,7,0.0114784240722656,haec
