variant,n_pred_cells,n_ref_cells,n_matched_cells,n_splits,n_merges,adjacency_pair_f1,adjacency_pair_precision,adjacency_pair_recall,adjacency_component_f1,n_pred_pairs,n_ref_pairs,n_pred_vertices,n_ref_vertices,vertex_f1,vertex_precision,vertex_recall,vertex_incident_set_accuracy,pq,ap50,boundary_f1,n_vertex_merges
base,1898.1,1673.3,1611.9,124.5,77.3,0.823,0.78,0.873,0.733,5306.6,4744.4,3399.7,3045.1,0.671,0.638,0.708,0.818,0.786,0.82,0.91,0.0
dist0.2,2095.9,1673.3,1592.2,318.6,83.3,0.714,0.648,0.798,0.62,5889.4,4744.4,3776.8,3045.1,0.636,0.578,0.709,0.683,0.712,0.731,0.887,0.0
dist0.2_smooth1_vw0.6,2087.2,1673.3,1592.8,314.2,81.2,0.719,0.653,0.803,0.625,5869.9,4744.4,3766.0,3045.1,0.642,0.584,0.715,0.689,0.715,0.734,0.887,0.0
dist0.2_vw0.6,2090.9,1673.3,1593.0,315.9,81.0,0.719,0.652,0.803,0.623,5876.4,4744.4,3769.8,3045.1,0.641,0.583,0.714,0.688,0.713,0.733,0.887,0.0
nucmerge,1754.6,1673.3,1576.1,73.2,104.9,0.845,0.83,0.861,0.751,4916.1,4744.4,3152.0,3045.1,0.679,0.668,0.691,0.834,0.802,0.848,0.914,0.0
nucmerge_a0.6,1818.3,1673.3,1592.8,102.6,88.5,0.833,0.805,0.865,0.74,5097.6,4744.4,3270.3,3045.1,0.675,0.653,0.699,0.823,0.795,0.836,0.912,0.0
nucmerge_a0.6_smooth1_vw0.6,1803.8,1673.3,1594.4,91.8,87.2,0.843,0.817,0.872,0.751,5061.1,4744.4,3245.8,3045.1,0.682,0.662,0.704,0.834,0.801,0.843,0.914,0.0
nucmerge_b0.6,1786.2,1673.3,1604.2,74.1,86.1,0.861,0.839,0.885,0.768,5002.9,4744.4,3207.1,3045.1,0.684,0.667,0.701,0.856,0.812,0.861,0.916,0.0
nucmerge_smooth1_vw0.6,1743.2,1673.3,1575.5,67.2,104.4,0.852,0.839,0.865,0.758,4887.7,4744.4,3133.4,3045.1,0.685,0.676,0.695,0.843,0.806,0.852,0.915,0.0
seed0.4,1856.0,1673.3,1602.0,112.7,83.1,0.829,0.793,0.868,0.738,5192.7,4744.4,3328.2,3045.1,0.675,0.647,0.705,0.823,0.79,0.828,0.911,0.0
seed0.4_smooth1_vw0.6,1838.2,1673.3,1602.8,99.0,82.0,0.838,0.805,0.874,0.747,5153.5,4744.4,3304.1,3045.1,0.681,0.655,0.708,0.833,0.797,0.836,0.913,0.0
seed0.5,1793.1,1673.3,1570.5,97.4,102.6,0.821,0.799,0.845,0.732,5019.6,4744.4,3218.4,3045.1,0.677,0.66,0.695,0.813,0.788,0.824,0.911,0.0
smooth1,1890.3,1673.3,1613.3,119.3,76.3,0.828,0.786,0.876,0.739,5291.2,4744.4,3390.5,3045.1,0.674,0.642,0.711,0.823,0.789,0.824,0.912,0.0
smooth1_vw0.6,1879.1,1673.3,1613.0,111.2,75.7,0.833,0.792,0.879,0.743,5265.3,4744.4,3374.9,3045.1,0.677,0.646,0.713,0.829,0.793,0.828,0.913,0.0
vw0.3,1887.6,1673.3,1614.1,115.1,76.2,0.83,0.788,0.878,0.739,5283.3,4744.4,3387.4,3045.1,0.675,0.642,0.711,0.826,0.79,0.826,0.912,0.0
vw0.6,1884.6,1673.3,1613.9,112.6,76.0,0.831,0.79,0.879,0.742,5274.5,4744.4,3380.9,3045.1,0.677,0.645,0.713,0.829,0.791,0.827,0.913,0.0
vw1.0,1880.2,1673.3,1613.4,110.1,76.1,0.833,0.792,0.879,0.742,5264.4,4744.4,3373.8,3045.1,0.679,0.648,0.714,0.829,0.792,0.828,0.912,0.0
