face_id,area_poly_px,perimeter_px,n_sides,n_bounding_cells,bounding_cells,centroid_row,centroid_col,area_um2
620,11.495452880859375,12.465791485154776,1,1,[312],494.71736844002453,490.3225881929401,
621,9.531692504882812,11.450855057391909,1,1,[349],571.52727257689,799.6281587895617,
622,11.86529541015625,13.331899143754978,1,1,[618],1014.604155112746,449.99200401704036,
