frame,appearance,contact_birth,contact_death,disappearance,division,entry,exit,extrusion,t1
0,0,10,15,0,8,9,6,0,18
1,0,19,14,0,1,8,9,0,18
2,0,7,3,0,1,4,7,1,19
3,0,7,16,2,1,12,2,1,24
4,0,15,16,2,2,9,5,0,29
5,0,10,10,0,2,6,8,0,29
6,0,9,11,0,0,4,5,0,20
7,0,13,4,0,2,1,8,0,18
8,0,10,9,0,1,6,7,0,15
9,0,12,11,0,3,8,6,0,22
10,0,18,9,0,1,3,10,0,19
11,0,13,4,0,1,3,9,0,23
12,0,12,3,0,2,4,10,0,20
13,0,7,12,0,1,8,6,0,20
14,1,10,17,0,2,9,7,0,16
15,0,11,10,0,1,8,4,0,21
16,0,8,8,0,0,4,6,0,19
17,0,12,6,0,1,6,8,0,15
18,0,9,12,0,0,7,5,0,8
19,0,6,9,0,0,2,8,0,18
20,0,15,10,0,0,6,10,0,17
21,0,13,8,0,0,5,9,0,17
22,0,7,7,0,0,6,5,0,18
23,0,11,6,0,0,5,10,0,22
24,0,6,7,0,0,7,4,0,21
25,0,8,8,0,0,6,6,0,9
26,0,8,3,0,1,4,6,0,11
27,0,10,8,0,0,4,10,0,13
28,0,9,13,0,0,10,4,0,16
29,0,12,10,0,0,2,8,0,25
30,0,9,5,0,0,2,4,0,23
31,0,6,3,0,0,4,4,0,19
32,0,2,7,0,0,7,1,0,14
33,0,14,2,0,0,2,12,0,24
34,0,1,11,0,0,4,3,0,15
35,0,14,2,0,0,3,7,0,14
36,0,5,10,0,0,4,5,0,14
37,0,9,6,0,0,3,4,0,16
38,0,16,6,0,0,4,11,0,24
39,0,4,5,0,0,7,4,0,13
40,0,1,4,0,0,4,2,0,17
41,0,10,9,0,0,5,11,1,16
42,0,11,5,0,0,5,8,0,12
43,0,6,8,0,0,8,5,1,11
44,0,5,6,0,0,4,3,0,12
45,0,9,6,0,0,4,8,0,15
46,0,10,2,0,0,3,5,0,9
47,0,4,7,0,0,1,5,0,18
48,0,5,5,0,0,2,1,0,10
49,0,7,8,0,0,6,6,0,9
50,0,3,5,0,0,3,3,0,7
51,0,9,8,0,0,5,7,0,15
52,0,9,3,0,0,2,4,0,7
53,0,5,11,0,0,8,5,0,8
54,0,8,8,0,0,8,6,0,7
55,0,5,4,0,0,2,4,0,13
56,0,6,2,0,0,0,3,0,14
57,0,11,3,0,0,4,5,1,16
58,0,3,5,0,0,3,2,0,11
59,0,15,5,0,0,5,9,1,13
60,0,4,13,0,0,9,4,0,14
61,0,5,5,0,0,4,2,0,16
62,0,9,5,0,0,3,6,0,14
63,0,7,4,0,0,5,7,0,8
64,0,2,4,0,0,5,3,0,10
65,0,5,5,0,0,3,6,0,7
66,0,3,9,0,0,6,1,0,8
67,0,6,5,0,0,4,4,0,8
68,0,4,6,0,0,3,4,0,12
69,0,9,3,0,0,2,6,0,13
