observed_dVEF,expected_dVEF,residual_dVEF,euler_residual,n_events,n_explained,n_unexplained,n_connectivity_changes,fully_explained,charge_a,charge_b,charge_delta,n_t1,t1_charge_deltas,n_t1_charge_conserved,n_t1_generic,n_t1_isolated,n_t1_isolated_charge_conserved,n_t1_isolated_generic,frame
"(7, 10, 3)","(-1, -1, 0)","(8, 11, 3)",0,45,34,11,0,False,16,18,2,21,"[0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, -3, 0, 0, 0, 0, 0, 0, 1, 0, 0]",17,12,11,11,11,24
"(2, 2, 0)","(0, 0, 0)","(2, 2, 0)",0,37,25,12,0,False,18,15,-3,9,"[-2, 0, 0, 0, 0, 0, 0, 0, 0]",8,8,8,8,8,25
"(4, 3, -1)","(7, 8, 1)","(-3, -5, -2)",0,33,23,10,0,False,15,5,-10,11,"[-3, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0]",9,9,9,9,9,26
"(-17, -23, -6)","(2, 2, 0)","(-19, -25, -6)",0,45,31,14,0,False,5,13,8,13,"[1, -1, -1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3]",8,8,8,8,8,27
"(12, 18, 6)","(-4, -4, 0)","(16, 22, 6)",0,52,38,14,0,False,13,16,3,16,"[0, 0, 0, 0, -1, 1, 1, 0, 0, -1, 1, 0, -1, 1, 1, -1]",7,7,7,7,7,28
"(-16, -22, -6)","(2, 2, 0)","(-18, -24, -6)",0,57,47,10,0,False,16,21,5,25,"[3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1, 0, 1, 0, -1, 1, 3, 0, 0, 0, 0, 1, 0, 1]",14,12,11,11,11,29
"(0, -2, -2)","(4, 4, 0)","(-4, -6, -2)",0,43,37,6,0,False,21,16,-5,23,"[0, -2, 0, 0, 1, 1, 0, 0, -1, 1, 0, 0, 0, 0, 0, -1, 0, 1, 1, 0, 0, -1, -2]",13,12,12,12,12,30
"(2, 2, 0)","(3, 3, 0)","(-1, -1, 0)",0,36,28,8,0,False,16,11,-5,19,"[-1, -1, -1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0]",14,9,9,9,9,31
"(15, 21, 6)","(-5, -5, 0)","(20, 26, 6)",0,31,23,8,0,False,11,9,-2,14,"[-6, -6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",11,11,11,11,11,32
"(-23, -33, -10)","(12, 12, 0)","(-35, -45, -10)",0,54,40,14,0,False,9,12,3,24,"[1, 1, 0, 0, -1, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",18,14,13,13,13,33
"(-9, -8, 1)","(-10, -10, 0)","(1, 2, 1)",0,34,27,7,0,False,12,23,11,15,"[11, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 13, 0, 0, 0]",12,12,12,12,12,34
"(1, -3, -4)","(12, 12, 0)","(-11, -15, -4)",0,40,30,10,0,False,23,10,-13,14,"[-7, -7, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0]",10,10,9,9,9,35
"(-6, -7, -1)","(-5, -5, 0)","(-1, -2, -1)",0,38,29,9,0,False,10,12,2,14,"[5, 0, 0, -1, 9, 0, 0, 0, -1, 0, 0, 1, 0, 1]",8,6,6,6,6,36
"(-2, -3, -1)","(3, 3, 0)","(-5, -6, -1)",0,38,31,7,0,False,12,11,-1,16,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0]",14,14,11,11,11,37
"(-10, -17, -7)","(10, 10, 0)","(-20, -27, -7)",0,61,46,15,0,False,11,6,-5,24,"[-4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 1, 0, 1, -1, 0, -3]",17,14,14,14,14,38
"(5, 8, 3)","(-1, -1, 0)","(6, 9, 3)",0,33,22,11,0,False,6,10,4,13,"[0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0]",12,12,9,9,9,39
"(7, 9, 2)","(-3, -3, 0)","(10, 12, 2)",0,28,22,6,0,False,10,8,-2,17,"[0, 0, 0, -3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",15,13,12,12,12,40
"(-15, -22, -7)","(-2, -3, -1)","(-13, -19, -6)",0,52,36,16,0,False,8,7,-1,16,"[0, 4, 0, 4, 1, 0, 4, 0, 0, 0, 0, -1, 0, 0, 0, 0]",11,11,11,11,11,41
"(-7, -10, -3)","(6, 6, 0)","(-13, -16, -3)",0,41,28,13,0,False,7,9,2,12,"[-1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",11,10,9,9,9,42
"(4, 6, 2)","(-5, -6, -1)","(9, 12, 3)",0,39,26,13,0,False,9,13,4,11,"[-5, -4, 0, 2, -4, 0, -3, 0, -3, 0, 0]",5,5,5,5,5,43
"(1, 2, 1)","(-1, -1, 0)","(2, 3, 1)",0,30,23,7,0,False,13,12,-1,12,"[2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10,10,9,9,9,44
"(-8, -12, -4)","(3, 3, 0)","(-11, -15, -4)",0,42,30,12,0,False,12,13,1,15,"[0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 1]",12,12,12,12,12,45
"(2, 0, -2)","(8, 8, 0)","(-6, -8, -2)",0,29,21,8,0,False,13,2,-11,9,"[-2, 0, 0, 1, 0, 0, -1, 0, 0]",6,5,5,5,5,46
