observed_dVEF,expected_dVEF,residual_dVEF,euler_residual,n_events,n_explained,n_unexplained,n_connectivity_changes,fully_explained,charge_a,charge_b,charge_delta,n_t1,t1_charge_deltas,n_t1_charge_conserved,n_t1_generic,n_t1_isolated,n_t1_isolated_charge_conserved,n_t1_isolated_generic,frame
"(3, 2, -1)","(7, 7, 0)","(-4, -5, -1)",0,66,47,19,0,False,133,126,-7,30,"[-5, -3, -3, -5, -4, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, -2, -3, -2, -2, -2]",18,11,11,11,11,20
"(-1, -1, 0)","(17, 29, 12)","(-18, -30, -12)",0,132,64,68,0,False,126,133,7,22,"[-6, -6, -7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, -3, 0, 0, -4]",14,13,7,7,7,21
"(5, 7, 2)","(15, 19, 4)","(-10, -12, -2)",0,64,42,22,0,False,133,131,-2,27,"[-2, -1, 0, 0, 0, -1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, -1, 1, 0, 0, -1, -1, 0, 2, 0, 1, 1]",14,9,9,9,9,22
"(-23, -33, -10)","(1, 1, 0)","(-24, -34, -10)",0,69,47,22,0,False,131,132,1,30,"[4, 5, 4, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, -1, 6, 0, 2, 6, 0, 0, -1, 7, 0, 0, 0, 0, 1, 1, 5]",16,14,14,14,14,23
"(14, 19, 5)","(-1, -1, 0)","(15, 20, 5)",0,60,43,17,0,False,132,126,-6,30,"[-3, -2, 0, 0, -1, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, -1, 0, -2, -1]",20,15,15,15,15,24
"(-5, -7, -2)","(-6, -7, -1)","(1, 0, -1)",0,46,31,15,0,False,126,126,0,18,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 4, 0, 0, 0, 3, 3]",10,10,8,8,8,25
"(1, 1, 0)","(0, 1, 1)","(1, 0, -1)",0,48,33,15,0,False,126,125,-1,21,"[-2, -2, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0]",16,14,12,12,12,26
"(-5, -7, -2)","(3, 3, 0)","(-8, -10, -2)",0,48,34,14,0,False,125,132,7,25,"[-6, -5, -8, -7, -1, -1, 0, 0, -4, 0, -4, 0, 0, -4, 0, 0, 0, 0, 1, -4, 1, 0, -4, -4, -5]",10,10,10,10,10,27
"(6, 8, 2)","(2, 3, 1)","(4, 5, 1)",0,63,42,21,0,False,132,125,-7,33,"[2, 2, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 3, 0, -1, 1, 0, 1, 0, -1, 0, 0, 1, -1, 1, 0, 0, 5, 1, 5, -1, -3, 0]",14,10,10,10,10,28
"(-24, -32, -8)","(-4, -3, 1)","(-20, -29, -9)",0,72,53,19,0,False,125,139,14,36,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 1, 0, 0, 1, 2, 0, 0, 1, -1, 4, 2, 0, 0, 0, 0, 1, 0, 1, -2, 0, 3, 0, 1, 4, 0]",19,14,14,14,14,29
"(-9, -16, -7)","(9, 9, 0)","(-18, -25, -7)",0,63,46,17,0,False,139,123,-16,29,"[5, 0, 0, 0, 0, 1, 1, 0, -1, 1, 0, 0, 1, -1, 0, 1, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 1, 0]",17,15,15,15,15,30
"(10, 14, 4)","(5, 6, 1)","(5, 8, 3)",0,56,37,19,0,False,123,122,-1,25,"[-4, -4, -4, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, -3, 0, -2]",15,10,10,10,10,31
"(7, 10, 3)","(-2, -2, 0)","(9, 12, 3)",0,43,28,15,0,False,122,117,-5,22,"[2, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 4, -1, 0, 1, -1, 0, -1, -1, 0, 0, 0]",12,11,11,11,11,32
"(-9, -13, -4)","(12, 14, 2)","(-21, -27, -6)",0,64,46,18,0,False,117,126,9,34,"[-8, 0, 0, -1, 1, -1, 0, 0, -1, 0, 0, 0, 0, 2, 0, 0, 0, -3, 0, 1, 0, 0, 0, 0, -4, 0, -3, 0, -2, 1, -6, -6, 0, 0]",20,15,15,15,15,33
"(-19, -26, -7)","(-3, -1, 2)","(-16, -25, -9)",0,52,37,15,0,False,126,127,1,22,"[9, 7, 0, 0, 0, 0, 2, 0, 0, 0, 2, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 10]",14,12,11,11,11,34
"(11, 15, 4)","(3, 3, 0)","(8, 12, 4)",0,55,41,14,0,False,127,129,2,26,"[-8, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, -5, -1, -1, -1, -7, -7, -5, 1]",15,10,10,10,10,35
"(-5, -7, -2)","(-1, -1, 0)","(-4, -6, -2)",0,58,36,22,0,False,129,131,2,17,"[0, 0, 0, -1, 0, 0, 0, 1, 1, 1, -1, 0, 1, 1, 0, 1, 0]",9,8,8,8,8,36
"(-10, -16, -6)","(4, 4, 0)","(-14, -20, -6)",0,40,34,6,0,False,131,121,-10,24,"[4, 5, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 0, -1, 0, 0, 0, 8, 7]",16,16,16,16,16,37
"(2, 2, 0)","(6, 6, 0)","(-4, -4, 0)",0,67,49,18,0,False,121,125,4,37,"[-9, -9, -9, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, -7, 1, -2, 0, 0, 0, -6, 0, 1, 0, -8, -1, 0, -5, -7]",22,16,16,16,16,38
"(12, 18, 6)","(-1, -1, 0)","(13, 19, 6)",0,52,30,22,0,False,125,128,3,19,"[-4, -4, -4, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0]",14,14,13,13,13,39
"(10, 16, 6)","(-3, -2, 1)","(13, 18, 5)",0,51,30,21,0,False,128,135,7,20,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, -2]",16,14,14,14,14,40
"(-20, -30, -10)","(3, 2, -1)","(-23, -32, -9)",0,60,43,17,0,False,135,132,-3,28,"[1, 1, 2, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 4, 5]",18,16,15,15,15,41
"(-5, -8, -3)","(-2, -2, 0)","(-3, -6, -3)",0,60,37,23,0,False,132,130,-2,23,"[-1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 1, -1, 1, 0, 1]",14,11,10,10,10,42
"(13, 20, 7)","(-5, -6, -1)","(18, 26, 8)",0,57,33,24,0,False,130,138,8,20,"[-7, -7, -7, -9, -5, 1, 0, 0, -1, 0, 0, -5, 0, -1, 0, -1, 0, 1, 0, -5]",8,7,6,6,6,43
"(-10, -15, -5)","(-2, -2, 0)","(-8, -13, -5)",0,50,35,15,0,False,138,132,-6,22,"[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 7, 7]",17,14,14,14,14,44
"(-2, -3, -1)","(0, -1, -1)","(-2, -2, 0)",0,56,38,18,0,False,132,135,3,22,"[-4, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, -2, -2]",16,15,14,14,14,45
