observed_dVEF,expected_dVEF,residual_dVEF,euler_residual,n_events,n_explained,n_unexplained,n_connectivity_changes,fully_explained,charge_a,charge_b,charge_delta,n_t1,t1_charge_deltas,n_t1_charge_conserved,n_t1_generic,n_t1_isolated,n_t1_isolated_charge_conserved,n_t1_isolated_generic,frame
"(18, 29, 11)","(21, 31, 10)","(-3, -2, 1)",0,109,68,41,0,False,137,146,9,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",18,17,14,14,14,0
"(1, -1, -2)","(16, 21, 5)","(-15, -22, -7)",0,99,64,35,0,False,146,133,-13,21,"[-1, 0, -1, -3, -1, 0, 1, 1, 1, 0, 0, 0, -2, 0, 0, 1, -1, 0, 4, 5, 4]",8,7,6,6,6,1
"(0, -1, -1)","(-2, -2, 0)","(2, 1, -1)",0,62,49,13,0,False,133,130,-3,23,"[-3, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, -1]",18,16,14,14,14,2
"(-12, -16, -4)","(11, 14, 3)","(-23, -30, -7)",0,86,57,29,0,False,130,127,-3,30,"[10, 10, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, 1, 0, 0, -1, 1, 0, 0, 0, 1, -1, 0, 14, -1]",15,14,12,12,12,3
"(22, 32, 10)","(14, 19, 5)","(8, 13, 5)",0,95,62,33,0,False,127,128,1,35,"[-7, 0, -1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 1]",25,17,16,16,16,4
"(9, 14, 5)","(-8, -7, 1)","(17, 21, 4)",0,83,55,28,0,False,128,135,7,36,"[-6, -7, 0, 0, 0, 0, 0, -2, 1, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, -8, -5]",26,18,18,18,18,5
"(-15, -22, -7)","(-23, -26, -3)","(8, 4, -4)",0,65,45,20,0,False,135,131,-4,24,"[6, 6, 7, 0, 0, -1, 0, 1, 0, -1, 0, 0, 0, 0, 1, 0, -1, 0, 1, 0, 0, 1, 0, 1]",13,11,11,11,11,6
"(12, 17, 5)","(4, 6, 2)","(8, 11, 3)",0,58,43,15,0,False,131,137,6,26,"[1, 0, 0, 1, 0, 0, -1, 0, -1, 0, -1, 1, 1, 0, 0, 0, -1, -1, -1, 0, 1, -9, -9, -10, -8, -9]",10,7,7,7,7,7
"(-24, -35, -11)","(-8, -9, -1)","(-16, -26, -10)",0,74,48,26,0,False,137,131,-6,23,"[9, 9, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 1, 0, 0, 0, 0, 9, 13]",16,14,13,13,13,8
"(22, 31, 9)","(0, 2, 2)","(22, 29, 7)",0,82,57,25,0,False,131,126,-5,27,"[-5, -4, -2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, -1, -2]",18,14,13,13,13,9
"(1, 3, 2)","(-11, -11, 0)","(12, 14, 2)",0,82,56,26,0,False,126,141,15,27,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 2, 1, 1, 2, 0, 0, 0, 1, -1, -1, -8, -1]",16,14,14,14,14,10
"(-2, -4, -2)","(1, 2, 1)","(-3, -6, -3)",0,71,48,23,0,False,141,140,-1,32,"[0, 1, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -3, -2, -4, -2, -4, -1]",22,18,16,16,16,11
"(-10, -14, -4)","(-13, -13, 0)","(3, -1, -4)",0,74,54,20,0,False,140,143,3,29,"[0, -1, -1, -1, -1, 0, 0, -2, -1, 0, -1, -1, 0, 0, 0, -1, 1, 0, 0, 1, -2, -1, 1, 2, 1, 2, 1, 1, 1]",9,9,8,8,8,12
"(-9, -13, -4)","(-6, -6, 0)","(-3, -7, -4)",0,80,60,20,0,False,143,138,-5,28,"[5, 5, 8, 0, 0, -1, 0, 0, 1, 0, 0, 0, 2, 0, 0, -1, 0, 0, 0, 1, 0, 1, 0, 0, -1, 9, 9, 8]",15,15,15,15,15,13
"(6, 9, 3)","(7, 10, 3)","(-1, -1, 0)",0,87,47,40,0,False,138,139,1,19,"[-2, -1, -2, 0, 0, 0, 1, 0, -1, 1, 0, 0, -1, 0, 0, 0, -2, -2, 0]",10,8,6,6,6,14
"(-3, -4, -1)","(6, 8, 2)","(-9, -12, -3)",0,72,55,17,0,False,139,132,-7,31,"[9, 7, 5, 8, 0, 0, 0, 0, -1, 0, 0, -1, 2, 0, -1, 0, 0, -2, 0, 0, 0, 0, 0, 0, -1, 1, 2, -2, -1, 0, 10]",16,14,13,13,13,15
"(7, 9, 2)","(2, 2, 0)","(5, 7, 2)",0,67,49,18,0,False,132,130,-2,27,"[-5, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 1, 0, -3, -3, -3, -4, -3]",17,12,11,11,11,16
"(-11, -16, -5)","(-25, -29, -4)","(14, 13, -1)",0,82,61,21,0,False,130,128,-2,22,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, 0, 1, 2, -1, 1, 5, 4]",12,10,9,9,9,17
"(-6, -10, -4)","(-1, -1, 0)","(-5, -9, -4)",0,59,39,20,0,False,128,119,-9,15,"[4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 4]",10,8,8,8,8,18
"(-12, -15, -3)","(-21, -23, -2)","(9, 8, -1)",0,66,53,13,0,False,119,133,14,25,"[0, 1, 0, 0, -1, 0, -1, -1, 0, 0, 0, 0, -2, 0, 0, 1, 0, 2, 0, 0, 0, -1, -1, -1, 0]",15,10,9,9,9,19
"(3, 2, -1)","(-6, -9, -3)","(9, 11, 2)",0,75,61,14,0,False,133,126,-7,29,"[-5, -3, -5, -3, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -2, -2, -1, -3]",18,11,11,11,11,20
"(-1, -1, 0)","(-7, -6, 1)","(6, 5, -1)",0,79,48,31,0,False,126,133,7,23,"[-6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -4, -3]",17,15,14,14,14,21
"(5, 7, 2)","(2, 2, 0)","(3, 5, 2)",0,65,37,28,0,False,133,131,-2,25,"[-3, 0, -2, 0, 0, 0, -1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0, -1, -1, 1]",14,9,9,9,9,22
"(-23, -33, -10)","(-10, -11, -1)","(-13, -22, -9)",0,69,48,21,0,False,131,132,1,28,"[4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, -1, 0, -1, 0, -1, 0, 1, 2, 0, 5, 7, 6]",16,14,14,14,14,23
"(14, 19, 5)","(8, 10, 2)","(6, 9, 3)",0,52,43,9,0,False,132,126,-6,31,"[-4, -3, -2, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, -1, -2, -1]",20,15,15,15,15,24
"(-5, -7, -2)","(1, 2, 1)","(-6, -9, -3)",0,39,28,11,0,False,126,126,0,20,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 3, 3, 0]",12,12,11,11,11,25
"(1, 1, 0)","(-12, -13, -1)","(13, 14, 1)",0,49,34,15,0,False,126,125,-1,16,"[-2, -2, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",13,13,12,12,12,26
"(-5, -7, -2)","(-17, -20, -3)","(12, 13, 1)",0,62,47,15,0,False,125,132,7,21,"[-6, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, -6, -4, -4, -4, -4, -5]",10,10,9,9,9,27
"(6, 8, 2)","(-2, -2, 0)","(8, 10, 2)",0,62,50,12,0,False,132,125,-7,32,"[2, 2, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 1, 0, 0, -1, 0, 0, 1, -1, 1, 2, -3, 1, -1, 0, 5, 5, 4]",13,10,10,10,10,28
"(-24, -32, -8)","(-17, -18, -1)","(-7, -14, -7)",0,80,57,23,0,False,125,139,14,34,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 2, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 1, 1, -2, 0, 0, 4, 3, 3]",19,14,13,13,13,29
"(-9, -16, -7)","(4, 3, -1)","(-13, -19, -6)",0,70,54,16,0,False,139,123,-16,28,"[5, 0, 0, 0, 0, 1, 1, 0, 0, -1, 1, 0, 0, 0, 1, 0, -1, 0, 1, 1, 0, 0, 0, -1, 0, 0, 1, 4]",16,15,15,15,15,30
"(10, 14, 4)","(-6, -8, -2)","(16, 22, 6)",0,65,49,16,0,False,123,122,-1,23,"[-4, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 2, -2, -1]",15,10,10,10,10,31
"(7, 10, 3)","(-6, -7, -1)","(13, 17, 4)",0,49,45,4,0,False,122,117,-5,23,"[2, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 1, -1, 0, -1, 0, 0, -1, 3]",13,11,11,11,11,32
