frame,kind,participants,dV,dE,dF,evidence,run
0,division,"{""parent"": 205, ""children"": [654, 655]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
0,division,"{""parent"": 209, ""children"": [656, 657]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
0,division,"{""parent"": 220, ""children"": [658, 659]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
0,division,"{""parent"": 246, ""children"": [660, 661]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
0,division,"{""parent"": 249, ""children"": [662, 663]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
0,division,"{""parent"": 308, ""children"": [664, 665]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
0,division,"{""parent"": 337, ""children"": [666, 667]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
0,division,"{""parent"": 345, ""children"": [668, 669]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
0,division,"{""parent"": 369, ""children"": [670, 671]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
0,division,"{""parent"": 423, ""children"": [672, 673]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
0,division,"{""parent"": 441, ""children"": [674, 675]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
0,division,"{""parent"": 457, ""children"": [676, 677]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
0,division,"{""parent"": 501, ""children"": [678, 679]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
0,division,"{""parent"": 533, ""children"": [680, 681]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
0,division,"{""parent"": 543, ""children"": [682, 683]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
0,division,"{""parent"": 561, ""children"": [684, 685]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
0,division,"{""parent"": 590, ""children"": [686, 687]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
0,division,"{""parent"": 611, ""children"": [688, 689]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
0,division,"{""parent"": 645, ""children"": [690, 691]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
0,division,"{""parent"": 646, ""children"": [692, 693]}",2.0,3.0,1.0,"{""source"": ""lineage""}",tracker
0,division,"{""parent"": 135, ""children"": [694, 696]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",tracker
0,division,"{""parent"": 499, ""children"": [701, 702]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",tracker
0,division,"{""parent"": 599, ""children"": [714, 723]}",2.0,3.0,1.0,"{""source"": ""heuristic""}",tracker
0,division,"{""parent"": 236, ""children"": [236, 698]}",2.0,3.0,1.0,"{""source"": ""heuristic_asymmetric""}",tracker
0,disappearance,"{""cell"": 8, ""sides"": 5}",,,,"{""neighbours"": [135, 215, 476, 521, 528]}",tracker
