checkpoint,image_id,scale,cell_radius_px,n_cells,n_tricellular,tricellular_per_cell,n_gaps,cell_area_um2_median,tissue_fraction,boundary_interior_ratio,render_loglik_per_px,seconds
v3_endo,pecam_training_009,1,17.269203186035156,607,1078,1.7759472817133444,61,648.6112018415449,0.9968228274828768,1.4074128866195679,-5.361900329589844,2.9058775901794434
v3_endo,pecam_training_022,1,15.468278884887695,692,1236,1.7861271676300579,57,542.2676606157353,0.9970330464163405,1.3011294603347778,-4.103868007659912,2.1690804958343506
v3_endo,pecam_training_038,1,14.616195678710938,691,1250,1.808972503617945,39,574.7615204347327,0.9855378929182974,1.4400657415390015,-5.002327919006348,2.063920021057129
v3_endo,pecam_training_093,1,14.510518074035645,681,1213,1.7812041116005874,63,602.6134002795876,0.9969690251956947,1.370901107788086,-5.424673557281494,2.0632402896881104
v3_endo,pecam_training_142,1,18.48701286315918,567,1026,1.8095238095238095,51,669.7111108149198,0.9911239833047946,1.3092721700668335,-5.132611274719238,1.8445792198181152
v3_endo,pecam_training_161,1,17.205001831054688,543,983,1.8103130755064456,60,624.13530743243,0.9966919184197651,1.2733973264694214,-5.224645614624023,1.9350507259368896
v3_endo,pecam_training_277,1,21.65431785583496,310,558,1.8,34,740.6068049654594,0.9937698752446184,1.1941859722137451,-5.649088382720947,1.7235231399536133
v3_endo,pecam_training_279,1,29.015552520751953,145,218,1.5034482758620689,19,1265.1505420435599,0.9391874847113503,1.143843173980713,-5.784362316131592,1.4857325553894043
v3_endo,pecam_training_305,1,13.915750503540039,843,1521,1.804270462633452,77,481.92192095188307,0.9949719453277887,1.3582466840744019,-5.089850425720215,2.2102243900299072
v3_endo,pecam_training_313,1,14.847143173217773,775,1386,1.7883870967741935,72,510.1957989762054,0.9947865704500979,1.3595025539398193,-4.9180755615234375,2.1660754680633545
v3_endo,pecam_training_332,1,15.014228820800781,767,1345,1.7535853976531943,65,538.4696770005278,0.9975347052348337,1.317708969116211,-5.4169087409973145,2.1702892780303955
v3_endo,pecam_training_339,1,13.617217063903809,851,1528,1.7955346650998825,74,465.88599013211814,0.9970110689823874,1.3775968551635742,-4.695531368255615,2.409367799758911
