checkpoint,image_id,scale,cell_radius_px,n_cells,n_tricellular,tricellular_per_cell,n_gaps,cell_area_um2_median,tissue_fraction,boundary_interior_ratio,render_loglik_per_px,seconds
v3_endo,pecam_training_347,1,13.796092987060547,864,1546,1.7893518518518519,82,471.16096737546184,0.9978404782289628,1.3868257999420166,-5.4766035079956055,2.2687833309173584
v3_endo,pecam_training_351,1,12.901668548583984,994,1796,1.806841046277666,70,413.5582158781483,0.9981758729818982,1.3776365518569946,-4.300869941711426,2.309142827987671
v3_endo,pecam_training_393,1,13.776226043701172,813,1438,1.7687576875768758,75,489.0958900028305,0.9953369618395304,1.3498961925506592,-5.142502784729004,2.200702428817749
v3_endo,pecam_training_428,1,15.112518310546875,665,1183,1.7789473684210526,97,601.7694039206525,0.9953283619740705,1.3852910995483398,-4.098104476928711,2.1342849731445312
v3_endo,pecam_training_438,1,12.894554138183594,782,1363,1.7429667519181586,100,510.1957989762054,0.9960803724315068,1.3776270151138306,-4.107717514038086,2.3586368560791016
v3_endo,pecam_training_477,1,14.537734985351562,753,1323,1.7569721115537849,140,543.9556533336053,0.9910303403253424,1.4045641422271729,-4.2356157302856445,2.2109501361846924
v3_endo,pecam_training_495,1,18.197509765625,584,1040,1.7808219178082192,104,609.9983684202688,0.9877203476638943,1.3903565406799316,-4.504029750823975,2.0166618824005127
v3_endo,pecam_training_507,1,13.924068450927734,800,1401,1.75125,96,490.361884541233,0.9972929534613503,1.4750744104385376,-4.05319881439209,2.229912757873535
v4_confluent,pecam_training_009,1,29.3603458404541,499,902,1.8076152304609219,0,836.8223898840491,0.9999990444593934,1.3771785497665405,-5.102487564086914,1.5589547157287598
v4_confluent,pecam_training_022,1,28.482192993164062,465,835,1.7956989247311828,0,883.6641878049414,1.0,1.3031721115112305,-4.27543830871582,1.572131633758545
v4_confluent,pecam_training_038,1,28.896587371826172,511,928,1.8160469667318981,0,815.3004827312067,1.0,1.4566395282745361,-5.099170207977295,1.5420591831207275
v4_confluent,pecam_training_093,1,28.04183578491211,550,1000,1.8181818181818181,0,788.7145974247543,1.0,1.3763315677642822,-5.057689189910889,1.600088119506836
v4_confluent,pecam_training_142,1,28.532548904418945,511,928,1.8160469667318981,0,817.8324718080116,1.0,1.2956215143203735,-4.8875041007995605,1.5446937084197998
v4_confluent,pecam_training_161,1,27.428932189941406,511,932,1.8238747553816046,0,833.0244062688416,1.0,1.239149570465088,-5.252317905426025,1.5923123359680176
v4_confluent,pecam_training_277,1,26.957544326782227,496,895,1.8044354838709677,0,793.145578309163,1.0,1.1893959045410156,-5.679181098937988,1.6530473232269287
v4_confluent,pecam_training_279,1,23.602140426635742,307,548,1.785016286644951,25,897.1681295479013,0.8518032962328768,1.1170397996902466,-5.750304698944092,1.533369541168213
v4_confluent,pecam_training_305,1,25.924375534057617,629,1154,1.8346581875993642,0,701.7829724544497,1.0,1.3458589315414429,-4.795881271362305,1.658437967300415
v4_confluent,pecam_training_313,1,26.95633888244629,577,1050,1.8197573656845754,0,754.5327448878869,1.0,1.374742865562439,-4.636682510375977,1.6369268894195557
v4_confluent,pecam_training_332,1,26.598140716552734,583,1050,1.8010291595197256,0,738.0748158886545,1.0,1.3183913230895996,-5.4949259757995605,1.8255574703216553
v4_confluent,pecam_training_339,1,25.724035263061523,640,1161,1.8140625,0,684.2700480065484,1.0,1.390429973602295,-4.8983845710754395,1.6363792419433594
v4_confluent,pecam_training_347,1,25.817317962646484,610,1115,1.8278688524590163,0,713.8099205692733,0.9999990444593934,1.3975259065628052,-4.838818550109863,1.6854209899902344
v4_confluent,pecam_training_351,1,24.406314849853516,716,1320,1.8435754189944134,0,614.4293493046775,1.0,1.394409418106079,-4.210495471954346,1.7082879543304443
v4_confluent,pecam_training_393,1,25.89190673828125,613,1116,1.8205546492659055,0,706.0029542491246,1.0,1.3498530387878418,-4.35633659362793,1.649479866027832
v4_confluent,pecam_training_428,1,28.239795684814453,500,909,1.818,0,866.5732615365077,1.0,1.4036626815795898,-4.357685089111328,1.7125074863433838
v4_confluent,pecam_training_438,1,28.371652603149414,509,917,1.8015717092337917,0,821.6304554232191,1.0,1.4094334840774536,-4.2500386238098145,1.6405754089355469
v4_confluent,pecam_training_477,1,27.42327117919922,532,960,1.8045112781954886,0,819.5204645258817,1.0,1.4503371715545654,-4.357015609741211,1.744680643081665
v4_confluent,pecam_training_495,1,26.22067642211914,526,949,1.8041825095057034,2,796.521563744903,0.9999073125611546,1.3627145290374756,-4.566625118255615,1.739884376525879
v4_confluent,pecam_training_507,1,24.950437545776367,589,1066,1.8098471986417657,0,758.752726682562,1.0,1.51499342918396,-4.1411333084106445,1.75537109375
